mu,d_nom,lfr_seed,gen_mode,gen_attempts,gen_time,gen_max_degree,gen_min_community,gen_max_community,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv
0.3,10,1,maxdeg_cap85_recal,6,23.776492491997487,605,20,500,10000,50832,10.1664,100,0.36512433112999687,20,446,1,583,1.9909873364879542
0.3,10,2,maxdeg_cap85_recal,7,27.536987033003243,605,20,500,10000,54462,10.8924,101,0.3619404355330322,20,487,1,509,2.176793016492377
0.3,10,3,maxdeg_cap100_recal,3,6.345598319996498,712,20,500,10000,53700,10.74,93,0.3638733705772812,20,459,1,604,2.16358568843153
0.3,25,1,maxdeg_cap100,3,12.292321316002926,712,20,500,10000,170316,34.0632,97,0.37376406209633856,20,496,5,703,1.5733385985736557
0.3,25,2,maxdeg_cap100,5,22.91558406600234,712,20,500,10000,158966,31.7932,107,0.3796031855868551,20,490,6,694,1.4729486678799
0.3,25,3,maxdeg_cap100,5,22.79010943100002,712,20,500,10000,165638,33.1276,92,0.3759282290295705,20,499,6,706,1.5567481613651688
0.3,50,1,maxdeg_cap85_recal,6,24.180489235994173,605,20,500,10000,261301,52.2602,84,0.39054576905561017,20,440,11,607,1.1235331756245435
0.3,50,2,maxdeg_cap85_recal,6,18.147737682003935,605,20,500,10000,262841,52.5682,116,0.3907381268523556,20,480,11,608,1.1302210885518063
0.3,50,3,maxdeg_cap100,3,12.08012886600045,712,20,500,10000,330384,66.0768,102,0.3937145866627924,21,499,14,712,1.1011826082976588
0.3,100,1,scaled_maxk5_recal,12,62.70767109299777,500,29,500,10000,502211,100.4422,73,0.4186407705127924,29,497,28,520,0.7555022135338318
0.3,10,1,maxdeg_cap85_recal,6,23.776492491997487,605,20,500,10000,50832,10.1664,100,0.36512433112999687,20,446,1,583,1.9909873364879542
0.3,10,2,maxdeg_cap85_recal,7,27.536987033003243,605,20,500,10000,54462,10.8924,101,0.3619404355330322,20,487,1,509,2.176793016492377
0.3,10,3,maxdeg_cap100_recal,3,6.345598319996498,712,20,500,10000,53700,10.74,93,0.3638733705772812,20,459,1,604,2.16358568843153
0.3,25,1,maxdeg_cap100,3,12.292321316002926,712,20,500,10000,170316,34.0632,97,0.37376406209633856,20,496,5,703,1.5733385985736557
0.3,25,2,maxdeg_cap100,5,22.91558406600234,712,20,500,10000,158966,31.7932,107,0.3796031855868551,20,490,6,694,1.4729486678799
0.3,25,3,maxdeg_cap100,5,22.79010943100002,712,20,500,10000,165638,33.1276,92,0.3759282290295705,20,499,6,706,1.5567481613651688
0.3,50,1,maxdeg_cap85_recal,6,24.180489235994173,605,20,500,10000,261301,52.2602,84,0.39054576905561017,20,440,11,607,1.1235331756245435
0.3,50,2,maxdeg_cap85_recal,6,18.147737682003935,605,20,500,10000,262841,52.5682,116,0.3907381268523556,20,480,11,608,1.1302210885518063
0.3,50,3,maxdeg_cap100,3,12.08012886600045,712,20,500,10000,330384,66.0768,102,0.3937145866627924,21,499,14,712,1.1011826082976588
0.3,100,1,scaled_maxk5_recal,12,62.70767109299777,500,29,500,10000,502211,100.4422,73,0.4186407705127924,29,497,28,520,0.7555022135338318
0.3,100,2,scaled_maxk5_recal,2,3.9426740480048466,500,29,500,10000,511191,102.2382,84,0.42203599046149093,29,481,28,523,0.7646163524351187
0.3,100,3,scaled_maxk5,2,2.242137936002109,500,29,500,10000,637774,127.5548,89,0.43403619463948045,29,483,38,536,0.6505036174615627
0.3,200,1,scaled_maxk5,3,12.265597860001435,1000,56,826,10000,1261720,252.344,55,0.4449537139777447,56,758,77,1036,0.6840124905734851
0.3,200,2,scaled_maxk5_recal,4,17.608303964007064,1000,56,826,10000,995175,199.035,42,0.4204677569271736,59,824,58,1053,0.7409767584062394
0.3,200,3,scaled_maxk5_recal,2,11.06529491100082,1000,56,826,10000,994661,198.9322,47,0.42593104585381353,58,777,57,1041,0.7502102236676412
0.5,10,1,maxdeg_cap85,6,1.7123828819967457,848,20,500,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531
0.5,10,2,maxdeg_cap85,6,1.5279069169992,848,20,500,10000,56452,11.2904,108,0.578456033444342,20,463,1,840,2.3735236168860085
0.5,10,3,maxdeg_cap85,6,1.6669952449956327,848,20,500,10000,55059,11.0118,91,0.5784885304854792,20,492,0,764,2.321302125545389
0.5,25,1,maxdeg_cap85_recal,2,1.062256058998173,848,20,500,10000,118093,23.6186,91,0.5937693174023863,20,443,4,832,1.8088161726190422
0.5,25,2,maxdeg_cap85_recal,6,2.5942241459997604,848,20,500,10000,140216,28.0432,108,0.602149540708621,20,463,5,844,1.6906312069229987
0.5,25,3,maxdeg_cap85_recal_recal,6,3.1778770240052836,848,20,500,10000,111211,22.2422,91,0.5968834018217622,20,492,4,845,1.7969991679314459
0.5,50,1,maxdeg_cap85_recal,2,1.8171201369987102,848,20,500,10000,240080,48.016,106,0.6111837720759746,20,459,10,841,1.37198858495955
0.5,50,2,maxdeg_cap85_recal,2,1.864898968997295,848,20,500,10000,245060,49.012,100,0.6091936668570962,20,472,10,860,1.389964050143613
0.5,50,3,maxdeg_cap85_recal,2,1.9903257850019145,848,20,500,10000,256204,51.2408,91,0.6182065853772775,20,492,11,849,1.3394145218673879
0.5,100,1,maxdeg_cap85_recal,2,3.1994680630014045,848,20,500,10000,519440,103.888,102,0.6406514708147235,20,475,25,876,0.9796677036886378
0.5,100,2,maxdeg_cap85_recal,2,3.120557615002326,848,20,500,10000,509083,101.8166,116,0.6423117644863411,20,480,24,857,0.9460511175563379
0.5,100,3,maxdeg_cap85_recal,2,3.1621420000010403,848,20,500,10000,500429,100.0858,86,0.6416174921916995,20,466,23,864,0.9920111026413216
0.5,200,1,scaled_maxk5,2,3.892905109001731,1000,40,591,10000,1304040,260.808,77,0.6862074782982117,42,565,78,1090,0.6717359311869217
0.5,200,2,scaled_maxk5_recal,2,7.986663835006766,1000,40,591,10000,1006548,201.3096,70,0.6679144958809714,40,573,57,1027,0.7695082461169538
0.5,200,3,scaled_maxk5_recal,2,8.391655759005516,1000,40,591,10000,1003312,200.6624,57,0.6616745339435789,42,583,54,1027,0.762077181159811
0.8,10,1,maxdeg_cap85,6,1.1650763349971385,2120,20,500,10000,66643,13.3286,84,0.8632114400612217,20,440,2,2006,3.3369421557105934
0.8,10,2,maxdeg_cap85,6,1.2329344299942022,2120,20,500,10000,64016,12.8032,117,0.8630967258185454,20,483,2,1378,3.269401149914381
0.8,10,3,maxdeg_cap85,6,1.3770229109941283,2120,20,500,10000,61764,12.3528,91,0.8663137102519267,20,492,2,2017,3.2926586059532683
0.8,25,1,maxdeg_cap85_recal,2,0.8207251080020797,2120,20,500,10000,133940,26.788,97,0.8720546513364192,20,496,5,2016,2.5009395030538437
0.8,25,2,maxdeg_cap85_recal,2,0.9143070190038998,2120,20,500,10000,132285,26.457,79,0.871708810522735,20,481,4,1916,2.6256517915364683
0.8,25,3,maxdeg_cap85_recal,2,0.859620499999437,2120,20,500,10000,124455,24.891,99,0.8758667791571251,20,454,4,1798,2.4184698826810087
0.8,50,1,maxdeg_cap85_recal,2,1.7263292819989147,2120,20,500,10000,255470,51.094,105,0.8798606489998826,20,470,10,2033,1.9903928740998698
0.8,50,2,maxdeg_cap85_recal,2,1.3627844479997293,2120,20,500,10000,241631,48.3262,102,0.88510166327996,20,460,11,2051,1.9632636979513578
0.8,50,3,maxdeg_cap85_recal,2,1.5062943919983809,2120,20,500,10000,243336,48.6672,107,0.8839053818588289,20,469,11,1928,1.9401342489735185
0.8,100,1,maxdeg_cap85,2,1.420028464999632,2120,20,500,10000,716228,143.2456,112,0.8983829171716269,20,461,41,2099,1.3250797540454673
0.8,100,2,maxdeg_cap85_recal,2,2.3663131709981826,2120,20,500,10000,486471,97.2942,116,0.8944315282925396,20,480,28,2120,1.469810331811171
0.8,100,3,maxdeg_cap85_recal,2,2.484133452999231,2120,20,500,10000,506258,101.2516,91,0.8929636667469946,20,499,28,2141,1.4886316572395963
0.8,200,1,maxdeg_cap85_recal,2,4.694156306999503,2120,20,500,10000,1007147,201.4294,86,0.9103666098394773,20,494,68,2177,1.0823900844579133
0.8,200,2,maxdeg_cap85_recal,2,4.484493593001389,2120,20,500,10000,950443,190.0886,119,0.9113623857506447,20,492,60,2143,1.0827321173989337
0.8,200,3,maxdeg_cap85,2,8.17533063999872,2120,20,500,10000,1346605,269.321,101,0.9212270858937848,20,472,94,2155,0.9149836109043027
