mu,d_nom,lfr_seed,d_avg,m,k,sparsifier,target_ret,realized_ret,status,n_metis_seeds,Q_base_mean,Q_base_std,Q_base_min,Q_base_max,AMI_base_mean,AMI_base_std,AMI_base_min,AMI_base_max,Q_sparse_mean,Q_sparse_std,Q_sparse_min,Q_sparse_max,AMI_sparse_mean,AMI_sparse_std,AMI_sparse_min,AMI_sparse_max,dQ,dAMI,dQ_over_pooled_sd,dAMI_over_pooled_sd,worstcase_dQ,worstcase_dAMI
0.5,25,1,23.6186,118093,91,lspar,0.5,0.49893,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.21932580373891564,0.00107251852061964,0.21762224574372394,0.22088856508964472,0.5845468258630495,0.008168158179968805,0.573093696969486,0.5966246906488619,-0.0036245666053769665,0.04426098657757793,-2.914130090209125,4.942007558765769,-0.008250068309817365,0.010612437546508091
0.5,25,1,23.6186,118093,91,lspar,0.2,0.19936,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.19543864170447128,0.0008308266742492157,0.1940698786478782,0.19636351434495258,0.5611373786650153,0.003511796235029856,0.5564690760543833,0.5680346689169918,-0.02751172863982132,0.02085153937954376,-23.973119396164748,2.863687071583156,-0.031802435405663104,-0.006012183368594548
0.5,25,1,23.6186,118093,91,lspar,0.15,0.14889,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.1801388834361634,0.0010926434428515128,0.17744261389034527,0.18113807622377318,0.5168840146534566,0.0038836839519167067,0.5076658801426532,0.520685878750189,-0.04281148690812919,-0.02340182463201501,-34.18033977268979,-3.173048921994977,-0.04842970016319603,-0.05481537928032465
0.5,25,1,23.6186,118093,91,dspar,0.5,0.50074,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.18501386914428805,0.002968387342418913,0.18057738779652496,0.19065643242843824,0.3890990026393095,0.009064698746352177,0.3774522466080635,0.4081233469429345,-0.03793650120000455,-0.15118683664616206,-16.35934599228035,-16.12241239547644,-0.04529492625701634,-0.1850290128149144
0.5,25,1,23.6186,118093,91,dspar,0.2,0.20012,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.09811050045090386,0.000939271924723529,0.09650809129659159,0.09957222092753111,0.11196376840760672,0.0023440662310290137,0.10851832123050313,0.1166367159301791,-0.12483986989338874,-0.4283220708778649,-105.02313548462688,-60.81814694470292,-0.1293642227569497,-0.45396293819247474
0.5,25,1,23.6186,118093,91,dspar,0.15,0.15031,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.08691155592663566,0.0006550437036104337,0.08565329163601362,0.0874340634844462,0.09112548258187236,0.0018152943178778576,0.08749859007336491,0.09270685263078102,-0.13603881441765694,-0.4491603567035992,-124.89525152233827,-64.49599536207765,-0.14021902241752768,-0.474982669349613
0.5,25,1,23.6186,118093,91,random,0.5,0.5,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.18625526853234955,0.0022984534525750814,0.1827701987143902,0.18929935772382464,0.4134696261718761,0.008913033272552202,0.4009246665407766,0.42547279225287227,-0.03669510181194305,-0.12681621311359548,-19.30436252612443,-13.629618201171516,-0.04310211533915109,-0.1615565928822013
0.5,25,1,23.6186,118093,91,random,0.2,0.2,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.10627105373630075,0.0013805452838096283,0.10372502879562051,0.10788069473225273,0.1540219927752085,0.00439462076625956,0.14538427000141663,0.15887648625422415,-0.11667931660799186,-0.3862638465102631,-84.10057119604964,-51.38404568732048,-0.12214728525792079,-0.41709698942156126
0.5,25,1,23.6186,118093,91,random,0.15,0.15,ok,10,0.2229503703442926,0.001394178042901309,0.221375790503506,0.2258723140535413,0.5402858392854716,0.009680068358998168,0.5276755648466762,0.5624812594229779,0.08865370035684529,0.0012458360619002076,0.0867011596215381,0.09098249538807958,0.11314426728008029,0.0034994436754780664,0.10767366682513352,0.11831594305426822,-0.13429666998744733,-0.42714157200539127,-101.57912649890285,-58.68629717389081,-0.1391711544320032,-0.45480759259784437
0.5,25,2,28.0432,140216,108,lspar,0.5,0.50197,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.21619788944986434,0.001737986566379263,0.21304734950839757,0.21815142155365871,0.6367898392034266,0.007700698720154457,0.6239797505890018,0.6471085227996719,0.0009491716105328729,0.04762627567468525,0.5107543915375478,3.846750679196279,-0.005319355571183765,0.008917842250463437
0.5,25,2,28.0432,140216,108,lspar,0.2,0.19617,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.19782440682040697,0.001202338306599536,0.19557468087084798,0.19967284433359575,0.6448844256811087,0.003668883952232232,0.6376146513628467,0.649157448115619,-0.0174243110189245,0.05572086215236738,-10.671389365001673,4.880160759218124,-0.022792024208733358,0.02255274302430832
0.5,25,2,28.0432,140216,108,lspar,0.15,0.15117,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.18723388921662462,0.0014099860576930578,0.1845946117060109,0.18962955559291803,0.6155251124313799,0.0038051170245971817,0.6087192920668619,0.6232425686925955,-0.02801482862270685,0.026361548902638532,-16.34614914764004,2.304309885176669,-0.03377209337357043,-0.006342616271676427
0.5,25,2,28.0432,140216,108,dspar,0.5,0.4997,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.18952772358531061,0.0016685805346696933,0.18655123719082534,0.192226693955151,0.4868700006804791,0.00904377114126985,0.4714967743049436,0.5017824904032706,-0.025720994254020857,-0.10229356284826224,-14.08375557246163,-7.974873954994499,-0.031815467888756,-0.14356513403359478
0.5,25,2,28.0432,140216,108,dspar,0.2,0.20064,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.0876802900152178,0.0012888347602739044,0.0858511974797426,0.08998209806145283,0.13155662903847237,0.00366621668468911,0.12523034450664455,0.13689182035036046,-0.12756842782411368,-0.45760693449026896,-76.59598809973156,-40.07976742279403,-0.13251550759983874,-0.4898315638318938
0.5,25,2,28.0432,140216,108,dspar,0.15,0.15044,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.0787903879791164,0.0006031395160771647,0.07758655409846216,0.07991701374492419,0.1048754478138326,0.0020359050723095704,0.10191062442628528,0.10939299272911215,-0.13645832986021506,-0.4842881157149087,-93.60664410850988,-43.19371864424083,-0.14078015098111918,-0.5131512839122531
0.5,25,2,28.0432,140216,108,random,0.5,0.5,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.18755503805513113,0.002031317252092371,0.18326900741493532,0.19162691635476825,0.4962733188755058,0.008616533147337277,0.48071775216630835,0.5119714154129295,-0.027693679784200342,-0.09289024465323553,-13.835823410760591,-7.32626484234028,-0.035097697664646016,-0.13434415617223
0.5,25,2,28.0432,140216,108,random,0.2,0.2,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.09790019843962819,0.0010876506502727294,0.0955550977026685,0.09998625435601353,0.19050564421490937,0.004304536643187277,0.1839454292677645,0.19684103011053064,-0.11734851939970328,-0.398657919313832,-73.70737638065562,-34.580887820552725,-0.12281160737691284,-0.4311164790707739
0.5,25,2,28.0432,140216,108,random,0.15,0.15,ok,10,0.21524871783933147,0.001971419527727351,0.21213455384356097,0.21836670507958134,0.5891635635287413,0.0157249205486476,0.56159286944065,0.6150619083385384,0.08406219072700308,0.0007753500954330315,0.08309642252138869,0.08576350509336014,0.1466762298507625,0.002423672848331224,0.14226120600672146,0.15085851023131014,-0.1311865271123284,-0.4424873336779788,-87.57781954582873,-39.33047372394472,-0.13527028255819265,-0.4728007023318169
0.5,25,3,22.2422,111211,91,lspar,0.5,0.49787,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.24492930825379783,0.0016117673471336884,0.24196812045604318,0.2475272333152417,0.6378316429928969,0.010076065527357155,0.620722081727597,0.6537079332350659,-0.0021402673694535246,0.036502472732638735,-1.1752112699585984,3.2809106514995277,-0.008253997142249586,0.0024980469741316957
0.5,25,3,22.2422,111211,91,lspar,0.2,0.19919,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.21888207352593964,0.0019626782748456083,0.21639935776056915,0.2225531423114517,0.6023649109693314,0.004610345979815161,0.5943612099200944,0.6131000864974353,-0.028187502097311717,0.0010357407090733073,-14.193742356084497,0.11324772536625952,-0.03382275983772362,-0.023862824833370877
