network,n,m,avg_deg,arm,detector,stochastic,target_ret,realized_ret,realized_ret_std,param,status,matched,m_sparse,mst_floor,lspar_floor,ld_floor,lsim_floor,kn_ret_k1,Q_base_mean,Q_base_std,Q_base_best,nc_base,Q_sparse_on_sparse,Q_orig_mean,Q_orig_std,Q_orig_max,dQ_naive,dQ_vs_base_mean,dQ_vs_base_best,dQ_vs_matched,Q_matched_best,n_restarts,budget,nc_sparse,frag_nodes,frag_node_frac,n_frag_clusters,n_singletons,max_cluster_frac,frag_nodes_base,frag_node_frac_base,resmatch_done,nc_resmatch,gamma_resmatch,Q_resmatch,dQ_vs_resmatch,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,T_leiden_orig,T_sparsify,T_leiden_sparse,T_pipeline,speedup_pipeline,speedup_detect_only
ca-HepTh,8638,24806,5.74345913405881,kn,leiden,1,0.5,0.5014646994006826,0.0014393931404521514,1.875,ok,1,12439,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.8756447232836241,0.6578341764227792,0.0037074076377955037,0.6629127541290191,0.11427812990333563,-0.10353241695750925,-0.10452558520246302,-0.10426929744957136,0.7621034738723506,1,0.32834501630471397,128.66666666666666,218.33333333333334,0.0252759126340974,52.0,0.0,0.03310951609168789,27,0.0031257235471173882,1,130,4.0,0.7330696801389865,-0.07523550371620735,,,,,,,0.3692162762046792,0.013736055640038103,0.31460896066467586,0.32834501630471397,1.1244765654126312,1.173572028668968
ca-HepTh,8638,24806,5.74345913405881,ld,leiden,0,0.5,0.510360396678223,0.0,,ok,1,12660,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.8248149666366351,0.6920400309573567,0.0020613366729649056,0.6942649417270489,0.06344837325634667,-0.06932656242293178,-0.07031973066788555,-0.07006344291499389,0.7621034738723506,2,0.4400580163734655,65.66666666666667,51.0,0.0059041444778884,9.0,0.0,0.05711198579918191,27,0.0031257235471173882,1,65,1.5,0.7590686164367818,-0.06702858547942514,,,,,,,0.3692162762046792,0.1541501420433633,0.2859078743301022,0.4400580163734655,0.8390172715120707,1.2913819777429116
ca-HepTh,8638,24806,5.74345913405881,lsim,leiden,0,0.5,0.5008465693783762,0.0,,ok,1,12424,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9502791946055674,0.6755459195846504,0.0014230528232254136,0.6766134901262534,0.18891260122527898,-0.08582067379563807,-0.08681384204059184,-0.08655755428770018,0.7621034738723506,1,0.38070335435137775,704.3333333333334,2055.6666666666665,0.23797947055645596,586.3333333333334,0.0,0.031604538087520256,27,0.0031257235471173882,1,692,64.0,0.5974283377004382,0.07811758188421214,,,,,,,0.3692162762046792,0.07559389201924205,0.3051094623321357,0.38070335435137775,0.9698266957319837,1.210110867694946
ca-HepTh,8638,24806,5.74345913405881,mst_jaccard,leiden,0,0.5,0.5,0.0,3766,ok,1,12403,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9793643696450255,0.6976474159085346,0.0005368920523519613,0.6982569517330804,0.21799777626473704,-0.06371917747175382,-0.06471234571670759,-0.06445605796381593,0.7621034738723506,1,0.2747723646850015,104.33333333333333,0.0,0.0,0.0,0.0,0.021185459597128965,27,0.0031257235471173882,1,103,3.0,0.7463111926409127,-0.048663776732378095,,,,,,,0.3692162762046792,0.023664020001888275,0.2511083446831132,0.2747723646850015,1.3437169222892849,1.4703465019078221
ca-HepTh,8638,24806,5.74345913405881,mst_random,leiden,1,0.5,0.5,0.0,3766,ok,1,12403,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.8794960235456815,0.7045991584691563,0.002574782463690899,0.7070294567517725,0.11812943016539301,-0.05676743491113212,-0.05776060315608589,-0.05750431540319423,0.7621034738723506,1,0.32703039672924206,70.66666666666667,4.666666666666667,0.0005402485143165856,0.6666666666666666,0.0,0.04943273905996759,27,0.0031257235471173882,1,74,1.75,0.7573385321095492,-0.05273937364039283,,,,,,,0.3692162762046792,0.021967625711113214,0.30506277101812884,0.32703039672924206,1.1289968146611278,1.2102960809424297
ca-HepTh,8638,24806,5.74345913405881,lspar,leiden,0,0.5,0.5006046924131259,0.0,0.265625,ok,1,12418,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9464211128260084,0.6890628792396277,0.001322196043203601,0.69064076473944,0.18505451944571993,-0.07230371414066072,-0.07329688238561449,-0.07304059463272283,0.7621034738723506,1,0.3076407707412727,314.6666666666667,900.0,0.10419078490391294,201.0,0.0,0.02890329551593733,27,0.0031257235471173882,1,315,18.0,0.6845040313770118,0.004558847862615956,,,,,,,0.3692162762046792,0.02736742509296164,0.2802733456483111,0.3076407707412727,1.2001539175546785,1.3173435217345795
ca-HepTh,8638,24806,5.74345913405881,dspar,leiden,1,0.5,0.4976215431750383,0.0008462493748197358,0.5,ok,1,12344,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.8838471106931677,0.6370572269042873,0.003525733748238358,0.6420386936969341,0.12248051731287923,-0.1243093664760011,-0.12530253472095487,-0.1250462469680632,0.7621034738723506,1,0.3152055113071886,218.0,378.3333333333333,0.04379871883923748,140.66666666666666,57.666666666666664,0.03376553214478661,27,0.0031257235471173882,1,223,10.0,0.7092929669265349,-0.07223574002224753,,,,,,,0.3692162762046792,0.005028917628806084,0.3101765936783825,0.3152055113071886,1.1713509534573254,1.1903421590460628
ca-HepTh,8638,24806,5.74345913405881,kn,leiden,1,0.3482,0.34444623612566855,0.0006393817223451451,1.125,ok,1,8544,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9745344169418125,0.5330865782331765,0.0022141121935031673,0.535520330175283,0.21316782356152408,-0.22828001514711194,-0.2292731833920657,-0.22901689563917405,0.7621034738723506,1,0.3030287100118585,628.3333333333334,1913.6666666666667,0.22154048004939417,491.6666666666667,0.0,0.016863471482596277,27,0.0031257235471173882,1,651,56.0,0.6055913009357965,-0.07250472270261998,,,,,,,0.3692162762046792,0.013356522986820588,0.2896721870250379,0.3030287100118585,1.218420116662314,1.2746003680800941
ca-HepTh,8638,24806,5.74345913405881,ld,leiden,0,0.3482,0.34818189147786827,0.0,,ok,1,8637,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9743931752168077,0.6052178214238136,0.0006003331444624702,0.6060407273706879,0.21302658183651924,-0.1561487719564748,-0.15714194020142858,-0.15688565244853692,0.7621034738723506,1,0.27646258306534344,124.33333333333333,60.0,0.00694605232692753,10.0,0.0,0.02400246970749402,27,0.0031257235471173882,1,130,4.0,0.7330696801389865,-0.1278518587151729,,,,,,,0.3692162762046792,0.05888268904527649,0.21757989402006692,0.27646258306534344,1.335501795978709,1.696922768841073
ca-HepTh,8638,24806,5.74345913405881,lsim,leiden,0,0.3482,0.3443521728614045,0.0,,ok,1,8542,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9876450664359879,0.5892379464336871,0.001800217543596118,0.5908923536086123,0.22627847305569948,-0.17212864694660135,-0.17312181519155512,-0.17286552743866346,0.7621034738723506,2,0.39464681669293594,1245.6666666666667,3845.0,0.4451261866172725,1080.0,0.0,0.019950605850119627,27,0.0031257235471173882,1,1239,160.0,0.49641161068198114,0.09282633575170596,,,,,,,0.3692162762046792,0.07828104705549777,0.3163657696374382,0.39464681669293594,0.9355612679170713,1.1670550724492375
