gen,d_nom,graph_seed,het_deg,het_size,d_target,mu_target,p_in_mean,p_in_max,p_out,n_blocks,cal_passes,cal_relerr,cal_status,gen_time,lfr_deg_cv,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv
sbm,10,1,0,0,11.183,0.57853,0.04760908090909089,0.04760908090909091,0.0006535051505050505,100,1,0.00855,ok,0.4667413029819727,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137
sbm,10,2,0,0,11.183,0.57853,0.04760908090909089,0.04760908090909091,0.0006535051505050505,100,1,0.00566,ok,0.40121692401589826,2.327,10000,55668,11.1336,100,0.5790579866350507,100,100,2,26,0.295925453001744
sbm,10,3,0,0,11.183,0.57853,0.04760908090909089,0.04760908090909091,0.0006535051505050505,100,1,0.00146,ok,0.40691391803557053,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197
sbm,25,1,0,0,24.635,0.5976,0.10013256565656567,0.10013256565656566,0.001487058181818182,100,1,0.0052,ok,0.5817928899778053,1.765,10000,123602,24.7204,100,0.5986310901118105,100,100,8,45,0.19756037430806836
sbm,25,2,0,0,24.635,0.5976,0.10013256565656567,0.10013256565656566,0.001487058181818182,100,1,0.00626,ok,0.49697366799227893,1.765,10000,123606,24.7212,100,0.599242755206058,100,100,8,46,0.19883797125510866
sbm,25,3,0,0,24.635,0.5976,0.10013256565656567,0.10013256565656566,0.001487058181818182,100,1,0.00465,ok,0.5017540529952385,1.765,10000,123049,24.6098,100,0.5990621622280555,100,100,9,46,0.1975857182314385
sbm,50,1,0,0,49.423,0.61286,0.19326889111111106,0.19326889111111112,0.0030595333111111114,100,1,0.0016,ok,0.7826725330087356,1.367,10000,247063,49.4126,100,0.6121596515868423,100,100,27,79,0.13674217325284943
sbm,50,2,0,0,49.423,0.61286,0.19326889111111106,0.19326889111111112,0.0030595333111111114,100,1,0.00215,ok,0.670644479978364,1.367,10000,247194,49.4388,100,0.6138174874794695,100,100,26,77,0.13565001929402995
sbm,50,3,0,0,49.423,0.61286,0.19326889111111106,0.19326889111111112,0.0030595333111111114,100,1,0.0054,ok,0.6575550900306553,1.367,10000,247839,49.5678,100,0.6143706196361347,100,100,27,79,0.13778117508894158
sbm,100,1,0,0,101.93,0.64153,0.36907926363636373,0.3690792636363636,0.006605166959595961,100,1,0.0026,ok,1.1787291269865818,0.973,10000,509215,101.843,100,0.6421570456486946,100,100,70,141,0.09157130871378914
sbm,100,2,0,0,101.93,0.64153,0.36907926363636373,0.3690792636363636,0.006605166959595961,100,1,0.0007,ok,1.0498923180275597,0.973,10000,509739,101.9478,100,0.6418441594619991,100,100,71,142,0.0925850156183693
sbm,100,3,0,0,101.93,0.64153,0.36907926363636373,0.3690792636363636,0.006605166959595961,100,1,0.00273,ok,1.0243895800085738,0.973,10000,510712,102.1424,100,0.641943012891806,100,100,70,138,0.09166392421857181
sbm,200,1,0,0,220.927,0.67193,0.7321163726262627,0.7321163726262625,0.014994694859595958,100,1,0.00064,ok,2.1549811490112916,0.734,10000,1105245,221.049,100,0.6719912779519474,100,100,174,275,0.057385533261007655
sbm,200,2,0,0,220.927,0.67193,0.7321163726262627,0.7321163726262625,0.014994694859595958,100,1,0.00113,ok,1.8008445590385236,0.734,10000,1104549,220.9098,100,0.6722752906389848,100,100,176,278,0.05748273047343995
sbm,200,3,0,0,220.927,0.67193,0.7321163726262627,0.7321163726262625,0.014994694859595958,100,1,0.00135,ok,1.8105063539696857,0.734,10000,1105276,221.0552,100,0.6724474248965869,100,100,172,269,0.05780302092863214
dcsbm,10,1,1,0,11.183,0.57853,0.05297852344787707,0.05297852344787706,0.0006536972261344852,100,2,0.00987,ok,3.43989621498622,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407
dcsbm,10,2,1,0,11.183,0.57853,0.05329054666947564,0.053290546669475664,0.0006473516228553136,100,2,0.01424,ok,3.4535185390268452,2.327,10000,55241,11.0482,100,0.5772524031063884,100,100,0,238,1.5943029894425176
dcsbm,10,3,1,0,11.183,0.57853,0.053134076983289445,0.05313407698328947,0.0006506991687996528,100,2,0.00482,ok,3.4692436140030622,2.327,10000,55755,11.151,100,0.5793561115595014,100,100,0,218,1.5885094989698263
dcsbm,25,1,1,0,24.635,0.5976,0.12360425190806736,0.12360425190806733,0.0014897721928939839,100,3,0.0058,ok,5.2088111790362746,1.765,10000,123216,24.6432,100,0.6000681729645501,100,100,0,476,1.4506733488728378
dcsbm,25,2,1,0,24.635,0.5976,0.1255822310741266,0.1255822310741266,0.0014980422439413099,100,3,0.01087,ok,5.208403752010781,1.765,10000,123180,24.636,100,0.601988959246631,100,100,0,450,1.5136320487189854
dcsbm,25,3,1,0,24.635,0.5976,0.12498044410841758,0.12498044410841758,0.001480996797841278,100,3,0.00695,ok,5.199642635008786,1.765,10000,122608,24.5216,100,0.5985498499282266,100,100,0,425,1.4895059837312994
dcsbm,50,1,1,0,49.423,0.61286,0.27730989758275687,0.27730989758275687,0.0030516278877439173,100,3,0.01303,ok,5.2254694970324636,1.367,10000,245480,49.096,100,0.6153576666123514,100,100,4,818,1.3585811048759673
dcsbm,50,2,1,0,49.423,0.61286,0.29125548714078586,0.2912554871407859,0.0030632750271784733,100,4,0.0046,ok,6.9909514100290835,1.367,10000,245996,49.1992,100,0.6128189076245142,100,100,4,858,1.4098021006619958
dcsbm,50,3,1,0,49.423,0.61286,0.28152856671316234,0.28152856671316223,0.0030489315135533678,100,3,0.01738,ok,5.20669296203414,1.367,10000,245316,49.0632,100,0.6168003717653965,100,100,4,806,1.3940361747451309
dcsbm,100,1,1,0,101.93,0.64153,0.7083880665669525,0.7083880665669526,0.006628791298319278,100,4,0.01891,ok,6.973927272018045,0.973,10000,505369,101.0738,100,0.6453284629646852,100,100,14,1569,1.254223566949353
dcsbm,100,2,1,0,101.93,0.64153,0.7619177691252886,0.7619177691252887,0.006651046721513366,100,5,0.0099,ok,8.581412431027275,0.973,10000,508404,101.6808,100,0.6442081494244735,100,100,15,1540,1.293572773993245
dcsbm,100,3,1,0,101.93,0.64153,0.7420494364949374,0.7420494364949373,0.006630926500991926,100,5,0.00735,ok,8.649559985962696,0.973,10000,507732,101.5464,100,0.6428214097200885,100,100,16,1555,1.2754939458300436
dcsbm,200,1,1,0,220.927,0.67193,2.729171918322397,2.729171918322398,0.015338644686583388,100,7,0.01927,ok,12.396473961009178,0.734,10000,1098827,219.7654,100,0.6765514498642643,100,100,40,2891,1.1182109030074288
dcsbm,200,2,1,0,220.927,0.67193,2.9043606145619236,2.9043606145619223,0.015425355460648502,100,7,0.01963,ok,11.561436600983143,0.734,10000,1098293,219.6586,100,0.6765143727584534,100,100,44,2960,1.1526871851071991
dcsbm,200,3,1,0,220.927,0.67193,2.7799597683515636,2.779959768351565,0.015405244005419387,100,7,0.01748,ok,11.534888688009232,0.734,10000,1100159,220.0318,100,0.676354054277609,100,100,46,2893,1.1389914183767131
sbm_ps,10,1,0,1,11.183,0.57853,0.10827513626811935,0.24806836894736842,0.0006520643517480315,128,1,0.01071,ok,0.877552384044975,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126
sbm_ps,10,2,0,1,11.183,0.57853,0.09395167250740014,0.2356649505,0.0006538527596276595,95,1,0.00244,ok,0.4172188480151817,2.327,10000,55897,11.1794,95,0.5773655115659159,21,468,1,25,0.2921535131003704
sbm_ps,10,3,0,1,11.183,0.57853,0.09770915748869498,0.24806836894736842,0.0006534397999899999,101,1,0.00632,ok,0.4279015540378168,2.327,10000,56101,11.2202,101,0.5802570364164632,20,444,2,26,0.2975320988917122
sbm_ps,25,1,0,1,24.635,0.5976,0.22772687446001103,0.5217433684210526,0.0014837796283464569,128,1,0.00188,ok,0.5198018520022742,1.765,10000,123282,24.6564,128,0.5971918041563246,20,489,9,43,0.19603017030295386
sbm_ps,25,2,0,1,24.635,0.5976,0.19760142049066567,0.4956562,0.001487849170212766,95,1,0.01193,ok,0.6325801640050486,1.765,10000,122059,24.4118,95,0.5958675722396546,21,468,9,44,0.19696823126633037
sbm_ps,25,3,0,1,24.635,0.5976,0.20550425340423326,0.5217433684210526,0.001486909476,101,1,0.00748,ok,0.5121203049784526,1.765,10000,122822,24.5644,101,0.5994610086140919,20,444,7,44,0.20071821629788988
sbm_ps,50,1,0,1,49.423,0.61286,0.4395425225998857,1.0070326431578949,0.003052787883338583,128,1,0.00306,ok,0.666303804027848,1.367,10000,246926,49.3852,128,0.6114544438414747,20,489,25,75,0.13563677267449442
sbm_ps,50,2,0,1,49.423,0.61286,0.38139647346294897,0.956681011,0.0030611607224468084,95,1,0.01039,ok,0.8276576089556329,1.367,10000,245430,49.086,95,0.6106547691806218,21,468,26,77,0.13587892513062463
sbm_ps,50,3,0,1,49.423,0.61286,0.39664997010339437,1.0070326431578949,0.00305922735778,101,1,0.00389,ok,0.6831467330339365,1.367,10000,246359,49.2718,101,0.6123502693224117,20,444,24,77,0.13755634888399645
sbm_ps,100,1,0,1,101.93,0.64153,0.8657134125921087,1.9834296371217557,0.006658435212959383,128,2,0.00226,ok,2.2274729830096476,0.973,10000,509901,101.9802,128,0.6425168807278275,20,489,64,139,0.09877985752474228
sbm_ps,100,2,0,1,101.93,0.64153,0.7441035953315822,1.8664823337432035,0.006684484157529171,95,2,0.00044,ok,2.038793084968347,0.973,10000,509456,101.8912,95,0.6414940642567759,21,468,63,141,0.09645561696392987
sbm_ps,100,3,0,1,101.93,0.64153,0.7763333450058881,1.9709897373472636,0.006656437025272563,101,2,0.00551,ok,2.3104360550059937,0.973,10000,507207,101.4414,101,0.6410656792985902,20,444,61,147,0.09858665468425977
sbm_ps,200,1,0,1,220.927,0.67193,0.882798977647714,1.8738535427756322,0.015140516452704108,78,2,0.00739,ok,3.9775718390010297,0.734,10000,1100714,220.1428,78,0.6731939450211408,41,553,158,282,0.06987910078358177
sbm_ps,200,2,0,1,220.927,0.67193,0.8396708031857226,1.786376004674439,0.015276197289905594,64,2,0.00314,ok,3.6737074659904465,0.734,10000,1106407,221.2814,64,0.672959408246694,43,536,158,276,0.06916597321397087
sbm_ps,200,3,0,1,220.927,0.67193,0.7735086768927777,1.813196474905172,0.01513670238112622,65,2,0.00359,ok,4.103717277990654,0.734,10000,1101543,220.3086,65,0.6713954879655175,42,475,160,272,0.06703790616598279
dcsbm_ps,10,1,1,1,11.183,0.57853,0.12047523432014687,0.2760199239310544,0.000657378592895557,128,2,0.00677,ok,3.1198922260082327,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245
dcsbm_ps,10,2,1,1,11.183,0.57853,0.10255264590481088,0.2572393186390341,0.0006539438298103668,95,2,0.0172,ok,3.111683261988219,2.327,10000,55093,11.0186,95,0.5770606066106402,21,468,0,244,1.6554987792286515
dcsbm_ps,10,3,1,1,11.183,0.57853,0.1077722725965085,0.2736170546129239,0.0006569839188320856,101,2,0.00855,ok,3.1032779560191557,2.327,10000,55952,11.1904,101,0.5752073205604804,20,444,0,270,1.648944455116466
dcsbm_ps,25,1,1,1,24.635,0.5976,0.2814048212836614,0.6447245178883956,0.0014985139165585566,128,3,0.0033,ok,4.657908923982177,1.765,10000,123082,24.6164,128,0.5986253067060984,20,489,0,548,1.4720948014591484
dcsbm_ps,25,2,1,1,24.635,0.5976,0.23682785766720268,0.5940503650934615,0.0015129751547282445,95,3,0.00664,ok,4.68691425898578,1.765,10000,123471,24.6942,95,0.6001247256440784,21,468,0,528,1.5887785083275598
dcsbm_ps,25,3,1,1,24.635,0.5976,0.24218806725516986,0.614877871907316,0.0014961040590030332,101,2,0.01498,ok,3.1202178899548016,1.765,10000,122540,24.508,101,0.6015749959196997,20,444,0,537,1.5747416393818943
dcsbm_ps,50,1,1,1,49.423,0.61286,0.6264892097654553,1.4353448241782727,0.0030716435600844413,128,3,0.01312,ok,4.677321415045299,1.367,10000,245518,49.1036,128,0.6154538567437011,20,489,3,978,1.3966353597754082
dcsbm_ps,50,2,1,1,49.423,0.61286,0.514272052322014,1.289981269300499,0.003105990287245198,95,3,0.01196,ok,4.69028876000084,1.367,10000,246433,49.2866,95,0.6164312409458149,21,468,3,968,1.5157786971183376
dcsbm_ps,50,3,1,1,49.423,0.61286,0.5405003640284772,1.3722464420544873,0.0030794991806363404,101,3,0.01243,ok,4.677272093016654,1.367,10000,245854,49.1708,101,0.6157109504014577,20,444,2,1022,1.4957593538857274
dcsbm_ps,100,1,1,1,101.93,0.64153,1.5468724815389865,3.54402817388031,0.006663124941142264,128,4,0.01179,ok,6.288007833994925,0.973,10000,506560,101.312,128,0.643596020214782,20,489,10,1778,1.3041893369661013
dcsbm_ps,100,2,1,1,101.93,0.64153,1.215958573595452,3.05006616070461,0.006720395063287027,95,4,0.01288,ok,6.295410822960548,0.973,10000,506914,101.3828,95,0.6442374840702763,21,468,11,1622,1.4190537259461373
dcsbm_ps,100,3,1,1,101.93,0.64153,1.2918592820408157,3.2798299897577388,0.006699137846598669,101,4,0.00898,ok,6.302528366970364,0.973,10000,507948,101.5896,101,0.6435580020002047,20,444,9,1892,1.3893236983030417
dcsbm_ps,200,1,1,1,220.927,0.67193,1.9483680747183747,4.1356599994828045,0.015540272164177896,78,5,0.01345,ok,8.174188714008778,0.734,10000,1099432,219.8864,78,0.6748120847855984,41,553,38,3362,1.2419399518845022
dcsbm_ps,200,2,1,1,220.927,0.67193,1.628217289714926,3.46398646434709,0.01572954528760805,64,4,0.01925,ok,6.879101213009562,0.734,10000,1097391,219.4782,64,0.6761199973391435,43,536,33,3038,1.318797081280263
dcsbm_ps,200,3,1,1,220.927,0.67193,1.5736570156941188,3.688839490499854,0.01563170801916759,65,5,0.01031,ok,8.577253073977772,0.734,10000,1098669,219.7338,65,0.6735504505906692,42,475,23,3254,1.2887827901995224
