n_target,mu,rep,seed,n_nodes,n_edges,nmi_planted_leiden,partition,degree_mean,degree_max,degree_cv,n_communities,mu_intra,mu_inter,delta,n_intra_edges,n_inter_edges,frac_inter_edges,hb_mean_inter,hb_mean_intra,hb_ratio,Q
10000,0.1,0,1,10000,89266,0.9635865329140864,planted,17.8532,60.0,0.3989388217415061,226,0.1116130702586737,0.11436282110342323,-0.0027497508447495295,75902,13364,0.1497098559361907,405.22762645914395,428.0369818977102,0.9467117179047462,0.8445117333263804
10000,0.1,0,1,10000,89266,0.9635865329140864,leiden,17.8532,60.0,0.3989388217415061,144,0.11164663636370081,0.1142128892802065,-0.002566252916505682,76114,13152,0.14733493155288688,406.47665754257906,427.757626717818,0.9502499363049872,0.845272538661245
10000,0.1,1,101,10000,90353,0.9735374592891144,planted,18.0706,56.0,0.4093756073316085,216,0.11024202564712154,0.1131464194326393,-0.002904393785517753,76821,13532,0.14976813166137262,415.9804906887378,444.36095598859686,0.936131955525392,0.8440796873138667
10000,0.1,1,101,10000,90353,0.9735374592891144,leiden,18.0706,56.0,0.4093756073316085,153,0.11027327674447654,0.11299983525455293,-0.002726558510076388,76974,13379,0.14807477338881941,417.2167576052022,444.08966664068384,0.9394876506837869,0.8447178402451198
10000,0.1,2,201,10000,88734,0.9642048741650018,planted,17.7468,55.0,0.40932251261375524,229,0.11220622036176416,0.11549568053565755,-0.0032894601738933937,75512,13222,0.1490071449500755,400.6054303433671,429.4297462654942,0.9328776914668913,0.8450723658550926
10000,0.1,2,201,10000,88734,0.9642048741650018,leiden,17.7468,55.0,0.40932251261375524,147,0.11224272516816397,0.1153379981345722,-0.0030952729664082274,75729,13005,0.14656163364662925,401.94009996155324,429.1179468895667,0.9366657882174113,0.8459464872476392
10000,0.2,0,2,10000,90200,0.9362115679445204,planted,18.04,58.0,0.4065842660922804,229,0.10949860539176452,0.11397938040586726,-0.004480775014102739,62699,27501,0.3048891352549889,408.30053452601726,449.6953220944513,0.9079492591214019,0.6893121804956711
10000,0.2,0,2,10000,90200,0.9362115679445204,leiden,18.04,58.0,0.4065842660922804,112,0.10959429282934552,0.11384027403624584,-0.004245981206900326,63211,26989,0.29921286031042127,409.5957982881915,448.8069956178513,0.9126323838253019,0.6912743251016465
10000,0.2,1,102,10000,91069,0.9399646557905741,planted,18.2138,56.0,0.40131019693043957,231,0.10850871479020546,0.11276030986935306,-0.004251595079147602,63263,27806,0.30532892641842996,414.11195425447744,452.484469595182,0.9151959505371868,0.6891030765903189
10000,0.2,1,102,10000,91069,0.9399646557905741,leiden,18.2138,56.0,0.40131019693043957,118,0.10857252444344305,0.11268674636936665,-0.004114221925923603,63747,27322,0.30001427489046767,414.91095088207305,451.85067532589767,0.9182479379560918,0.6909499552408344
10000,0.2,2,202,10000,90660,0.941116585435251,planted,18.132,55.0,0.40423236943637764,235,0.1089841615612547,0.11329311558031742,-0.0043089540190627135,62928,27732,0.3058901389808074,411.5569378335497,450.8234172387491,0.9129005328833563,0.688411534583581
10000,0.2,2,202,10000,90660,0.941116585435251,leiden,18.132,55.0,0.40423236943637764,120,0.10906500833014462,0.11317909081213878,-0.004114082481994158,63396,27264,0.30072799470549305,412.7163292253521,450.0349391128778,0.9170761942148554,0.6903325340862598
10000,0.3,0,3,10000,91678,0.9025296734440152,planted,18.3356,58.0,0.39927243805487395,223,0.1063244180194608,0.11239309013977801,-0.006068672120317212,50089,41589,0.45364209515914394,417.73036139363774,470.0641258559764,0.8886667550580678,0.5406398275999238
10000,0.3,0,3,10000,91678,0.9025296734440152,leiden,18.3356,58.0,0.39927243805487395,85,0.10649245435524092,0.11232721823204368,-0.005834763876802762,51062,40616,0.4430288618861668,418.361778609415,468.5646468998472,0.8928581816349394,0.5440491345026646
10000,0.3,1,103,10000,91891,0.9081950255710294,planted,18.3782,55.0,0.3955708750866242,223,0.10616950739744162,0.11202661448522681,-0.005857107087785196,50236,41655,0.4533088115267001,418.2914656103709,470.2758380444303,0.8894598271299065,0.5409983819644261
10000,0.3,1,103,10000,91891,0.9081950255710294,leiden,18.3782,55.0,0.3955708750866242,91,0.10635474976775311,0.1119266757495708,-0.005571925981817688,51159,40732,0.4432643022711691,419.1784346459786,468.6317558982779,0.8944729617020795,0.5443436257575113
10000,0.3,2,203,10000,91065,0.8955994240925064,planted,18.213,57.0,0.4014567847830037,242,0.10705436094906844,0.11311169383626798,-0.0060573328871995485,49612,41453,0.4552023280074672,413.421224036861,466.25223736192856,0.8866900593893399,0.5395577177355189
10000,0.3,2,203,10000,91065,0.8955994240925064,leiden,18.213,57.0,0.4014567847830037,86,0.10724154551051815,0.11303282224839771,-0.005791276737879561,50651,40414,0.4437928951847581,414.17615182857423,464.56616848630824,0.8915331763784708,0.5434389474365744
10000,0.4,0,4,10000,93726,0.8575205332192699,planted,18.7452,60.0,0.40180688436285966,221,0.1023023163742549,0.10984889605462791,-0.0075465796803730195,39183,54543,0.5819409768900838,439.35584767981226,507.93744736237653,0.8649802253433063,0.41210506995965707
10000,0.4,0,4,10000,93726,0.8575205332192699,leiden,18.7452,60.0,0.40180688436285966,68,0.10282584139115954,0.10966463922890086,-0.006838797837741328,40713,53013,0.5656167979002624,440.86493878859903,503.39513177609115,0.8757830796518203,0.41846763290290706
10000,0.4,1,104,10000,93343,0.8484489801340785,planted,18.6686,59.0,0.3961216760917696,228,0.10272960427816218,0.11029353520984204,-0.007563930931679869,39018,54325,0.5819932935517392,432.15521398987573,498.92113896150494,0.8661794023989418,0.41252420742906243
10000,0.4,1,104,10000,93343,0.8484489801340785,leiden,18.6686,59.0,0.3961216760917696,69,0.10330220676289467,0.11008619890840297,-0.006783992145508302,40651,52692,0.5644986769227472,433.6027480452441,494.3627709035448,0.8770942586407753,0.4194792248355439
10000,0.4,2,204,10000,94174,0.8464955398713275,planted,18.8348,61.0,0.40321736091921656,237,0.10188394376141177,0.10927116103452172,-0.007387217273109953,39325,54849,0.5824218998874424,444.79762621014055,513.8398728544183,0.8656347039385188,0.41204592802173334
10000,0.4,2,204,10000,94174,0.8464955398713275,leiden,18.8348,61.0,0.40321736091921656,67,0.10241774022890553,0.10909528927280113,-0.0066775490438956,41024,53150,0.5643808269798458,446.0889746001881,509.30745417316695,0.8758736416383094,0.41901275376513153
10000,0.5,0,5,10000,94400,0.6667041419178291,planted,18.88,60.0,0.4032908685671363,240,0.09885182973134526,0.10891653893282409,-0.010064709201478825,27991,66409,0.7034851694915254,448.5466728907226,540.2695866528527,0.8302275085844021,0.29119931452662673
10000,0.5,0,5,10000,94400,0.6667041419178291,leiden,18.88,60.0,0.4032908685671363,46,0.10125392970067668,0.10827293884348126,-0.00701900914280458,31481,62919,0.6665148305084746,453.03878001875427,521.1230583526572,0.8693508620610133,0.30950227686907494
10000,0.5,1,105,10000,94437,0.6816538671109271,planted,18.8874,58.0,0.4084682138612149,233,0.09874102088230091,0.10891481787079123,-0.010173796988490316,28071,66366,0.7027542170971124,451.64897688575473,545.8360941897332,0.827444322010631,0.2917930980422253
10000,0.5,1,105,10000,94437,0.6816538671109271,leiden,18.8874,58.0,0.4084682138612149,49,0.10119540104547108,0.1082176028614607,-0.007022201815989629,31293,63144,0.6686362336795959,456.4238882554162,526.5034033170358,0.8668963683423315,0.3095787312488448
10000,0.5,2,205,10000,94699,0.6700814111008914,planted,18.9398,62.0,0.41032695871701674,235,0.09841330657643381,0.10865997485738045,-0.010246668280946641,28301,66398,0.7011478473901519,454.37148709298475,549.7037207165824,0.8265752440254096,0.29352887460711496
10000,0.5,2,205,10000,94699,0.6700814111008914,leiden,18.9398,62.0,0.41032695871701674,50,0.10105793826078652,0.10789684675452334,-0.00683890849373682,31836,62863,0.6638190477196169,459.9172008971891,528.1677346400302,0.870778676419231,0.3103251578958931
