network,arm,n,m,n_comms,Q_fixed_base,Q_fixed_base_std,delta,delta_std,hb,hb_std,dQ_fixed,dQ_fixed_std,actual_retention,actual_retention_std,n_reps,seconds
email-Eu-core,real,986,16064,8,0.41585277609990806,0.0,0.03400028641615006,0.0,2.1130545325546457,0.0,0.08193334267210715,0.0044200209903435695,0.44376660026560427,0.0017012741527863205,3,0.1
email-Eu-core,null,986,16064,8,0.12738841016815458,0.001300199669759694,0.0412881083691426,0.0015584144452487902,1.4035454378855503,0.0023775665483416475,0.035006591100077936,0.0032278493601680196,0.447257843625498,0.000514042099256531,4,0.3
wiki-Vote,real,7066,100736,7,0.42397618528227865,0.0,0.05132495596724757,0.0,1.9023088754692734,0.0,0.07108517602180814,0.0012267922124295644,0.3319534889877171,0.0007397770572033241,3,0.5
wiki-Vote,null,7066,100736,25,0.12595153018171582,0.0010690438646340436,0.10094217557363404,0.0008578359344889874,1.6885369343408987,0.02716971168235971,0.084326560218108,0.0012169847162807322,0.3330859871346887,0.000936830917519204,4,2.4
ca-GrQc,real,4158,13422,42,0.8513623535140842,0.0,0.08723506953795679,0.0,0.47820995409767336,0.0,0.017609826415055374,0.00581175922906397,0.452341926190831,0.0035712131845531897,3,0.1
ca-GrQc,null,4158,13422,30,0.3768288667575639,0.0013135880636060138,0.18899591213469116,0.0008797991151744677,1.758210677731826,0.06286856842377864,0.09908181875610496,0.003100450207274939,0.47360676501266574,0.002963078155183893,4,0.5
ca-HepTh,real,8638,24806,47,0.7618818232012058,0.0,0.1736473032809125,0.0,1.5813393919743293,0.0,0.05232279091354267,0.0022209100718427266,0.4770888763471203,0.0022805170783813528,3,0.3
ca-HepTh,null,8638,24806,53,0.4128646472064641,0.0011950512320037243,0.21466311765824525,0.0015342644549711376,1.9288761270895676,0.047256096908319445,0.09411402572847255,0.001598608187697282,0.4827461098121423,0.001365587735705429,4,1.3
facebook-combined,real,4039,88234,14,0.8355423244388935,0.0,-0.0013638792983321768,0.0,2.6805784490447526,0.0,0.025556098970271262,0.0013343788239100313,0.43680440646462815,0.0012450697399526017,3,0.3
facebook-combined,null,4039,88234,9,0.11456036255954741,7.132542975284845e-05,0.016970839369776277,0.0005930521295254877,1.391131008780214,0.042078359251535025,0.026965660316770494,0.0004906651840233162,0.45957057370174764,0.0012424114658277218,4,1.9
ca-CondMat,real,21363,91286,54,0.731159427192281,0.0,0.11257658386808375,0.0,2.4896442710970432,0.0,0.060564420233379455,0.0005674859793467031,0.4723250735782778,0.0006847757988289511,3,1.0
ca-CondMat,null,21363,91286,37,0.3119364029049604,8.022411092467596e-05,0.10179229975574344,0.00029290951274341115,1.49281686138378,0.031699475345974726,0.06665482140305617,0.0012131941409829212,0.4819413710755208,0.0008331786254685723,4,4.7
ca-HepPh,real,11204,117619,45,0.6511765764583316,0.0,0.021080995336047792,0.0,0.5014884122655481,0.0,0.08642192541614713,0.0016160210599656707,0.3398770606789719,0.0007613311466609585,3,0.7
ca-HepPh,null,11204,117619,18,0.15711477798687012,0.00018568698119023064,0.09353692694865631,0.0015611384319696928,1.8724811938499153,0.010418752105211593,0.09168421496864564,0.0016150967193059797,0.3825763694641172,0.0003213594976186364,4,3.0
ca-AstroPh,real,17903,196972,35,0.6343080993237187,0.0,0.03319857080793477,0.0,1.4956166705922789,0.0,0.03932982987962019,0.0007537459804219394,0.4170305085663613,0.0004471548571690726,3,1.5
ca-AstroPh,null,17903,196972,19,0.16759781517690078,0.0007281173444226297,0.04127700378179983,0.0024346232814046534,1.2935318957776176,0.006620516217975769,0.0488824614584817,0.0010996654664749358,0.4356685214142112,0.0006546644798541785,4,5.5
