dataset,n,m,sampler,alpha,actual_ret_mean,actual_ret_std,Q_base_mean,Q_base_std,Q_base_best,Q_raw_mean,Q_raw_std,Q_raw_best,Q_seeded_mean,Q_seeded_std,Q_seeded_best,Q_matched_best,n_matched_restarts,T_leiden,T_sparsify_mean,T_leiden_sparse_mean,T_seed_mean,T_pipe_mean,T_matched_spent,k_sparse_mean,k_seeded_mean,raw_minus_base,seeded_minus_base,seeded_minus_matched,seededbest_minus_matched
email-Eu-core,986,16064,calibrated,0.7,0.7002614541832669,0.0028562287426387206,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.41306459529784256,0.0011076888519126638,0.4143250245097797,0.4164301909022277,0.0010290335489551358,0.41738060131858024,0.4173622891247511,2,0.06060413992963731,0.010131207387894392,0.050375908217392865,0.04652864541858435,0.1070357610238716,0.12481574702542275,8.2,7.6,-0.0029838401312578533,0.00038175547312729874,-0.0009320982225233809,1.8312193829139733e-05
email-Eu-core,986,16064,calibrated,0.8,0.7996264940239044,0.0025610516728216265,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.41442360460424243,0.0012118325651336217,0.4158359481025104,0.4160097521548517,0.0011233627058736839,0.41737940969873,0.4173622891247511,2,0.06060413992963731,0.009537812578491867,0.05409269218798727,0.043915131408721206,0.10754563617520034,0.12287896394263953,8.0,7.8,-0.0016248308248579812,-3.8683274248718647e-05,-0.0013525369698993983,1.7120573978901543e-05
email-Eu-core,986,16064,calibrated,0.9,0.9002116533864543,0.0018596280372807426,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.41409294036503397,0.0014272882197044752,0.4157737164824269,0.4150178156274305,0.0015939356371205374,0.41658959824918457,0.4173622891247511,2,0.06060413992963731,0.010887100384570659,0.058932909416034816,0.04310292582958937,0.11292293563019484,0.12246429093647748,7.6,7.6,-0.001955495064066448,-0.0010306198016699075,-0.002344473497320587,-0.0007726908755665285
email-Eu-core,986,16064,calibrated,0.95,0.9506349601593624,0.0006976556636514637,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.41512507148944067,0.001993333767959463,0.4172689184435069,0.4155147218800347,0.0017514179771381346,0.41742345700613886,0.4173622891247511,2,0.06060413992963731,0.010903067793697119,0.05896492777392268,0.043445017747581006,0.1133130133152008,0.12311188608873636,7.6,7.6,-0.0009233639396597493,-0.0005337135490657285,-0.0018475672447164082,6.116788138776919e-05
email-Eu-core,986,16064,repo_noreplace,0.7,0.5211777888446216,0.0017845092497180259,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.4072758537097874,0.0027144537028445143,0.41144684598880377,0.4168565877488552,0.0002447276624257673,0.4172546054421507,0.4173622891247511,2,0.06060413992963731,0.00521588718984276,0.04413585916627198,0.0471809444250539,0.09653269078116863,0.12347653391771019,9.4,7.2,-0.008772581719313,0.0008081523197547846,-0.000505701375895895,-0.00010768368260039018
email-Eu-core,986,16064,repo_noreplace,0.8,0.5749750996015937,0.002266346663940774,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.40946451525819033,0.0019142899772069157,0.41143223653568,0.41664419497681593,0.00041574501948579484,0.41731292118627084,0.4173622891247511,2,0.06060413992963731,0.005821372219361365,0.04732186261098832,0.04588242960162461,0.09902566443197429,0.12310335505753756,8.8,7.6,-0.006583920170910085,0.0005957595477155131,-0.0007180941479351666,-4.936793848026033e-05
email-Eu-core,986,16064,repo_noreplace,0.9,0.6219123505976095,0.002527298440026759,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.4095208585323794,0.0020438520757425243,0.41205218887274603,0.414955258104162,0.002005831598804793,0.417360539478044,0.4173622891247511,2,0.06060413992963731,0.006375463213771582,0.04679675782099366,0.04601872719358653,0.09919094822835177,0.12461270089261234,8.4,7.8,-0.00652757689672101,-0.0010931773249384102,-0.00240703102058909,-1.7496467070721167e-06
email-Eu-core,986,16064,repo_noreplace,0.95,0.6445468127490039,0.003076736191868852,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.4107604946560868,0.0019822176755335936,0.41337234672180306,0.41605116511047446,0.0010763590675150795,0.41691357352896685,0.4173622891247511,2,0.06060413992963731,0.0062235064106062055,0.04881637799553573,0.045861485158093275,0.1009013695642352,0.12425526196602732,8.6,7.4,-0.0052879407730135886,2.729681374047388e-06,-0.0013111240142766323,-0.0004487155957842437
wiki-Vote,7066,100736,calibrated,0.7,0.7000039707750954,0.0010769258891035714,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.4215831223499049,0.004710333739052855,0.4275840419953078,0.4269155213033913,0.00211799879642973,0.4303061810512209,0.42936553688762724,2,0.45150317589286715,0.06256335619837046,0.3857945862459019,0.3676093352260068,0.8159672776702791,0.963838868890889,7.0,6.2,-0.00284198377963929,0.0024904151738470715,-0.002450015584235965,0.0009406441635936846
wiki-Vote,7066,100736,calibrated,0.8,0.7995671855146125,0.0009139772061721506,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.4232671540203934,0.002078006437009423,0.42642595659541715,0.42466333862229205,0.0020725880644974553,0.42776384722238786,0.42936553688762724,2,0.45150317589286715,0.06827405020594597,0.40733074441086503,0.3529122096253559,0.8285170042421669,0.9758279459783807,6.8,6.4,-0.0011579521091508171,0.0002382324927478474,-0.004702198265335189,-0.0016016896652393808
wiki-Vote,7066,100736,calibrated,0.9,0.9003335451080051,0.00047851546909921015,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.4210188818743855,0.0028417525870711325,0.4249181503801651,0.42249141156105363,0.003330618108957224,0.42556346021324665,0.42936553688762724,2,0.45150317589286715,0.0776978668058291,0.4306587083963677,0.34884439562447367,0.8572009708266706,0.966543294955045,8.8,8.2,-0.003406224255158685,-0.0019336945684905738,-0.00687412532657361,-0.0038020766743805945
wiki-Vote,7066,100736,calibrated,0.95,0.9500416931385006,0.0005422543739210134,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.42193121123567073,0.004809402635678571,0.42924462299005683,0.42218571553597417,0.0048867332981799546,0.4296997992389577,0.42936553688762724,2,0.45150317589286715,0.07937301241327077,0.4499005773803219,0.34826637580990794,0.8775399656035006,0.975758699933067,10.2,10.8,-0.0024938948938734717,-0.0022393905935700342,-0.007179821351653071,0.0003342623513304388
wiki-Vote,7066,100736,repo_noreplace,0.7,0.3657202986022872,0.0006503288367961445,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.4077784818105011,0.004014451095194439,0.4133123573842295,0.4257976314082955,0.0030163422014262676,0.42821513196506167,0.42936553688762724,2,0.45150317589286715,0.02440354540012777,0.30783973704092205,0.3943424671655521,0.7265857496066019,0.9805213620420545,8.2,5.8,-0.016646624319043124,0.0013725252787513131,-0.0035679054793317233,-0.0011504049225655733
wiki-Vote,7066,100736,repo_noreplace,0.8,0.399507623888183,0.000779789867613159,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.4134905505284946,0.004760644306359218,0.4175887690036843,0.4279947763561995,0.0022076169487336415,0.4299440482624599,0.42936553688762724,2,0.45150317589286715,0.025694638187997044,0.31021315718535336,0.39215939077548684,0.7280671861488373,0.9785150360548869,8.0,6.2,-0.010934555601049611,0.003569670226655275,-0.0013707605314277616,0.0005785113748326687
wiki-Vote,7066,100736,repo_noreplace,0.9,0.4315656766200762,0.0005251115489821282,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.41604570645153327,0.001133008707689175,0.4178242407541076,0.4280680049446146,0.002045620553465384,0.43014595328343685,0.42936553688762724,2,0.45150317589286715,0.028104432160034776,0.3297709440346807,0.3821358482120559,0.7400112244067714,0.9717893870547414,8.0,6.4,-0.008379399678010935,0.0036428988150704056,-0.0012975319430126309,0.0007804163958096133
wiki-Vote,7066,100736,repo_noreplace,0.95,0.4470100063532401,0.0006346411713191836,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.4130276852979132,0.008682797916685959,0.41967782552828586,0.42476305665122044,0.004418211369628442,0.42920525891162775,0.42936553688762724,2,0.45150317589286715,0.0295522999484092,0.3279504128498957,0.3838827357860282,0.7413854485843331,0.9796330069657415,8.2,5.8,-0.011397420831630978,0.0003379505216762335,-0.004602480236406803,-0.0001602779759994899
ca-HepTh,8638,24806,calibrated,0.7,0.6993308070628074,0.0021108837402278695,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.7239906229301404,0.003174431997500778,0.7274171004875768,0.7573279489766168,0.0012470272924143741,0.7587416666644458,0.7621034738723506,2,0.270249285036698,0.014004335226491093,0.2505438087740913,0.2118637033738196,0.476411847374402,0.5461794318398461,64.4,47.0,-0.037375970450148066,-0.004038644403671632,-0.00477552489573374,-0.003361807207904799
ca-HepTh,8638,24806,calibrated,0.8,0.799717810207208,0.0011853342402568406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.7442339564615873,0.0018920871754155085,0.7469289599896989,0.7599511434727193,0.0013058414062202181,0.7621791827145772,0.7621034738723506,2,0.270249285036698,0.015397305390797556,0.25741503562312573,0.20746267458889633,0.4802750156028196,0.5458978010574356,56.6,49.6,-0.01713263691870115,-0.001415449907569144,-0.0021523303996312526,7.570884222662944e-05
ca-HepTh,8638,24806,calibrated,0.9,0.9006450052406676,0.0012800449549525378,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.7543751183780997,0.001384674343543311,0.7561508995688995,0.760465657588999,0.0014151329480245976,0.762274893583789,0.7621034738723506,2,0.270249285036698,0.01737128521781415,0.27008329138625414,0.20483157499693333,0.49228615160100164,0.5515861338935792,51.2,49.6,-0.006991475002188774,-0.00090093579128947,-0.0016378162833515786,0.00017141971143841417
ca-HepTh,8638,24806,calibrated,0.95,0.9499153430621623,0.0007959512329716411,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.7578806970617348,0.0010544316089582911,0.7589174335827557,0.7619424499170403,0.0007859720407807895,0.7629419168178426,0.7621034738723506,2,0.270249285036698,0.01771918162703514,0.27075940715149044,0.2010159666184336,0.4894945553969592,0.541285358951427,49.4,49.6,-0.0034858963185536718,0.0005758565367518509,-0.0001610239553102577,0.0008384429454920683
ca-HepTh,8638,24806,repo_noreplace,0.7,0.5719825848585021,0.0013998712804492827,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.6783256857378375,0.0016470675611175518,0.6799087988825698,0.7557085299102362,0.0014270801437812665,0.7582230148197858,0.7621034738723506,2,0.270249285036698,0.009074390400201082,0.2327814024174586,0.21719198243226856,0.45904777524992824,0.5426238410873339,112.0,45.4,-0.08304090764245098,-0.005658063470052266,-0.0063949439621143744,-0.003880459052564733
ca-HepTh,8638,24806,repo_noreplace,0.8,0.6189067161170685,0.0008388943466560693,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.6990143685929198,0.004366246580086411,0.7062177982885486,0.75399328556591,0.001966347792212313,0.7561271012520999,0.7621034738723506,2,0.270249285036698,0.00987086419481784,0.23927041576243938,0.21509361141361297,0.46423489137087015,0.5454848851077259,86.2,47.4,-0.06235222478736868,-0.007373307814378394,-0.008110188306440502,-0.005976372620250636
ca-HepTh,8638,24806,repo_noreplace,0.9,0.6596065468031928,0.0013145691024551381,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.7103869084646723,0.005734752126729764,0.7176509539878035,0.7546524774896103,0.0008685960617268459,0.7562096713681268,0.7621034738723506,2,0.270249285036698,0.010496223182417452,0.24254602279979737,0.21354085584171117,0.466583101823926,0.5515299799153581,71.2,46.8,-0.05097968491561611,-0.006714115890678163,-0.007450996382740271,-0.005893802504223777
ca-HepTh,8638,24806,repo_noreplace,0.95,0.6780859469483189,0.0009710622982757552,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.717880343012206,0.00463913329076881,0.7228066365178415,0.7568318852188654,0.0013154289142552852,0.7581878585109003,0.7621034738723506,2,0.270249285036698,0.01048361996654421,0.24126782920211554,0.20726692457683385,0.4590183737454936,0.5055436660768464,70.2,47.8,-0.0434862503680824,-0.0045347081614230955,-0.005271588653485204,-0.003915615361450242
ca-CondMat,21363,91286,calibrated,0.7,0.6998400630983941,0.0011353641114954488,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.7014406806483489,0.0023990029602727427,0.7046690775946348,0.7243636410827168,0.002237838017228064,0.7280431624549426,0.7293820280333824,2,0.7680785140255466,0.05084522240795195,0.6770857205847278,0.5640413828194142,1.2919723258120939,1.5323147559538484,73.6,54.0,-0.02934953689539932,-0.006426576461031397,-0.005018386950665588,-0.001338865578439763
ca-CondMat,21363,91286,calibrated,0.8,0.8002344280612579,0.0007957099726357042,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.7149064000459978,0.00207260680107963,0.7174209177308164,0.727916108944712,0.0012707188348703776,0.7295562030239118,0.7293820280333824,2,0.7680785140255466,0.05528129718732089,0.7106966820079833,0.5594614165602252,1.3254393957555295,1.562320030061528,65.0,52.8,-0.015883817497750363,-0.0028741085990361404,-0.001465919088670331,0.00017417499052940766
ca-CondMat,21363,91286,calibrated,0.9,0.9000087636658414,0.0002798375869501422,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.7237716230111517,0.0006578853316903354,0.725039534034622,0.7307594013098694,0.0011232321732193072,0.7319535808278768,0.7293820280333824,2,0.7680785140255466,0.06686986477579922,0.7962697390001268,0.6082227492239326,1.4713623529998585,1.716145885991864,57.0,54.0,-0.007018594532596456,-3.0816233878794286e-05,0.001377373276487015,0.0025715527944943917
ca-CondMat,21363,91286,calibrated,0.95,0.9502968691803781,0.0004260980489851618,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.728414462325525,0.0016318027374290238,0.7310708923123594,0.7323726774109266,0.0016103502077622481,0.7348433820226642,0.7293820280333824,2,0.7680785140255466,0.06939325779676438,0.8312185840215534,0.6012102910317481,1.5018221328500658,1.7226010469021276,56.8,55.4,-0.0023757552182231967,0.0015824598671784207,0.00299064937754423,0.005461353989281825
ca-CondMat,21363,91286,repo_noreplace,0.7,0.5662073045154787,0.0006975721120773063,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.6734243130589954,0.0029253432553699586,0.6782937982122852,0.7216054699717437,0.0017142007036189317,0.7232842756458727,0.7293820280333824,2,0.7680785140255466,0.03310973839834332,0.7067912637954578,0.6605080206179992,1.4004090228118002,1.7458806560607627,96.6,53.6,-0.05736590448475276,-0.009184747572004492,-0.007776558061638683,-0.006097752387509647
ca-CondMat,21363,91286,repo_noreplace,0.8,0.6146703766185395,0.0007967950815165598,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.6848474292515727,0.002353996996568826,0.6873751967416508,0.7216955741532413,0.0016324693541064654,0.7236531407781565,0.7293820280333824,2,0.7680785140255466,0.0367768440162763,0.7365667145932093,0.6569064153824001,1.4302499739918857,1.7416774249868467,81.8,51.8,-0.04594278829217546,-0.009094643390506918,-0.007686453880141109,-0.005728887255225912
ca-CondMat,21363,91286,repo_noreplace,0.9,0.6567052998269176,0.0011202633842468139,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.6937782078184214,0.0014590796297196814,0.6955979307307404,0.7226645647152163,0.0010711867289757335,0.7243090551236838,0.7293820280333824,2,0.7680785140255466,0.03852961577940732,0.7520471594063565,0.6444058407796547,1.4349826159654184,1.7225540839135647,77.4,53.0,-0.03701200972532681,-0.008125652828531837,-0.006717463318166028,-0.005072972909698548
