dataset,condition,method,retention_nominal,resolution,seed,n,m,m_sparse,true_retention,t_sparsify,t_leiden,gt2det,det2gt_all,det2gt_ge3,avgF1_all,avgF1_ge3,n_clusters,n_clusters_ge3,largest_cluster
com-Amazon,baseline,None,1.0,1.0,0,334863,925872,925872,1.0,0.0,1.24,0.12218,0.304303,0.304303,0.213241,0.213241,367,367,11919
com-Amazon,baseline,None,1.0,1.0,1,334863,925872,925872,1.0,0.0,1.25,0.125759,0.302016,0.302016,0.213887,0.213887,366,366,11847
com-Amazon,baseline,None,1.0,1.0,2,334863,925872,925872,1.0,0.0,1.25,0.11873,0.290362,0.290362,0.204546,0.204546,369,369,12004
com-Amazon,dspar_paper_08,paper,0.8,1.0,0,334863,925872,477410,0.5156,0.45,0.95,0.422518,0.031813,0.148079,0.227165,0.285299,15447,2981,9779
com-Amazon,dspar_paper_08,paper,0.8,1.0,1,334863,925872,477219,0.5154,0.46,0.94,0.416358,0.031657,0.14902,0.224008,0.282689,15446,2915,9103
com-Amazon,dspar_paper_08,paper,0.8,1.0,2,334863,925872,477409,0.5156,0.45,0.9,0.420962,0.032838,0.152934,0.2269,0.286948,15594,2981,9035
com-Amazon,dspar_nr_09,probabilistic_no_replace,0.9,1.0,0,334863,925872,706551,0.7631,0.39,1.05,0.156978,0.213048,0.282765,0.185013,0.219871,681,511,12201
com-Amazon,dspar_nr_09,probabilistic_no_replace,0.9,1.0,1,334863,925872,707434,0.7641,0.37,1.04,0.149152,0.205961,0.268337,0.177556,0.208744,674,517,11384
com-Amazon,dspar_nr_09,probabilistic_no_replace,0.9,1.0,2,334863,925872,707942,0.7646,0.37,1.06,0.130387,0.188955,0.249805,0.159671,0.190096,694,523,12175
com-Amazon,resmatch_dspar_paper_08,none_resolution_matched,1.0,1024.0,0,334863,925872,925872,1.0,0.0,14.41,0.744541,0.061775,0.061787,0.403158,0.403164,15018,15015,200
com-Amazon,resmatch_dspar_paper_08,none_resolution_matched,1.0,1024.0,1,334863,925872,925872,1.0,0.0,14.12,0.749076,0.062075,0.062087,0.405575,0.405581,15024,15021,200
com-Amazon,resmatch_dspar_paper_08,none_resolution_matched,1.0,1024.0,2,334863,925872,925872,1.0,0.0,14.35,0.745679,0.061734,0.061746,0.403706,0.403713,15002,14999,200
com-Amazon,resmatch_dspar_nr_09,none_resolution_matched,1.0,3.5,0,334863,925872,925872,1.0,0.0,5.9,0.148747,0.205247,0.205247,0.176997,0.176997,679,679,4255
com-Amazon,resmatch_dspar_nr_09,none_resolution_matched,1.0,4.0,1,334863,925872,925872,1.0,0.0,3.47,0.148547,0.197547,0.197547,0.173047,0.173047,717,717,4077
com-Amazon,resmatch_dspar_nr_09,none_resolution_matched,1.0,3.5,2,334863,925872,925872,1.0,0.0,5.88,0.144853,0.20753,0.20753,0.176192,0.176192,664,664,3849
com-DBLP,baseline,None,1.0,1.0,0,317080,1049866,1049866,1.0,0.0,1.17,0.023534,0.235245,0.235245,0.12939,0.12939,278,278,23478
com-DBLP,baseline,None,1.0,1.0,1,317080,1049866,1049866,1.0,0.0,1.16,0.02492,0.274268,0.274268,0.149594,0.149594,280,280,21973
com-DBLP,baseline,None,1.0,1.0,2,317080,1049866,1049866,1.0,0.0,1.16,0.024652,0.29476,0.29476,0.159706,0.159706,249,249,19802
com-DBLP,dspar_paper_08,paper,0.8,1.0,0,317080,1049866,491861,0.4685,0.5,0.86,0.089828,0.037111,0.115482,0.063469,0.102655,10721,2582,9747
com-DBLP,dspar_paper_08,paper,0.8,1.0,1,317080,1049866,491960,0.4686,0.51,0.84,0.088959,0.036752,0.115254,0.062855,0.102107,10661,2603,9861
com-DBLP,dspar_paper_08,paper,0.8,1.0,2,317080,1049866,492213,0.4688,0.49,0.81,0.082968,0.033962,0.107633,0.058465,0.095301,10686,2528,6693
com-DBLP,dspar_nr_09,probabilistic_no_replace,0.9,1.0,0,317080,1049866,682640,0.6502,0.39,0.9,0.029175,0.175469,0.182299,0.102322,0.105737,484,460,14160
com-DBLP,dspar_nr_09,probabilistic_no_replace,0.9,1.0,1,317080,1049866,682948,0.6505,0.39,0.91,0.029958,0.174066,0.184981,0.102012,0.10747,497,467,13153
com-DBLP,dspar_nr_09,probabilistic_no_replace,0.9,1.0,2,317080,1049866,683414,0.651,0.4,0.92,0.030606,0.187359,0.197311,0.108982,0.113958,476,450,14374
com-DBLP,resmatch_dspar_paper_08,none_resolution_matched,1.0,512.0,0,317080,1049866,1049866,1.0,0.0,12.29,0.409897,0.172112,0.174387,0.291005,0.292142,10192,10055,101
com-DBLP,resmatch_dspar_paper_08,none_resolution_matched,1.0,512.0,1,317080,1049866,1049866,1.0,0.0,12.14,0.410556,0.171901,0.17424,0.291228,0.292398,10200,10059,99
com-DBLP,resmatch_dspar_paper_08,none_resolution_matched,1.0,512.0,2,317080,1049866,1049866,1.0,0.0,12.24,0.411996,0.1725,0.174801,0.292248,0.293399,10184,10045,99
com-DBLP,resmatch_dspar_nr_09,none_resolution_matched,1.0,4.0,0,317080,1049866,1049866,1.0,0.0,3.38,0.03907,0.142002,0.142002,0.090536,0.090536,507,507,5652
com-DBLP,resmatch_dspar_nr_09,none_resolution_matched,1.0,4.0,1,317080,1049866,1049866,1.0,0.0,3.47,0.037492,0.137429,0.137429,0.08746,0.08746,505,505,5614
com-DBLP,resmatch_dspar_nr_09,none_resolution_matched,1.0,4.0,2,317080,1049866,1049866,1.0,0.0,3.47,0.037446,0.133833,0.133833,0.08564,0.08564,504,504,5511
com-Youtube,baseline,None,1.0,1.0,0,1134890,2987624,2987624,1.0,0.0,4.32,0.014614,0.006427,0.006427,0.01052,0.01052,5983,5983,182223
com-Youtube,baseline,None,1.0,1.0,1,1134890,2987624,2987624,1.0,0.0,4.32,0.013025,0.0058,0.0058,0.009412,0.009412,5963,5963,183190
com-Youtube,baseline,None,1.0,1.0,2,1134890,2987624,2987624,1.0,0.0,4.28,0.013908,0.006263,0.006263,0.010085,0.010085,6027,6027,181837
com-Youtube,dspar_paper_08,paper,0.8,1.0,0,1134890,2987624,1225406,0.4102,1.4,3.02,0.093143,0.002706,0.006619,0.047925,0.049881,125439,20035,60092
com-Youtube,dspar_paper_08,paper,0.8,1.0,1,1134890,2987624,1225537,0.4102,1.43,3.04,0.091547,0.002607,0.006607,0.047077,0.049077,125158,20250,58946
com-Youtube,dspar_paper_08,paper,0.8,1.0,2,1134890,2987624,1223841,0.4096,1.44,3.04,0.095011,0.002714,0.006566,0.048863,0.050789,125632,20311,60371
com-Youtube,dspar_nr_09,probabilistic_no_replace,0.9,1.0,0,1134890,2987624,1566304,0.5243,1.08,3.0,0.016414,0.0048,0.005671,0.010607,0.011043,8219,5449,95145
com-Youtube,dspar_nr_09,probabilistic_no_replace,0.9,1.0,1,1134890,2987624,1566192,0.5242,1.05,3.03,0.017038,0.005426,0.006325,0.011232,0.011681,8022,5268,91916
com-Youtube,dspar_nr_09,probabilistic_no_replace,0.9,1.0,2,1134890,2987624,1566158,0.5242,1.04,2.75,0.016637,0.005415,0.006322,0.011026,0.01148,8127,5355,92652
com-Youtube,resmatch_dspar_paper_08,none_resolution_matched,1.0,2560.0,0,1134890,2987624,2987624,1.0,0.0,79.9,0.233368,0.010382,0.023474,0.121875,0.128421,126302,54552,910
com-Youtube,resmatch_dspar_paper_08,none_resolution_matched,1.0,2560.0,1,1134890,2987624,2987624,1.0,0.0,84.63,0.234059,0.010391,0.023512,0.122225,0.128786,126232,54490,910
com-Youtube,resmatch_dspar_paper_08,none_resolution_matched,1.0,2560.0,2,1134890,2987624,2987624,1.0,0.0,88.24,0.233683,0.01038,0.023466,0.122032,0.128575,126310,54582,910
com-Youtube,resmatch_dspar_nr_09,none_resolution_matched,1.0,96.0,0,1134890,2987624,2987624,1.0,0.0,44.48,0.062261,0.024264,0.024495,0.043263,0.043378,7850,7776,7384
com-Youtube,resmatch_dspar_nr_09,none_resolution_matched,1.0,96.0,1,1134890,2987624,2987624,1.0,0.0,45.75,0.061995,0.024008,0.024237,0.043002,0.043116,7841,7767,7384
com-Youtube,resmatch_dspar_nr_09,none_resolution_matched,1.0,96.0,2,1134890,2987624,2987624,1.0,0.0,45.39,0.063143,0.024368,0.0246,0.043755,0.043871,7841,7767,7384
