predictor,outcome,n,spearman_rho,spearman_p,pearson_r,pearson_p
delta_real,y,15,0.1714285714285714,0.5412721760996332,0.20653651760465463,0.4601881758235626
delta_real,y2,15,0.1964285714285714,0.4828987562716336,0.20491609982462825,0.4637931221486266
delta_star,y,15,-0.075,0.7905107941552679,-0.3598787361834386,0.18765188298597602
delta_star,y2,15,-0.3857142857142856,0.15563079458596027,-0.39774924368336934,0.14204412844470693
delta_ratio,y,15,0.10357142857142855,0.7133796306287293,0.05922884837074289,0.8339218476946711
delta_ratio,y2,15,-0.24642857142857136,0.37595051597380513,-0.09098350008769107,0.7470914627692645
dQ_ratio,y,15,-0.08928571428571427,0.751672517350277,-0.1655146356532919,0.5555172032973205
dQ_ratio,y2,15,-0.42857142857142855,0.11096021426087671,-0.3405180290416822,0.2142586613662798
dQ_excess,y,15,-0.1464285714285714,0.602549920983054,-0.34563470668302815,0.2070069067080528
dQ_excess,y2,15,-0.44999999999999996,0.09235737494812248,-0.4014388467601888,0.13804459842776945
hb_real,y,15,0.30357142857142855,0.27135583600386837,0.1293213365969812,0.6459864680108208
hb_real,y2,15,-0.049999999999999996,0.859540943467457,0.03599279674660777,0.8986665562075945
hb_excess,y,15,-0.21071428571428572,0.45095786521528514,0.037943973505325385,0.8932014664733551
hb_excess,y2,15,-0.5714285714285713,0.026063193376362856,0.03986223262299986,0.8878329183668597
hb_ratio,y,15,-0.049999999999999996,0.859540943467457,-0.23438002312955972,0.40045755102896297
hb_ratio,y2,15,-0.4357142857142856,0.10449335704406648,-0.44485958142195564,0.09660349412494142
deg_cv,y,15,0.33928571428571425,0.2160289253419548,0.12228648059783867,0.6641712718209346
deg_cv,y2,15,0.34642857142857136,0.2058959920935511,0.10911749307473258,0.6986774990000846
Qfix_real,y,15,0.19999999999999998,0.47481396452216845,0.25723822244664535,0.35467565364848197
Qfix_real,y2,15,0.21071428571428572,0.45095786521528514,0.17935023536780476,0.5224467826700571
Qfix_ratio,y,15,-0.11785714285714284,0.6757115292213043,-0.1845851870208678,0.5101711129264963
Qfix_ratio,y2,15,-0.15,0.5936302027425882,-0.2424757662673256,0.38389915983579254
avg_deg,y,15,-0.28571428571428564,0.30193635132254926,-0.35764640666477054,0.19060458888842344
avg_deg,y2,15,-0.39642857142857135,0.14349453144235366,-0.40266702356413175,0.13673034664400088
n,y,15,0.4678571428571427,0.07863023115438063,0.16434061894336044,0.5583640822525231
n,y2,15,0.5249999999999999,0.04448390580010633,0.1438322203840261,0.6090674339746532
m,y,15,0.37499999999999994,0.16843274984674547,0.24752094434018307,0.37376975283108893
m,y2,15,0.44999999999999996,0.09235737494812248,0.22354925719593133,0.4231870652450788
