network,n,m,alpha,actual_ret_mean,Q_base_mean,Q_base_std,Q_base_best,Q_raw_mean,Q_seeded_mean,Q_seeded_std,Q_seeded_best,Q_matched_best,n_matched_restarts,T_leiden,T_pipe_mean,T_matched_spent,k_seeded_mean,y,y2,y_best,raw_minus_base
email-Eu-core,986,16064,0.9,0.8998588977423639,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.4141097307731227,0.41506649752872643,0.002055170350884815,0.41658959824918457,0.4173622891247511,2,0.05612346692942083,0.09935694164596498,0.11442710692062974,7.333333333333333,-0.0022957915960246655,-0.0009819379003739859,-0.0007726908755665285,-0.00193870465597773
wiki-Vote,7066,100736,0.9,0.9001052255400254,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.42134294518474374,0.42344061234436325,0.0016615642879625973,0.4247959877811222,0.42936553688762724,2,0.40382879797834903,0.7298784850475689,0.8573455420555547,6.0,-0.005924924543263987,-0.000984493785180951,-0.004569549106505033,-0.0030821609448004605
ca-GrQc,4158,13422,0.9,0.9001639099985099,0.8505753802479493,0.0009501260754065612,0.8521391780200336,0.8505089141858703,0.8521045439349709,0.00024288373705481329,0.8524459389094708,0.851743430216774,2,0.1049202959984541,0.1873951710682983,0.21007052692584693,42.666666666666664,0.00036111371819691485,0.0015291636870216063,0.0007025086926968349,-6.646606207905137e-05
ca-HepTh,8638,24806,0.9,0.9010588836034293,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.7549128356365751,0.7604975346683763,0.0010178578483677077,0.7613234135088724,0.7621034738723506,2,0.24721899605356157,0.4361748233592759,0.49700056796427816,50.333333333333336,-0.001605939203974227,-0.0008690587119121185,-0.0007800603634781078,-0.006453757743713373
facebook-combined,4039,88234,0.9,0.9001254240617751,0.8356305297106292,7.337949326556361e-05,0.8357632077738683,0.8354656504469915,0.835565090364541,0.00025803129592382904,0.8357874649618517,0.8354646731273607,2,0.22833590500522405,0.39971593394875526,0.4424140410264954,16.0,0.0001004172371802392,-6.543934608826962e-05,0.0003227918344910208,-0.00016487926363772942
ca-CondMat,21363,91286,0.9,0.8999919666396453,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.7240392468632658,0.7312170195713007,0.0005312916318413036,0.7319535808278768,0.7293820280333824,2,0.7573580000316724,1.2642646317059796,1.5104837600374594,55.666666666666664,0.001834991537918329,0.0004268020275525197,0.0025715527944943917,-0.00675097068048236
ca-HepPh,11204,117619,0.9,0.8995627123735677,0.6583124429277335,0.0009756259171697958,0.6593670823536245,0.6553726982533683,0.6598798443406335,0.0015607323914883164,0.661940074501271,0.6601945769228392,2,0.5293085909215733,0.9277360220051681,1.0635303049348295,36.333333333333336,-0.0003147325822057123,0.0015674014129000158,0.0017454975784317872,-0.0029397446743651967
ca-AstroPh,17903,196972,0.9,0.9002870120287824,0.630793634469666,0.002697974401314528,0.6338904862241722,0.6284021460006888,0.6328286549662171,0.0007087134030943108,0.633511058358194,0.6315539444581663,2,1.0714528849348426,1.7532178867065038,2.143096128012985,35.0,0.0012747105080508359,0.002035020496551132,0.0019571139000277293,-0.0023914884689771876
email-Enron,33696,180811,0.9,0.8996115649305997,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.609731170329696,0.6127979874632247,0.001405972839680502,0.6142259390443754,0.605125368663654,2,1.2127858198946342,2.1472761360928416,2.454043806064874,162.66666666666666,0.007672618799570707,0.005700682769542054,0.009100570380721429,0.0026338656360134216
cit-HepTh,27400,352021,0.9,0.9001034976133052,0.6620924677901715,0.0022736725408574777,0.6646954223128052,0.6602271082055905,0.6611377732123181,0.001825051270885871,0.6627891781580908,0.6578969283693704,2,1.8021240408997983,3.006068768988674,3.607928415061906,32.333333333333336,0.003240844842947732,-0.0009546945778533544,0.004892249788720382,-0.0018653595845810056
cit-HepPh,34401,420784,0.9,0.9002790030039165,0.7318804813343723,0.001944169989880547,0.7339093218522267,0.7328743905388811,0.7334865534021947,0.0013960344028405517,0.7352312537315253,0.7343127566707772,2,2.1115700129885226,3.6813388546773544,4.254669813206419,21.333333333333332,-0.0008262032685825149,0.0016060720678223728,0.0009184970607480913,0.0009939092045088138
com-Amazon,334863,925872,0.9,0.8998126450884499,0.9294378798472908,0.00027737069092449197,0.929799686947217,0.9272457843704459,0.9300208880808526,0.00014738776659243516,0.9302212623989885,0.9295750264868329,2,10.818948058993556,19.739595775298465,22.47319529997185,365.0,0.00044586159401971415,0.0005830082335618325,0.0006462359121556238,-0.0021920954768448464
com-DBLP,317080,1049866,0.9,0.8998707136593306,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.8220351496583378,0.8281062658138086,0.00022698032927320172,0.8283944805802127,0.8275383822349047,2,12.965639868052676,22.017268884034518,27.830273083993234,213.66666666666666,0.000567883578903916,0.0024056001069162614,0.0008560983453079762,-0.0036655160485545846
com-Youtube,1134890,2987624,0.9,0.900011848880582,0.7245063774934801,0.003436901864147399,0.7284646895984925,0.7275098422376581,0.7295705203479402,0.00014056948411050245,0.7296785014602922,0.7209317665597437,2,103.01424984494224,186.33029091509525,215.98091489600483,4810.333333333333,0.008638753788196563,0.0050641428544601075,0.008746734900548558,0.0030034647441780082
wiki-Talk,2388953,4656682,0.9,0.8999789979216962,0.6011474344181441,0.0006579433654481747,0.6017966377793951,0.5967791049296911,0.6014673611885922,0.00032797006320812593,0.6017402463631168,0.6020448685013391,2,232.3429696529638,200.19782935998714,232.80690556997433,257.0,-0.0005775073127468611,0.0003199267704481201,-0.0003046221382222436,-0.004368329488453004
