network,n,m,avg_deg,deg_cv,deg_max,delta_real,delta_null,delta_star,delta_ratio,hb_real,hb_null,hb_excess,hb_ratio,dQ_real,dQ_null,dQ_excess,dQ_ratio,Qfix_real,Qfix_null,Qfix_ratio,delta_null_std,hb_null_std,dQ_null_std
email-Eu-core,986,16064,32.5841784989858,1.1363031286334035,345,0.03400028641615006,0.0412881083691426,-0.007287821952992539,0.8234885965752012,2.1130545325546457,1.4035454378855503,0.7095090946690954,1.5055120237061759,0.08193334267210715,0.035006591100077936,0.04692675157202922,2.34051188925747,0.41585277609990806,0.12738841016815458,3.264447492130377,0.0015584144452487902,0.0023775665483416475,0.0032278493601680196
wiki-Vote,7066,100736,28.512878573450326,2.02464956247605,1065,0.05132495596724757,0.10094217557363404,-0.049617219606386466,0.5084589833295963,1.9023088754692734,1.6885369343408987,0.21377194112837472,1.1266018745463913,0.07108517602180814,0.084326560218108,-0.01324138419629986,0.8429749279224549,0.42397618528227865,0.12595153018171582,3.366185267226127,0.0008578359344889874,0.02716971168235971,0.0012169847162807322
ca-GrQc,4158,13422,6.455988455988456,1.3361011482507996,81,0.08723506953795679,0.18899591213469116,-0.10176084259673437,0.4615711977716599,0.47820995409767336,1.758210677731826,-1.2800007236341526,0.27198671931317503,0.017609826415055374,0.09908181875610496,-0.08147199234104958,0.1777301490438208,0.8513623535140842,0.3768288667575639,2.259281144885897,0.0008797991151744677,0.06286856842377864,0.003100450207274939
ca-HepTh,8638,24806,5.74345913405881,1.123171459531342,65,0.1736473032809125,0.21466311765824525,-0.04101581437733276,0.8089293828172567,1.5813393919743293,1.9288761270895676,-0.3475367351152383,0.8198242332753489,0.05232279091354267,0.09411402572847255,-0.04179123481492988,0.5559510445817996,0.7618818232012058,0.4128646472064641,1.8453549567788647,0.0015342644549711376,0.047256096908319445,0.001598608187697282
facebook-combined,4039,88234,43.69101262688784,1.1996544006654382,1045,-0.0013638792983321768,0.016970839369776277,-0.018334718668108454,-0.08036604840896308,2.6805784490447526,1.391131008780214,1.2894474402645386,1.9269058285137108,0.025556098970271262,0.026965660316770494,-0.0014095613464992322,0.94772754199449,0.8355423244388935,0.11456036255954741,7.293467878164112,0.0005930521295254877,0.042078359251535025,0.0004906651840233162
ca-CondMat,21363,91286,8.546177971258718,1.276421817287541,279,0.11257658386808375,0.10179229975574344,0.010784284112340309,1.1059440069456907,2.4896442710970432,1.49281686138378,0.9968274097132632,1.6677492969829166,0.060564420233379455,0.06665482140305617,-0.006090401169676719,0.9086277475285911,0.731159427192281,0.3119364029049604,2.3439374833563362,0.00029290951274341115,0.031699475345974726,0.0012131941409829212
ca-HepPh,11204,117619,20.995894323455907,2.287668083176663,491,0.021080995336047792,0.09353692694865631,-0.07245593161260852,0.22537618054973557,0.5014884122655481,1.8724811938499153,-1.3709927815843672,0.2678202664532308,0.08642192541614713,0.09168421496864564,-0.005262289552498509,0.9426041925068768,0.6511765764583316,0.15711477798687012,4.144591519664367,0.0015611384319696928,0.010418752105211593,0.0016150967193059797
ca-AstroPh,17903,196972,22.004356811707535,1.4092393137210237,504,0.03319857080793477,0.04127700378179983,-0.008078432973865061,0.8042873214206728,1.4956166705922789,1.2935318957776176,0.20208477481466125,1.1562271293613338,0.03932982987962019,0.0488824614584817,-0.009552631578861506,0.8045795712031598,0.6343080993237187,0.16759781517690078,3.7847038677336076,0.0024346232814046534,0.006620516217975769,0.0010996654664749358
email-Enron,33696,180811,10.731896961063628,3.5022164233507773,1383,0.15007964500757942,0.2399520810698438,-0.08987243606226439,0.6254567342714362,2.9744190640227472,4.471915468428589,-1.497496404405842,0.6651331146623719,0.14224651905118135,0.1562139125915573,-0.01396739354037596,0.9105880308055812,0.612428927514086,0.2420425840408335,2.5302528063027405,0.0035977028647510567,0.1746035630706384,0.0012921276635592973
cit-HepTh,27400,352021,25.694963503649635,1.7722047976677755,2468,0.026474311730763464,0.03219397559882149,-0.005719663868058028,0.8223374478712283,2.1725629541584786,1.7775272673300306,0.3950356868284479,1.2222388899956618,0.04612286268534956,0.03759029794821377,0.00853256473713579,1.2269884838074618,0.6566588620689939,0.15825581788075954,4.149350531705346,8.567575761445068e-05,0.14946136109221564,0.0006025240074462013
