dataset,n,m,k_gt,condition,seed,true_retention,resolution,n_clusters,AMI,ARI,NMI
Karate,34,78,2,baseline,0,1.0,1.0,4,0.47285075532063703,0.3915715539947322,0.49779114754525633
Karate,34,78,2,baseline,1,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,baseline,2,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,baseline,3,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,baseline,4,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,baseline,5,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,baseline,6,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,baseline,7,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,baseline,8,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,baseline,9,1.0,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,dspar_paper_08,0,0.5769,1.0,6,0.40566940584171013,0.32889963724304716,0.4540652916944405
Karate,34,78,2,dspar_paper_08,1,0.5256,1.0,7,0.3725870603713834,0.2912215001652164,0.4303862361724249
Karate,34,78,2,dspar_paper_08,2,0.5385,1.0,6,0.26552414512923384,0.2274975272007913,0.32608560970364314
Karate,34,78,2,dspar_paper_08,3,0.5897,1.0,4,0.4775034037149259,0.4587797944456593,0.5056269404958785
Karate,34,78,2,dspar_paper_08,4,0.5,1.0,7,0.3600314677136665,0.27731924727632884,0.42153483179655665
Karate,34,78,2,dspar_paper_08,5,0.5385,1.0,7,0.3174151436970041,0.2263070996147496,0.38215806758520465
Karate,34,78,2,dspar_paper_08,6,0.5128,1.0,9,0.34633233236027455,0.22035769485537646,0.4232885284752078
Karate,34,78,2,dspar_paper_08,7,0.5641,1.0,8,0.4388190445055372,0.33854625550660794,0.5004751621552294
Karate,34,78,2,dspar_paper_08,8,0.5256,1.0,9,0.35931132292691215,0.35037941273507095,0.44255073109015974
Karate,34,78,2,dspar_paper_08,9,0.5385,1.0,10,0.3179623519813244,0.22340072920119325,0.4054521833689312
Karate,34,78,2,dspar_cal_09,0,0.9103,1.0,4,0.4812371287336294,0.41355857832382625,0.5060838444423386
Karate,34,78,2,dspar_cal_09,1,0.859,1.0,4,0.4705640867179653,0.391705069124424,0.49588875909351765
Karate,34,78,2,dspar_cal_09,2,0.9103,1.0,4,0.4637523808301653,0.39223854417890813,0.4899672048193782
Karate,34,78,2,dspar_cal_09,3,0.8462,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,dspar_cal_09,4,0.8846,1.0,4,0.5666658780697869,0.46459109844332386,0.5878497068250673
Karate,34,78,2,dspar_cal_09,5,0.8718,1.0,4,0.47513877842431146,0.40644878262776923,0.5004834071264008
Karate,34,78,2,dspar_cal_09,6,0.9359,1.0,4,0.4705640867179653,0.391705069124424,0.49588875909351765
Karate,34,78,2,dspar_cal_09,7,0.859,1.0,4,0.47513877842431146,0.40644878262776923,0.5004834071264008
Karate,34,78,2,dspar_cal_09,8,0.8974,1.0,4,0.4883266371273424,0.4506024096385542,0.5141324357365079
Karate,34,78,2,dspar_cal_09,9,0.8974,1.0,4,0.4669304370234602,0.3769484083424808,0.49200632346409406
Karate,34,78,2,resmatch_dspar_paper_08,0,1.0,2.0,8,0.3857582605142095,0.23747927031509122,0.44544893770233934
Karate,34,78,2,resmatch_dspar_paper_08,1,1.0,2.0,7,0.3932803693980875,0.23425414364640884,0.4435896504641625
Karate,34,78,2,resmatch_dspar_paper_08,2,1.0,2.0,7,0.3932803693980875,0.23425414364640884,0.4435896504641625
Karate,34,78,2,resmatch_dspar_paper_08,3,1.0,2.0,7,0.3932803693980875,0.23425414364640884,0.4435896504641625
Karate,34,78,2,resmatch_dspar_paper_08,4,1.0,2.0,8,0.3842923107722659,0.23001216410483247,0.4436512086330494
Karate,34,78,2,resmatch_dspar_paper_08,5,1.0,2.0,8,0.3842923107722659,0.23001216410483247,0.4436512086330494
Karate,34,78,2,resmatch_dspar_paper_08,6,1.0,2.0,7,0.3932803693980875,0.23425414364640884,0.4435896504641625
Karate,34,78,2,resmatch_dspar_paper_08,7,1.0,2.0,7,0.3993079636574252,0.25662544169611307,0.4508558519036393
Karate,34,78,2,resmatch_dspar_paper_08,8,1.0,2.0,7,0.39482884769485244,0.241714538223597,0.4454604370353164
Karate,34,78,2,resmatch_dspar_paper_08,9,1.0,2.0,7,0.3993079636574252,0.25662544169611307,0.4508558519036393
Dolphins,62,159,2,baseline,0,1.0,1.0,4,0.3254880317289022,0.31875142003250784,0.3423059420287189
Dolphins,62,159,2,baseline,1,1.0,1.0,5,0.26317058070484567,0.25097078887528423,0.28681127934754214
Dolphins,62,159,2,baseline,2,1.0,1.0,5,0.26317058070484567,0.25097078887528423,0.28681127934754214
Dolphins,62,159,2,baseline,3,1.0,1.0,5,0.26436892806883283,0.2486791000384898,0.2875802244756192
Dolphins,62,159,2,baseline,4,1.0,1.0,5,0.25755353701040895,0.2548477423871194,0.2805033269041105
Dolphins,62,159,2,baseline,5,1.0,1.0,6,0.2661525416271535,0.18974520730382363,0.2928685870909827
Dolphins,62,159,2,baseline,6,1.0,1.0,5,0.26436892806883283,0.2486791000384898,0.2875802244756192
Dolphins,62,159,2,baseline,7,1.0,1.0,5,0.22208181518960476,0.20138621486330383,0.246060060682856
Dolphins,62,159,2,baseline,8,1.0,1.0,5,0.31851486062227,0.24077024070021882,0.3394103466431466
Dolphins,62,159,2,baseline,9,1.0,1.0,5,0.25755353701040895,0.2548477423871194,0.2805033269041105
Dolphins,62,159,2,dspar_paper_08,0,0.5157,1.0,11,0.19856183478325012,0.11113061797752809,0.25517727213269986
Dolphins,62,159,2,dspar_paper_08,1,0.4906,1.0,11,0.17597456121858776,0.11553854795674764,0.23443968539765575
Dolphins,62,159,2,dspar_paper_08,2,0.5283,1.0,8,0.29315676701718774,0.1825580579527117,0.3293825324563885
Dolphins,62,159,2,dspar_paper_08,3,0.5283,1.0,9,0.28338526201439457,0.17602273524664935,0.32558736380309805
Dolphins,62,159,2,dspar_paper_08,4,0.5535,1.0,9,0.20156889073251882,0.11476301612648498,0.24774569042173783
Dolphins,62,159,2,dspar_paper_08,5,0.5157,1.0,9,0.24618182481403994,0.16271150740714738,0.28770051789969414
Dolphins,62,159,2,dspar_paper_08,6,0.522,1.0,10,0.19002324912141358,0.12959615283359951,0.24215541004798366
Dolphins,62,159,2,dspar_paper_08,7,0.5031,1.0,12,0.1671156304865791,0.09988406000772933,0.228606314868971
Dolphins,62,159,2,dspar_paper_08,8,0.5094,1.0,9,0.24231251891099967,0.127516189607062,0.2847435131746224
Dolphins,62,159,2,dspar_paper_08,9,0.5346,1.0,9,0.15947388584151062,0.10440456769983687,0.20944495417584125
Dolphins,62,159,2,dspar_cal_09,0,0.8994,1.0,5,0.26423268920889886,0.18609700577832253,0.2864894271445455
Dolphins,62,159,2,dspar_cal_09,1,0.8742,1.0,5,0.25025679984797494,0.16690012606807675,0.2729736302646838
Dolphins,62,159,2,dspar_cal_09,2,0.8994,1.0,6,0.23696182495628978,0.14466996179058436,0.26428601169072485
Dolphins,62,159,2,dspar_cal_09,3,0.9245,1.0,5,0.26436892806883283,0.2486791000384898,0.2875802244756192
Dolphins,62,159,2,dspar_cal_09,4,0.8553,1.0,5,0.2544702726276266,0.17351118579981095,0.2772901770777606
Dolphins,62,159,2,dspar_cal_09,5,0.8679,1.0,5,0.25148012208591125,0.1691235687524073,0.2742561978186361
Dolphins,62,159,2,dspar_cal_09,6,0.9057,1.0,4,0.2590441523176657,0.22614803942126233,0.27763383007442
Dolphins,62,159,2,dspar_cal_09,7,0.8931,1.0,5,0.261591933696993,0.1628916506213898,0.28419862542699703
Dolphins,62,159,2,dspar_cal_09,8,0.8931,1.0,5,0.25103195809537276,0.16821579232963993,0.27399065744008805
Dolphins,62,159,2,dspar_cal_09,9,0.9119,1.0,4,0.3201702696518916,0.30620053461921487,0.33747555389423084
Dolphins,62,159,2,resmatch_dspar_paper_08,0,1.0,2.0,10,0.23904610509663562,0.1385815154389293,0.28370681937714615
Dolphins,62,159,2,resmatch_dspar_paper_08,1,1.0,2.5,11,0.20755021369378424,0.11799223457896309,0.2590215773485301
Dolphins,62,159,2,resmatch_dspar_paper_08,2,1.0,2.5,11,0.2051257020915465,0.11802322517172924,0.2571060417530953
Dolphins,62,159,2,resmatch_dspar_paper_08,3,1.0,2.0,9,0.23469773759496726,0.13456946200309033,0.27541660486490144
Dolphins,62,159,2,resmatch_dspar_paper_08,4,1.0,2.5,11,0.23365666139175634,0.12442242484934732,0.2834323536154335
Dolphins,62,159,2,resmatch_dspar_paper_08,5,1.0,2.0,9,0.25745556044426604,0.1366812993854258,0.29666526587640807
Dolphins,62,159,2,resmatch_dspar_paper_08,6,1.0,2.0,9,0.23469773759496726,0.13456946200309033,0.27541660486490144
Dolphins,62,159,2,resmatch_dspar_paper_08,7,1.0,2.5,11,0.20658192052336727,0.11038093899353388,0.25748239485670127
Dolphins,62,159,2,resmatch_dspar_paper_08,8,1.0,2.5,11,0.20755021369378424,0.11799223457896309,0.2590215773485301
Dolphins,62,159,2,resmatch_dspar_paper_08,9,1.0,2.5,11,0.2051257020915465,0.11802322517172924,0.2571060417530953
Football,115,613,12,baseline,0,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,baseline,1,1.0,1.0,9,0.8205204026118351,0.7070672690945654,0.8560827304388346
Football,115,613,12,baseline,2,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,baseline,3,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,baseline,4,1.0,1.0,9,0.8205204026118351,0.7070672690945654,0.8560827304388346
Football,115,613,12,baseline,5,1.0,1.0,10,0.8624540032117392,0.8165463913618678,0.8922958402213003
Football,115,613,12,baseline,6,1.0,1.0,10,0.8624540032117392,0.8165463913618678,0.8922958402213003
Football,115,613,12,baseline,7,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,baseline,8,1.0,1.0,9,0.8205204026118351,0.7070672690945654,0.8560827304388346
Football,115,613,12,baseline,9,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,dspar_paper_08,0,0.5318,1.0,10,0.8283299454940347,0.7976187628960122,0.8655163008628234
Football,115,613,12,dspar_paper_08,1,0.5563,1.0,9,0.8419196142605104,0.703629658630227,0.8731324819017592
Football,115,613,12,dspar_paper_08,2,0.5416,1.0,9,0.8203675240170043,0.737898804208353,0.8559829905735243
Football,115,613,12,dspar_paper_08,3,0.5546,1.0,9,0.7951845873090558,0.7281684055280971,0.8358687822182213
Football,115,613,12,dspar_paper_08,4,0.5432,1.0,9,0.7885592876423982,0.7089922817674177,0.8305616013558418
Football,115,613,12,dspar_paper_08,5,0.54,1.0,8,0.7786666002462871,0.6658268072215946,0.8182073345783493
Football,115,613,12,dspar_paper_08,6,0.5563,1.0,9,0.7980693255885111,0.7270654855465456,0.8382187964713967
Football,115,613,12,dspar_paper_08,7,0.5481,1.0,11,0.8613922240518328,0.8379225588793914,0.8937781305896201
Football,115,613,12,dspar_paper_08,8,0.5628,1.0,8,0.7585295611924411,0.6469718724762682,0.8018284877590359
Football,115,613,12,dspar_paper_08,9,0.5546,1.0,10,0.8475077039809569,0.8124231861866097,0.8806077887475834
Football,115,613,12,dspar_cal_09,0,0.894,1.0,9,0.8139764472929166,0.7053641718218594,0.8508354031919823
Football,115,613,12,dspar_cal_09,1,0.9054,1.0,9,0.8139764472929166,0.7053641718218594,0.8508354031919823
Football,115,613,12,dspar_cal_09,2,0.8972,1.0,9,0.8205204026118351,0.7070672690945654,0.8560827304388346
Football,115,613,12,dspar_cal_09,3,0.8874,1.0,9,0.8230684087391542,0.7148368789270761,0.8581858252097087
Football,115,613,12,dspar_cal_09,4,0.9054,1.0,9,0.8230684087391542,0.7148368789270761,0.8581858252097087
Football,115,613,12,dspar_cal_09,5,0.8989,1.0,9,0.8230684087391542,0.7148368789270761,0.8581858252097087
Football,115,613,12,dspar_cal_09,6,0.9103,1.0,9,0.8205204026118351,0.7070672690945654,0.8560827304388346
Football,115,613,12,dspar_cal_09,7,0.8907,1.0,9,0.8230684087391542,0.7148368789270761,0.8581858252097087
Football,115,613,12,dspar_cal_09,8,0.8907,1.0,9,0.8230684087391542,0.7148368789270761,0.8581858252097087
Football,115,613,12,dspar_cal_09,9,0.907,1.0,8,0.7803290291252158,0.6232685858356978,0.8195890938633034
Football,115,613,12,resmatch_dspar_paper_08,0,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,resmatch_dspar_paper_08,1,1.0,1.0,9,0.8205204026118351,0.7070672690945654,0.8560827304388346
Football,115,613,12,resmatch_dspar_paper_08,2,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,resmatch_dspar_paper_08,3,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,resmatch_dspar_paper_08,4,1.0,1.0,9,0.8205204026118351,0.7070672690945654,0.8560827304388346
Football,115,613,12,resmatch_dspar_paper_08,5,1.0,1.0,10,0.8624540032117392,0.8165463913618678,0.8922958402213003
Football,115,613,12,resmatch_dspar_paper_08,6,1.0,1.0,10,0.8624540032117392,0.8165463913618678,0.8922958402213003
Football,115,613,12,resmatch_dspar_paper_08,7,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Football,115,613,12,resmatch_dspar_paper_08,8,1.0,1.0,9,0.8205204026118351,0.7070672690945654,0.8560827304388346
Football,115,613,12,resmatch_dspar_paper_08,9,1.0,1.0,10,0.8599792855823511,0.8069408992735126,0.8903166312052428
Polbooks,105,441,3,baseline,0,1.0,1.0,4,0.5611391518332126,0.675158445542098,0.5737311773317003
Polbooks,105,441,3,baseline,1,1.0,1.0,5,0.504527634347417,0.5366179378735757,0.5219160175536328
Polbooks,105,441,3,baseline,2,1.0,1.0,5,0.4856443982378864,0.5225002523571491,0.5038348667035137
Polbooks,105,441,3,baseline,3,1.0,1.0,5,0.5432851735427209,0.6567472938801474,0.5602630985644045
Polbooks,105,441,3,baseline,4,1.0,1.0,4,0.5611391518332126,0.675158445542098,0.5737311773317003
Polbooks,105,441,3,baseline,5,1.0,1.0,5,0.504527634347417,0.5366179378735757,0.5219160175536328
Polbooks,105,441,3,baseline,6,1.0,1.0,4,0.5611391518332126,0.675158445542098,0.5737311773317003
Polbooks,105,441,3,baseline,7,1.0,1.0,5,0.5432851735427209,0.6567472938801474,0.5602630985644045
Polbooks,105,441,3,baseline,8,1.0,1.0,5,0.5432851735427209,0.6567472938801474,0.5602630985644044
