dataset,arm,graph,alpha,seed,n,m,m_sparse,retention,Q_base_mean,Q_base_std,Q_sparse,Q_on_orig,paper_delta,honest_delta,Q_fixed_full,Q_fixed_sparse,dQ_fixed
ca-CondMat,baseline,real,1.0,0,21363,91286,91286,1.0,0.7292353639775879,0.0008192514867950552,0.7288254940674663,,,,,,
ca-CondMat,baseline,real,1.0,1,21363,91286,91286,1.0,0.7292353639775879,0.0008192514867950552,0.7294471237720661,,,,,,
ca-CondMat,baseline,real,1.0,2,21363,91286,91286,1.0,0.7292353639775879,0.0008192514867950552,0.7281580367055467,,,,,,
ca-CondMat,baseline,real,1.0,3,21363,91286,91286,1.0,0.7292353639775879,0.0008192514867950552,0.7293741577649329,,,,,,
ca-CondMat,baseline,real,1.0,4,21363,91286,91286,1.0,0.7292353639775879,0.0008192514867950552,0.7303720075779279,,,,,,
ca-CondMat,artifact1,real,0.8,0,21363,91286,73124,0.8010428762351292,0.7292353639775879,0.0008192514867950552,0.7414421111102549,0.7141758332689705,0.012206747132667006,-0.01505953070861743,,,
ca-CondMat,artifact1,real,0.8,1,21363,91286,72962,0.7992682339022413,0.7292353639775879,0.0008192514867950552,0.7401101322564703,0.7113779615953891,0.01087476827888234,-0.017857402382198795,,,
ca-CondMat,artifact1,real,0.8,2,21363,91286,73054,0.8002760554740048,0.7292353639775879,0.0008192514867950552,0.7395956731191887,0.7128525448435181,0.010360309141600799,-0.016382819134069804,,,
ca-CondMat,artifact1,real,0.9,0,21363,91286,82129,0.8996888898626295,0.7292353639775879,0.0008192514867950552,0.7345474796869617,0.7227698239876028,0.0053121157093737326,-0.006465539989985114,,,
ca-CondMat,artifact1,real,0.9,1,21363,91286,82074,0.8990863878360318,0.7292353639775879,0.0008192514867950552,0.7339166200136982,0.7220657936499628,0.004681256036110248,-0.007169570327625108,,,
ca-CondMat,artifact1,real,0.9,2,21363,91286,82137,0.8997765265210438,0.7292353639775879,0.0008192514867950552,0.7351691248829305,0.7236465545404606,0.005933760905342589,-0.005588809437127362,,,
ca-CondMat,null,real,0.8,0,21363,91286,73069,0.8004403742085314,,,,,,,0.7288254940674663,0.7285955345733474,-0.00022995949411896976
ca-CondMat,null,real,0.8,1,21363,91286,73318,0.8031680652016738,,,,,,,0.7288254940674663,0.727906783358356,-0.0009187107091103153
ca-CondMat,null,real,0.8,2,21363,91286,73085,0.8006156475253599,,,,,,,0.7288254940674663,0.7284919508417541,-0.0003335432257122184
ca-CondMat,null,real,0.9,0,21363,91286,82249,0.9010034397388428,,,,,,,0.7288254940674663,0.7288677280531252,4.223398565883496e-05
ca-CondMat,null,real,0.9,1,21363,91286,82271,0.9012444405494818,,,,,,,0.7288254940674663,0.7290946257458276,0.0002691316783612896
ca-CondMat,null,real,0.9,2,21363,91286,82221,0.900696711434393,,,,,,,0.7288254940674663,0.7285618134955582,-0.00026368057190817584
ca-CondMat,null,rewired,0.8,0,21363,91286,73069,0.8004403742085314,,,,,,,0.31179306880290003,0.31100938510766435,-0.0007836836952356818
ca-CondMat,null,rewired,0.8,1,21363,91286,73318,0.8031680652016738,,,,,,,0.31179306880290003,0.31024074663724227,-0.0015523221656577602
ca-CondMat,null,rewired,0.8,2,21363,91286,73085,0.8006156475253599,,,,,,,0.31179306880290003,0.311545065925832,-0.00024800287706805424
ca-CondMat,null,rewired,0.9,0,21363,91286,82249,0.9010034397388428,,,,,,,0.31179306880290003,0.31216670113693273,0.000373632334032703
ca-CondMat,null,rewired,0.9,1,21363,91286,82271,0.9012444405494818,,,,,,,0.31179306880290003,0.31165088608951713,-0.000142182713382899
ca-CondMat,null,rewired,0.9,2,21363,91286,82221,0.900696711434393,,,,,,,0.31179306880290003,0.311906484392486,0.00011341558958599673
email-Enron,baseline,real,1.0,0,33696,180811,180811,1.0,0.6110691774696152,0.0019597392865066017,0.6128146472538636,,,,,,
email-Enron,baseline,real,1.0,1,33696,180811,180811,1.0,0.6110691774696152,0.0019597392865066017,0.6099125713690368,,,,,,
email-Enron,baseline,real,1.0,2,33696,180811,180811,1.0,0.6110691774696152,0.0019597392865066017,0.6101147015274834,,,,,,
email-Enron,baseline,real,1.0,3,33696,180811,180811,1.0,0.6110691774696152,0.0019597392865066017,0.6134880570948221,,,,,,
email-Enron,baseline,real,1.0,4,33696,180811,180811,1.0,0.6110691774696152,0.0019597392865066017,0.60901591010287,,,,,,
email-Enron,artifact1,real,0.8,0,33696,180811,144629,0.7998904933881235,0.6110691774696152,0.0019597392865066017,0.6191398919591911,0.5984898871964961,0.008070714489575859,-0.012579290273119104,,,
email-Enron,artifact1,real,0.8,1,33696,180811,144832,0.8010132126917057,0.6110691774696152,0.0019597392865066017,0.6110418044551322,0.5885382642253255,-2.7373014482967584e-05,-0.022530913244289685,,,
email-Enron,artifact1,real,0.8,2,33696,180811,144615,0.799813064470635,0.6110691774696152,0.0019597392865066017,0.6187504386775083,0.5975501090250994,0.007681261207893142,-0.01351906844451578,,,
email-Enron,artifact1,real,0.9,0,33696,180811,162675,0.8996963680307061,0.6110691774696152,0.0019597392865066017,0.6145926543671574,0.6054518581662943,0.003523476897542177,-0.005617319303320878,,,
