arm,sampler,alpha,seed,retention,Q_raw,Q_seeded,k,T_pipe,T_sparsify,T_leiden_sparse,T_seed
base,,,100,,,0.726999,5533,55.26,,,
base,,,101,,,0.728465,5661,67.55,,,
base,,,102,,,0.723870,6978,67.34,,,
base,,,103,,,0.718447,7211,68.88,,,
base,,,104,,,0.724751,6754,67.13,,,
base,,,105,,,0.719548,7160,67.63,,,
base,,,106,,,0.723145,7028,69.57,,,
base,,,107,,,0.728759,5562,69.06,,,
base,,,108,,,0.722669,6694,71.17,,,
base,,,109,,,0.726690,5761,70.15,,,
seeded,calibrated,0.7,200,0.7000,0.700643,0.717504,3176,119.27,0.54,65.91,52.82
seeded,calibrated,0.7,201,0.6999,0.699875,0.718198,4595,120.78,0.59,66.48,53.71
seeded,calibrated,0.7,202,0.7000,0.711961,0.725282,4397,119.80,0.55,65.60,53.64
seeded,calibrated,0.7,203,0.7000,0.698707,0.717385,2928,117.01,0.57,65.06,51.38
seeded,calibrated,0.7,204,0.7002,0.705529,0.719657,4119,114.46,0.51,63.25,50.70
seeded,calibrated,0.8,200,0.8001,0.717036,0.721285,4373,116.81,0.65,65.83,50.33
seeded,calibrated,0.8,201,0.7998,0.724773,0.729187,3991,115.74,0.60,65.20,49.94
seeded,calibrated,0.8,202,0.8001,0.717155,0.720886,4473,115.60,0.61,66.27,48.72
seeded,calibrated,0.8,203,0.8000,0.724603,0.728973,4336,112.80,0.59,62.93,49.28
seeded,calibrated,0.8,204,0.8000,0.720504,0.725306,4570,113.26,0.63,64.01,48.62
seeded,calibrated,0.9,200,0.8999,0.727552,0.729661,4781,101.17,0.58,56.48,44.12
seeded,calibrated,0.9,201,0.9001,0.727684,0.729679,4871,113.81,0.67,63.70,49.45
seeded,calibrated,0.9,202,0.9000,0.727293,0.729372,4779,115.02,0.66,65.33,49.03
seeded,calibrated,0.9,203,0.9000,0.725423,0.727521,4952,113.50,0.66,64.25,48.59
seeded,calibrated,0.9,204,0.9000,0.724965,0.727174,4505,113.56,0.64,64.23,48.68
seeded,calibrated,0.95,200,0.9500,0.728483,0.729969,5171,113.92,0.69,64.66,48.57
seeded,calibrated,0.95,201,0.9500,0.727992,0.729521,5369,112.12,0.68,63.56,47.88
seeded,calibrated,0.95,202,0.9500,0.727796,0.729633,5375,113.82,0.68,64.15,49.00
seeded,calibrated,0.95,203,0.9500,0.727960,0.729509,5399,112.42,0.68,63.65,48.09
seeded,calibrated,0.95,204,0.9501,0.727047,0.728788,4981,112.19,0.68,63.24,48.27
seeded,repo_noreplace,0.7,200,0.4755,0.601767,0.726104,3907,104.50,0.35,50.88,53.27
seeded,repo_noreplace,0.7,201,0.4756,0.595353,0.724974,3678,104.78,0.35,51.17,53.26
seeded,repo_noreplace,0.7,202,0.4756,0.594087,0.725107,3820,105.12,0.34,50.83,53.95
seeded,repo_noreplace,0.7,203,0.4756,0.595847,0.725526,4502,105.62,0.35,51.51,53.77
seeded,repo_noreplace,0.7,204,0.4755,0.597183,0.725728,4112,103.91,0.35,50.56,53.00
seeded,repo_noreplace,0.8,200,0.5021,0.623666,0.724880,3927,104.39,0.36,51.23,52.81
seeded,repo_noreplace,0.8,201,0.5022,0.624597,0.725332,4363,105.11,0.37,51.68,53.06
seeded,repo_noreplace,0.8,202,0.5021,0.624448,0.723189,3761,103.96,0.36,50.99,52.61
seeded,repo_noreplace,0.8,203,0.5022,0.622655,0.724588,3920,104.53,0.37,51.14,53.02
seeded,repo_noreplace,0.8,204,0.5022,0.621593,0.725049,3642,103.68,0.37,50.77,52.54
seeded,repo_noreplace,0.9,200,0.5241,0.638650,0.725448,3848,104.90,0.38,51.72,52.80
seeded,repo_noreplace,0.9,201,0.5243,0.640943,0.725094,3952,104.43,0.38,51.71,52.34
seeded,repo_noreplace,0.9,202,0.5240,0.641211,0.723384,3887,104.86,0.38,51.60,52.88
seeded,repo_noreplace,0.9,203,0.5242,0.645125,0.723376,4403,104.20,0.38,51.69,52.13
seeded,repo_noreplace,0.9,204,0.5242,0.642068,0.725479,3767,104.26,0.39,51.85,52.02
seeded,repo_noreplace,0.95,200,0.5347,0.647716,0.725154,3964,104.83,0.40,52.34,52.10
seeded,repo_noreplace,0.95,201,0.5348,0.650345,0.725038,3777,103.97,0.40,52.01,51.56
seeded,repo_noreplace,0.95,202,0.5346,0.649498,0.723343,3913,102.16,0.39,51.95,49.83
seeded,repo_noreplace,0.95,203,0.5348,0.649327,0.723305,4341,102.01,0.39,51.80,49.82
seeded,repo_noreplace,0.95,204,0.5348,0.650357,0.725672,3933,101.39,0.39,51.98,49.02
