dataset,variant,n,m,k,Q_orig,delta,ratio_pred,dQ_fixed_mean,dQ_fixed_std,dF_obs_mean,dF_obs_std,mdG_obs_mean,mdG_obs_std,retention_mean,ratio_obs_mean
ca-AstroPh,FULL(seed42),18771,198050,322,0.6306694614832464,0.04122160289829288,0.6173294609053207,0.045519321589288356,0.0009246155377531033,0.040854772963322336,0.0009311632591052315,0.0046645486259730305,8.123586077076724e-05,0.4092325170411512,0.8209855653911153
ca-AstroPh,LCC(seed42),17903,196972,35,0.6343080993237187,0.03319857080793477,0.670808166856329,0.03985072447935127,0.0007336615046263164,0.03366792202169466,0.000686274651294218,0.006182802457656807,7.892842451343542e-05,0.4166277440448388,0.8470188101242903
ca-AstroPh,LCC(seed7),17903,196972,35,0.6312175820683549,0.03408644122823702,0.6637167996497225,0.03941231559906131,0.0005894824238944923,0.03491997715254182,0.000567923355646974,0.004492338446519294,0.00011247583239784557,0.4166277440448388,0.8437980312034028
ca-AstroPh,LCC(seed1234),17903,196972,37,0.6311761756996627,0.03263944422546054,0.6757769900906573,0.039560514933683455,0.0007920369132170234,0.03310435003252804,0.0007438385754428478,0.006456164901155718,0.00010570458820851633,0.4166277440448388,0.8493619628448675
ca-CondMat,FULL(seed42),23133,93439,619,0.7379016339279147,0.1279090434308909,0.5379501052965567,0.06333993973577787,0.0010702513198685565,0.058456356183491154,0.0010348486241444515,0.004883583552297617,0.00011642665539544123,0.46421622662913775,0.6919868434049404
ca-CondMat,LCC(seed42),21363,91286,54,0.731159427192281,0.11257658386808375,0.5689037021003619,0.06141521934192038,0.001484854069695781,0.05841783356612944,0.001476904869074765,0.0029973857757906648,4.1996320546533174e-05,0.4715279451394519,0.7033679782133576
ca-CondMat,LCC(seed7),21363,91286,53,0.7308726122246461,0.11120678385486465,0.5729161886283254,0.06151717232410625,0.0010786984779908365,0.056863582768087104,0.0010772392050918181,0.004653589556019215,4.9016743109488914e-05,0.4715279451394519,0.7074194150924284
ca-CondMat,LCC(seed1234),21363,91286,50,0.7312194373891938,0.11320887520512565,0.5656734974820464,0.06044227873299547,0.0009151556896594905,0.058389116156313856,0.000889206911791075,0.0020531625766812742,7.875261204949519e-05,0.4715279451394519,0.6984653079250732
ca-GrQc,FULL(seed42),5241,14484,392,0.8640597241985106,0.14563358172841948,0.6122667494130515,0.02641667490483457,0.002065322196942825,0.015812243686149675,0.0020799987393893163,0.010604431218679548,0.00024569830958826955,0.44459403479701737,0.8183489629435959
ca-GrQc,LCC(seed42),4158,13422,42,0.8513623535140842,0.08723506953795679,0.7264239762457301,0.018708687060123075,0.0022329351030707326,0.008254136632448783,0.002207157561682669,0.010454550427674111,0.00010333961985133105,0.45450752495902247,0.9123482478463293
ca-GrQc,LCC(seed7),4158,13422,41,0.8516636883721906,0.08813628887002092,0.7236675889155894,0.017719697047446935,0.0021026519102263948,0.008462467925950835,0.0020746513429870466,0.009257229121495814,0.00017545943483146217,0.45450752495902247,0.910034508170496
ca-GrQc,LCC(seed1234),4158,13422,43,0.8510257730437697,0.08826429325701918,0.7232378590679618,0.019668475618239846,0.0016136176188290146,0.00906046522354963,0.0015828462956848604,0.0106080103946906,0.00012180555296710755,0.45450752495902247,0.9032863885457626
ca-HepPh,FULL(seed42),12006,118489,321,0.6612022523289575,0.034664058416117915,0.6795585183847552,0.08087086440433448,0.0014150073698109972,0.0035541873820502667,0.0014143772758634901,0.07731667702228266,0.00015770327883514974,0.33410105579420873,0.9776992811157076
ca-HepPh,LCC(seed42),11204,117619,45,0.6511765764583316,0.021080995336047792,0.787479181879053,0.0847910337208536,0.000809163365008921,-0.01109035750070736,0.0008707792131853832,0.09588139122156082,0.00019902068131494945,0.33988131169283875,1.0740194094380313
ca-HepPh,LCC(seed7),11204,117619,39,0.6595826736572878,0.02808997110636817,0.721600774015172,0.07176349726150655,0.0008744892100106428,0.0016701767014929314,0.0008717274153704242,0.0700933205600136,0.00022266643703891347,0.33988131169283875,0.9896215231516334
ca-HepPh,LCC(seed1234),11204,117619,34,0.658837279217165,0.030282303312601302,0.7018061641671881,0.07317087846944743,0.0012456409437543252,0.00518152875514003,0.0012309574897844133,0.06798934971430759,0.00020861280189967817,0.33988131169283875,0.968751207045371
ca-HepTh,FULL(seed42),9875,25973,473,0.7734125835051245,0.20592349647287989,0.5075994063138165,0.06218005873993574,0.00243260926678578,0.05295046197062986,0.0022141556378513544,0.009229596769304127,0.0003391663628118757,0.46822084472336656,0.6696192077650154
