dataset,n_full,m_full,n_lcc,m_lcc,n_comm,seed,alpha,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,Q_leiden_sparse,dQ_leiden_sparse,n1,n2,preserved_intra,preserved_inter,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta
ca-AstroPh,18771,198050,17903,196972,35,80000,0.8,0.6343080993237187,81814,0.41535852811567125,0.6741363210017363,0.039828221678017584,0.7000588916191134,0.7336152736695432,0.03355638205042977,0.06575079229539492,0.05947895266780671,-0.006271839627588212,0.03982822167801798,3.95516952522712e-16,0.6860751815707394,0.05176708224702076,137892,59080,60020,21794,0.4352681808951933,0.36888964116452266,0.8474996734331617,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80001,0.8,0.6343080993237187,82178,0.4172065065085393,0.6736270371553119,0.03931893783159324,0.7000588916191134,0.7331524252232958,0.033093533604182435,0.06575079229539492,0.059525388067983916,-0.006225404227411004,0.03931893783159344,2.0122792321330962e-16,0.6867668297421083,0.052458730418389665,137892,59080,60249,21929,0.43692890087894876,0.37117467840216656,0.8495081869281075,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80002,0.8,0.6343080993237187,82099,0.41680543427492234,0.6753965943385334,0.04108849501481471,0.7000588916191134,0.7349054190672237,0.03484652744811034,0.06575079229539492,0.05950882472869034,-0.00624196756670458,0.04108849501481492,2.1510571102112408e-16,0.6868881851924618,0.052580085868743076,137892,59080,60335,21764,0.43755257737939834,0.36838185511171295,0.8419144901808954,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80003,0.8,0.6343080993237187,82200,0.417318197510306,0.6738775981079914,0.03956949878427274,0.7000588916191134,0.7334184914841849,0.03335959986507153,0.06575079229539492,0.05954089337619361,-0.006209898919201311,0.03956949878427284,1.0408340855860843e-16,0.6855672953629215,0.051259196039202815,137892,59080,60287,21913,0.4372044788675195,0.37090385917400137,0.8483532925708925,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80004,0.8,0.6343080993237187,82175,0.41719127591738925,0.6739649619149441,0.03965686259122547,0.7000588916191134,0.7335320961362944,0.033473204517181054,0.06575079229539492,0.05956713422135064,-0.006183658074044279,0.039656862591225334,1.3877787807814457e-16,0.6875526651116783,0.05324456578795966,137892,59080,60278,21897,0.43713921039654224,0.37063303994583613,0.8478604324000669,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80005,0.8,0.6343080993237187,82008,0.41634343967670534,0.6752075799288888,0.040899480605170124,0.7000588916191134,0.7347331967612916,0.034674305142178174,0.06575079229539492,0.059525616832402796,-0.006225175462992123,0.0408994806051703,1.734723475976807e-16,0.6861010728706014,0.051792973546882726,137892,59080,60254,21754,0.4369651611406028,0.3682125930941097,0.8426589253316455,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80006,0.8,0.6343080993237187,82025,0.4164297463598887,0.6736923705715234,0.03938427124780475,0.7000588916191134,0.7333130143249009,0.03325412270578754,0.06575079229539492,0.05962064375337728,-0.006130148542017641,0.03938427124780518,4.3021142204224816e-16,0.6867527816589393,0.052444682335220594,137892,59080,60150,21875,0.43621094769819857,0.370260663507109,0.848811029298791,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80007,0.8,0.6343080993237187,82183,0.41723189082712264,0.6730155818321288,0.03870748250841016,0.7000588916191134,0.7327914532202524,0.03273256160113902,0.06575079229539492,0.05977587138812355,-0.005974920907271371,0.03870748250841039,2.2898349882893854e-16,0.6874944482625173,0.05318634893879859,137892,59080,60223,21960,0.43674034751834767,0.37169939065673663,0.8510763724231395,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80008,0.8,0.6343080993237187,82254,0.4175923481510062,0.6737170642388387,0.039408964915120026,0.7000588916191134,0.7333017239283196,0.033242832309206216,0.06575079229539492,0.05958465968948103,-0.006166132605913886,0.0394089649151201,7.632783294297951e-17,0.6899853824083085,0.05567728308458986,137892,59080,60317,21937,0.4374220404374438,0.37131008801624915,0.848860033767207,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
ca-AstroPh,18771,198050,17903,196972,35,80009,0.8,0.6343080993237187,81704,0.41480007310683753,0.6749531289408026,0.04064502961708394,0.7000588916191134,0.7345050425927739,0.03444615097366055,0.06575079229539492,0.05955191365197126,-0.0061988786434236595,0.04064502961708421,2.706168622523819e-16,0.6885539313207595,0.054245831997040805,137892,59080,60012,21692,0.43521016447654687,0.36716316858496956,0.8436456649089952,0.670808166856329,0.10084870724434329,0.06765013643640852,0.03319857080793477
