dataset,alpha,seed,n_lcc,m_lcc,n_comm,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,Q_leiden_sparse,dQ_leiden_sparse,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta,n1,n2
cit-HepTh,0.3,30000,27400,352021,26,0.6566588620689939,77470,0.22007209797142785,0.7193637960831418,0.0627049340141479,0.7376061389720211,0.08094727690302717,0.7344249348760443,0.7824190009035755,0.0479940660275312,0.07776607280705047,0.06305520482043382,-0.014710867986616652,0.06270493401414785,4.163336342344337e-17,0.23445362874371936,0.18030121512921443,0.7690271892797241,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30001,27400,352021,26,0.6566588620689939,77530,0.2202425423483258,0.718970507732044,0.06231164566305003,0.7299163655318296,0.07325750346283566,0.7344249348760443,0.7822649297046305,0.04783999482858614,0.07776607280705047,0.0632944219725865,-0.014471650834463973,0.062311645663050114,8.326672684688674e-17,0.23458900797963897,0.18056862912887214,0.7697233160410675,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30002,27400,352021,26,0.6566588620689939,77583,0.22039310154791902,0.7173829819580848,0.06072411988909088,0.7323490617553103,0.0756901996863164,0.7344249348760443,0.7805833752239537,0.04615844034790939,0.07776607280705047,0.06320039326586895,-0.014565679541181528,0.06072411988909092,4.163336342344337e-17,0.23424475792258628,0.18208754064692795,0.7773388069034383,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30003,27400,352021,26,0.6566588620689939,77490,0.22012891276372717,0.7177984554965535,0.06113959342755959,0.7430795004233436,0.08642063835434965,0.7344249348760443,0.7808362369337979,0.04641130205775357,0.07776607280705047,0.06303778143724446,-0.01472829136980601,0.06113959342755958,1.3877787807814457e-17,0.23403975507962232,0.18165967824747561,0.7761915414142928,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30004,27400,352021,26,0.6566588620689939,77551,0.2203021978802401,0.7175206049276927,0.06086174285869872,0.7321789249034347,0.0755200628344408,0.7344249348760443,0.7809312581398048,0.046506323263760474,0.07776607280705047,0.06341065321211226,-0.014355419594938218,0.06086174285869869,2.7755575615628914e-17,0.23425249387892455,0.18172385760739346,0.7757606102640642,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30005,27400,352021,26,0.6566588620689939,77412,0.2199073350737598,0.7185485201874076,0.061889658118413626,0.741801781525413,0.08514291945641905,0.7344249348760443,0.7817392652301969,0.047314330354152556,0.07776607280705047,0.06319074504278943,-0.014575327764261042,0.0618896581184136,2.7755575615628914e-17,0.2340745668831445,0.1807290775286668,0.7721004461748763,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30006,27400,352021,26,0.6566588620689939,77681,0.2206714940301857,0.7188216954036025,0.06216283333460859,0.7327368366876547,0.07607797461866073,0.7344249348760443,0.7820187690683693,0.04759383419232499,0.07776607280705047,0.06319707366476664,-0.014568999142283837,0.06216283333460883,2.3592239273284576e-16,0.23497193781838296,0.1811248502481602,0.7708360918747547,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30007,27400,352021,26,0.6566588620689939,77476,0.22008914240911764,0.7174374804050978,0.06077861833610387,0.7312132643770473,0.07455440230805332,0.7344249348760443,0.780693376013217,0.046268441137172656,0.07776607280705047,0.06325589560811927,-0.014510177198931204,0.06077861833610386,1.3877787807814457e-17,0.23395465955990144,0.18174525072736608,0.7768396281110711,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30008,27400,352021,26,0.6566588620689939,77290,0.21956076484073395,0.7177351248608053,0.06107626279181133,0.7367010952980055,0.0800422332290116,0.7344249348760443,0.7806960796998318,0.04627114482378747,0.07776607280705047,0.06296095483902633,-0.01480511796802414,0.06107626279181161,2.7755575615628914e-16,0.2333938027253774,0.18130669176792744,0.7768273606701622,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.3,30009,27400,352021,26,0.6566588620689939,77540,0.22027094974447547,0.7171329859021233,0.060474123833129334,0.7332122439871285,0.07655338191813454,0.7344249348760443,0.7803843177714728,0.04595938289542845,0.07776607280705047,0.06325133186934927,-0.014514740937701207,0.06047412383312965,3.191891195797325e-16,0.23405522699229886,0.1821517200068458,0.7782424786985814,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.35,35000,27400,352021,26,0.6566588620689939,87096,0.24741705750509202,0.7163288558073536,0.05966999373835968,0.7346936324648948,0.0780347703959009,0.7344249348760443,0.7797832277027648,0.04535829282672044,0.07776607280705047,0.06345437189541124,-0.014311700911639233,0.05966999373835967,1.3877787807814457e-17,0.2626976053347155,0.20516002053739518,0.7809740795923551,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.35,35001,27400,352021,26,0.6566588620689939,86993,0.24712446132475052,0.7176201187926151,0.06096125672362118,0.7350760309270638,0.07841716885806982,0.7344249348760443,0.780993873070247,0.046568938194202714,0.07776607280705047,0.06337375427763195,-0.014392318529418524,0.06096125672362124,5.551115123125783e-17,0.2627943047889438,0.2037908608591477,0.7754767022931371,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.35,35002,27400,352021,26,0.6566588620689939,87095,0.24741421676547706,0.7127067776175603,0.05604791554856636,0.7399825347283087,0.08332367265931473,0.7344249348760443,0.7762443309030369,0.041819396026992584,0.07776607280705047,0.06353755328547664,-0.014228519521573835,0.05604791554856642,5.551115123125783e-17,0.26150240008045395,0.20845456101317816,0.797142056627568,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.35,35003,27400,352021,26,0.6566588620689939,87391,0.24825507569150704,0.7167393994401328,0.06008053737113883,0.7409660347684243,0.08430717269943033,0.7344249348760443,0.7803549564600474,0.045930021584003056,0.07776607280705047,0.0636155570199147,-0.014150515787135776,0.06008053737113883,0.0,0.26378063922207223,0.2053204689371898,0.7783758108355108,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.35,35004,27400,352021,26,0.6566588620689939,87101,0.24743126120316686,0.7159181262081135,0.05925926413911953,0.7294801823026646,0.07282132023367072,0.7344249348760443,0.7793481131100676,0.04492317823402325,0.07776607280705047,0.06342998690195385,-0.014336085905096621,0.059259264139119874,3.469446951953614e-16,0.262566094076965,0.2055771863768612,0.7829540485779597,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
