dataset,n,m,alpha,clip_frac_repo_noreplace,E_retention_repo_noreplace,clip_frac_calibrated,E_retention_calibrated,lambda_calibrated,s_max,s_mean,unclipped_alpha_threshold
email-Eu-core,986,16064,0.7,0.13458665338645417,0.521060961567483,0.30092131474103584,0.7,17.764667898398912,1.25,0.06137948207171315,0.04910358565737052
email-Eu-core,986,16064,0.8,0.17056772908366533,0.5739954721314675,0.4493276892430279,0.8000000000000002,23.163949315155776,1.25,0.06137948207171315,0.04910358565737052
email-Eu-core,986,16064,0.9,0.21159113545816732,0.6220016819900029,0.6477216135458167,0.8999999999999999,32.21775500934275,1.25,0.06137948207171315,0.04910358565737052
email-Eu-core,986,16064,0.95,0.23381474103585656,0.6441668749445382,0.7823705179282868,0.9499999999999998,40.82847386862569,1.25,0.06137948207171315,0.04910358565737052
wiki-Vote,7066,100736,0.7,0.11964938055908514,0.3658428239222606,0.3427473792884371,0.6999999999999998,29.073267476380046,1.5,0.07014374205844981,0.046762494705633206
wiki-Vote,7066,100736,0.8,0.13645568614993647,0.39988268768982116,0.4720755241423126,0.8,38.766490159320526,1.5,0.07014374205844981,0.046762494705633206
wiki-Vote,7066,100736,0.9,0.15237849428208386,0.43182925052786547,0.6729074015247777,0.9000000000000001,55.299209589628745,1.5,0.07014374205844981,0.046762494705633206
wiki-Vote,7066,100736,0.95,0.16097522236340533,0.4471320001998086,0.8078740470139771,0.9499999999999998,72.6151447133443,1.5,0.07014374205844981,0.046762494705633206
ca-HepTh,8638,24806,0.7,0.23409658953478998,0.5725884588954939,0.37055551076352494,0.6999999999999997,2.907684257306153,1.5,0.3482222043054099,0.2321481362036066
ca-HepTh,8638,24806,0.8,0.2630008868822059,0.6194273367544942,0.5209223574941546,0.8000000000000002,4.033009931590602,1.5,0.3482222043054099,0.2321481362036066
ca-HepTh,8638,24806,0.9,0.319761348060953,0.6608112671266413,0.7085785697008788,0.8999999999999999,6.155185634865209,1.5,0.3482222043054099,0.2321481362036066
ca-HepTh,8638,24806,0.95,0.35003628154478755,0.6791344580765404,0.8187938401999516,0.9499999999999998,8.413470883085704,1.5,0.3482222043054099,0.2321481362036066
ca-CondMat,21363,91286,0.7,0.20188199723944525,0.5668981554403885,0.35768902131761715,0.6999999999999998,4.350744993583369,1.5,0.2340227417128585,0.15601516114190567
ca-CondMat,21363,91286,0.8,0.24780360624849374,0.615308880355714,0.51276208838157,0.8,5.977876275662641,1.5,0.2340227417128585,0.15601516114190567
ca-CondMat,21363,91286,0.9,0.30455929715399954,0.6571885235785766,0.7164625462831102,0.8999999999999999,9.1528309515311,1.5,0.2340227417128585,0.15601516114190567
ca-CondMat,21363,91286,0.95,0.3290646977630743,0.676121300901805,0.8363714041583594,0.9499999999999998,12.842095013234676,1.5,0.2340227417128585,0.15601516114190567
email-Enron,33696,180811,0.7,0.2195165117166544,0.449713422187287,0.49313371420986557,0.7,12.168670586749222,1.5,0.18636034312071723,0.12424022874714481
email-Enron,33696,180811,0.8,0.261206453147209,0.4792581914515401,0.6081211873171433,0.7999999999999999,20.015233250749603,1.5,0.18636034312071723,0.12424022874714481
email-Enron,33696,180811,0.9,0.28352810393172984,0.5053541010753025,0.756358849848737,0.8999999999999998,35.88706691608783,1.5,0.18636034312071723,0.12424022874714481
email-Enron,33696,180811,0.95,0.30374811267013624,0.5170326724000467,0.8557997024517313,0.9499999999999997,54.56200814916653,1.5,0.18636034312071723,0.12424022874714481
com-DBLP,317080,1049866,0.7,0.22060053378240652,0.566080189642521,0.4052212377579615,0.7,3.5026365530584904,1.5,0.3020194958213715,0.201346330547581
com-DBLP,317080,1049866,0.8,0.2741911824937659,0.6120218978598178,0.5680582093333816,0.7999999999999999,5.11712308906678,1.5,0.3020194958213715,0.201346330547581
com-DBLP,317080,1049866,0.9,0.33351018129932775,0.6502722354151002,0.7543553177262622,0.8999999999999999,8.701844550672984,1.5,0.3020194958213715,0.201346330547581
com-DBLP,317080,1049866,0.95,0.3569503155640815,0.6670077338867151,0.8621033541423382,0.9499999999999998,13.43347364007419,1.5,0.3020194958213715,0.201346330547581
