network,n,m,sampler,alpha,weighted,rep,sparsify_seed,leiden_seed,m_sparse,retention,Q_P0_orig,Q_P0_sparse,dQ_fixed,Q_sparse_leiden,Q_orig_of_P,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_P,nc_base_mean,t_leiden,ami_P,ari_P,ami_base_mean,ari_base_mean
ca-GrQc,4158,13422,paper,0.8,False,0,200,300,6077,0.4527641186112353,0.8513623535140842,0.8734118470685389,0.022049493554454735,0.9064410196943512,0.7687618147322111,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.08181356551573826,-0.08337736328782253,42,197,41.4,0.09254981798585504,,,,
ca-GrQc,4158,13422,paper,0.8,False,1,201,301,6098,0.45432871405155717,0.8513623535140842,0.8751454057328207,0.023783052218736556,0.9070549855799033,0.7825007453229964,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.06807463492495291,-0.06963843269703718,42,200,41.4,0.09359452000353485,,,,
ca-GrQc,4158,13422,paper,0.8,False,2,202,302,6097,0.4542542095067799,0.8513623535140842,0.8661856516845146,0.014823298170430377,0.9042598030221002,0.7759911230460503,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.07458425720189898,-0.07614805497398325,42,199,41.4,0.09562202100642025,,,,
ca-GrQc,4158,13422,paper,0.8,False,3,203,303,6085,0.45336015496945314,0.8513623535140842,0.8727775710980231,0.02141521758393894,0.9108350544768077,0.7793683876383886,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.07120699260956076,-0.07277079038164502,42,204,41.4,0.09755252103786916,,,,
ca-GrQc,4158,13422,paper,0.8,False,4,204,304,6140,0.45745790493220084,0.8513623535140842,0.8717649656760286,0.02040261216194439,0.9053236108605934,0.7775376307901155,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.07303774945783381,-0.07460154722991807,42,200,41.4,0.09441887808497995,,,,
ca-GrQc,4158,13422,paper,1.0,False,0,200,300,6870,0.5118462226195798,0.8513623535140842,0.8685916130084812,0.01722925949439702,0.893427915816505,0.7955539337966676,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.05502144645128171,-0.05658524422336597,42,115,41.4,0.09928932599723339,,,,
ca-GrQc,4158,13422,paper,1.0,False,1,201,301,6853,0.5105796453583669,0.8513623535140842,0.8732535546831591,0.021891201169074948,0.8955428340270862,0.8070170730533783,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.04355830719457099,-0.04512210496665525,42,133,41.4,0.09418341901618987,,,,
ca-GrQc,4158,13422,paper,1.0,False,2,202,302,6852,0.5105051408135897,0.8513623535140842,0.864566400391362,0.01320404687727783,0.8934474498606004,0.8043439935337477,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.04623138671420157,-0.047795184486285835,42,119,41.4,0.09505540900863707,,,,
ca-GrQc,4158,13422,paper,1.0,False,3,203,303,6839,0.5095365817314856,0.8513623535140842,0.8688001076543339,0.017437754140249728,0.8956781249160144,0.8072424379219285,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.04333294232602081,-0.04489674009810507,42,134,41.4,0.09632968006189913,,,,
ca-GrQc,4158,13422,paper,1.0,False,4,204,304,6879,0.5125167635225749,0.8513623535140842,0.8697402788774563,0.018377925363372127,0.897236894994724,0.8032562310656493,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.04731914918230007,-0.04888294695438433,42,134,41.4,0.0952060460112989,,,,
ca-GrQc,4158,13422,calibrated,0.9,False,0,200,300,12061,0.8985993145581881,0.8513623535140842,0.8501421425307126,-0.0012202109833715502,0.8505024217709438,0.8510607688642543,0.8505753802479493,0.001062273245902081,0.8521391780200336,0.00048538861630498253,-0.0010784091557792808,42,44,41.4,0.10049769596662372,,,,
