network,arm,n,m,target_ret,e_used,realized_ret,status,min_ret,nc_P0,Q_fixed_orig,Q_fixed_sparse,dQ_fixed,meanJ_all,meanJ_intra,meanJ_inter,deltaJ,keep_intra_frac,keep_inter_frac,pres_ratio,n_intra,n_inter
email-Eu-core,real,986,16064,0.5,0.726562,0.502054,ok,0.053349,8,0.4163081027638698,0.6334103373512406,0.21710223458737082,0.16453655635255474,0.20342231092426194,0.11181639195668537,0.09160591896757657,0.6862087614926987,0.2523830473676492,2.7189178062862944,9245,6819
email-Eu-core,real,986,16064,0.2,0.421875,0.201444,ok,0.053349,8,0.4163081027638698,0.7379991741547882,0.3216910713909184,0.16453655635255474,0.20342231092426194,0.11181639195668537,0.09160591896757657,0.31119524067063276,0.05264701569145036,5.910975894521016,9245,6819
email-Eu-core,null,986,16064,0.5,0.679688,0.49944,ok,0.058142,11,0.12441220008536573,0.15236952983654478,0.027957329751179053,0.06478673241802388,0.05804945957963426,0.06694170761807734,-0.00889224803844308,0.5576676085281274,0.4808150521731986,1.1598380832870536,3893,12171
email-Eu-core,null,986,16064,0.2,0.375,0.203685,ok,0.058142,11,0.12441220008536573,0.20542385454713924,0.08101165446177351,0.06478673241802388,0.05804945957963426,0.06694170761807734,-0.00889224803844308,0.2715129720010275,0.18198997617286994,1.4919116849772034,3893,12171
ca-CondMat,real,21363,91286,0.5,0.5,0.497174,ok,0.186195,61,0.7307415125655327,0.878684920703823,0.14794340813829032,0.22651137325897247,0.26804075820278805,0.0902824502372442,0.17775830796554387,0.5895738932803499,0.19407324049327143,3.0378937960836008,69959,21327
ca-CondMat,real,21363,91286,0.2,0.0,0.186195,ok,0.186195,61,0.7307415125655327,0.9179539828535127,0.18721247028798005,0.22651137325897247,0.26804075820278805,0.0902824502372442,0.17775830796554387,0.22986320559184664,0.042950250855722794,5.351847800935931,69959,21327
ca-CondMat,null,21363,91286,0.5,0.40625,0.498291,ok,0.213494,32,0.31208756329441756,0.37708898057528434,0.06500141728086678,0.0007431651409730708,0.0008122501900659965,0.0006876404727868658,0.00012460971727913076,0.5546022224407513,0.4530329974313377,1.2241982936900917,40676,50610
ca-CondMat,null,21363,91286,0.2,0.0,0.213494,floor,0.213494,32,0.31208756329441756,0.43849454991208886,0.1264069866176713,0.0007431651409730708,0.0008122501900659965,0.0006876404727868658,0.00012460971727913076,0.2633002261775986,0.1734637423434104,1.517897761345058,40676,50610
email-Enron,real,33696,180811,0.5,0.630932,0.505401,ok,0.158558,195,0.6065817743086941,0.7673691959232055,0.16078742161451143,0.1102391233989402,0.13125500790982128,0.05402905334632317,0.07722595456349811,0.6017962706867468,0.2475764658063205,2.4307490969579195,131606,49205
email-Enron,real,33696,180811,0.2,0.0,0.158558,ok,0.158558,195,0.6065817743086941,0.8656582377723726,0.2590764634636785,0.1102391233989402,0.13125500790982128,0.05402905334632317,0.07722595456349811,0.20621400240110632,0.031094400975510618,6.631869273298324,131606,49205
email-Enron,null,33696,180811,0.5,0.5625,0.501164,ok,0.170659,141,0.24268133126285807,0.33755312267897053,0.09487179141611246,0.008448262698643844,0.0046640697123228264,0.010280240621612657,-0.00561617090928983,0.6367412682265174,0.43552954502548613,1.461993280362316,58980,121831
email-Enron,null,33696,180811,0.2,0.0,0.170659,ok,0.170659,141,0.24268133126285807,0.5575492647831974,0.31486793352033937,0.008448262698643844,0.0046640697123228264,0.010280240621612657,-0.00561617090928983,0.3291793828416412,0.09391698336219846,3.5050037922548496,58980,121831
