dataset,condition,seed,n_clusters,AMI,ARI,NMI,avgF1_ge3,realized_ret,e_used,resolution
email-Eu-core,baseline,100,8,0.5774916561472868,0.35830612609664525,0.6021580624218643,,1.0,,1.0
email-Eu-core,baseline,101,8,0.5621236978736222,0.3322208274752097,0.5877173591075324,,1.0,,1.0
email-Eu-core,baseline,102,8,0.5597120583264071,0.33017793454725614,0.5853449135790628,,1.0,,1.0
email-Eu-core,baseline,103,8,0.5574707531761826,0.3281319241379798,0.5833760851513908,,1.0,,1.0
email-Eu-core,baseline,104,8,0.5561767481413074,0.3265287907966508,0.5821614025753614,,1.0,,1.0
email-Eu-core,lspar_0.5,300,11,0.6049220519536157,0.41139842785522235,0.6348511747795197,,0.5021,0.7266,1.0
email-Eu-core,lspar_0.5,301,12,0.6124358560337995,0.4212009843840883,0.6439597802336423,,0.5021,0.7266,1.0
email-Eu-core,lspar_0.5,302,12,0.6195661908944378,0.4333344580744598,0.650533648715748,,0.5021,0.7266,1.0
email-Eu-core,resmatch_0.5,100,13,0.6364795240396149,0.5039395584830674,0.6684466421290994,,1.0,,1.5
email-Eu-core,resmatch_0.5,101,11,0.597590973661462,0.41825627727780673,0.6282524040616363,,1.0,,1.25
email-Eu-core,resmatch_0.5,102,12,0.6226923328459053,0.487015056425097,0.6537976459337884,,1.0,,1.375
email-Eu-core,lspar_0.2,300,17,0.6305990502188276,0.4452215417993735,0.6699975919488678,,0.2014,0.4219,1.0
email-Eu-core,lspar_0.2,301,17,0.6494609674455818,0.4775133936369232,0.6870451186449698,,0.2014,0.4219,1.0
email-Eu-core,lspar_0.2,302,19,0.6524051422208212,0.4911675837543714,0.6928674349486587,,0.2014,0.4219,1.0
email-Eu-core,resmatch_0.2,100,18,0.6521892686357232,0.5230651335317278,0.6901624457672177,,1.0,,1.75
email-Eu-core,resmatch_0.2,101,19,0.6474433801823002,0.527072675486766,0.6865274363618094,,1.0,,1.75
email-Eu-core,resmatch_0.2,102,19,0.6436864624327296,0.5127580830220895,0.6831787028849169,,1.0,,1.75
com-DBLP,baseline,100,225,,,,0.10890882219145614,1.0,,1.0
com-DBLP,baseline,101,227,,,,0.11880080239782348,1.0,,1.0
com-DBLP,baseline,102,229,,,,0.11710095082505068,1.0,,1.0
com-DBLP,lspar_0.5,300,10950,,,,0.19307070045662453,0.503,0.375,1.0
com-DBLP,lspar_0.5,301,10948,,,,0.19285526720701787,0.503,0.375,1.0
com-DBLP,lspar_0.5,302,10945,,,,0.19292973519778198,0.503,0.375,1.0
com-DBLP,resmatch_0.5,100,10812,,,,0.29705134504891434,1.0,,576.0
com-DBLP,lspar_0.2,300,72736,,,,0.3759817713988281,0.2441,0.0,1.0
com-DBLP,lspar_0.2,301,72736,,,,0.3759817713988281,0.2441,0.0,1.0
com-DBLP,lspar_0.2,302,72736,,,,0.3759817713988281,0.2441,0.0,1.0
com-DBLP,resmatch_0.2,100,46081,,,,0.3967208061873275,1.0,,7168.0
com-Amazon,baseline,100,300,,,,0.17651776343433934,1.0,,1.0
com-Amazon,baseline,101,311,,,,0.19542425031602345,1.0,,1.0
com-Amazon,baseline,102,308,,,,0.1762868016228491,1.0,,1.0
com-Amazon,lspar_0.5,300,8653,,,,0.40141402330295617,0.5418,0.0625,1.0
com-Amazon,lspar_0.5,301,8658,,,,0.4022306997506385,0.5418,0.0625,1.0
com-Amazon,lspar_0.5,302,8662,,,,0.4019550945684915,0.5418,0.0625,1.0
com-Amazon,resmatch_0.5,100,8424,,,,0.3301633509182033,1.0,,320.0
com-Amazon,lspar_0.2,300,57788,,,,0.412993174369652,0.3006,0.0,1.0
com-Amazon,lspar_0.2,301,57788,,,,0.412993174369652,0.3006,0.0,1.0
com-Amazon,lspar_0.2,302,57788,,,,0.412993174369652,0.3006,0.0,1.0
com-Amazon,resmatch_0.2,100,43974,,,,0.44186477174782646,1.0,,7168.0
com-Amazon,resmatch_0.5,101,8375,,,,0.3390982347669011,1.0,,320.0
com-Amazon,resmatch_0.5,102,8414,,,,0.33642976505469885,1.0,,320.0
com-Amazon,resmatch_0.5_sweep,100,8824,,,,0.342519009711306,1.0,,352.0
com-Amazon,resmatch_0.5_sweep,100,9222,,,,0.3424479199047125,1.0,,384.0
com-Amazon,resmatch_0.5_sweep,100,9989,,,,0.35549791850744705,1.0,,448.0
