network,n,m,avg_deg,target_ret,e_used,realized_ret,status,min_ret,ret_at_e0p5,m_sparse,Q_base_mean,Q_base_std,Q_base_best,Q_best_of_2,nc_base,T_leiden_orig,T_jaccard,T_rank,T_select,T_sparsify,Q_sparse_PL,Q_sparse_PL_std,Q_orig_PL,Q_orig_PL_std,nc_sparse,T_leiden_sparse,dQ_naive,dQ_honest_vs_mean,dQ_honest_vs_best,budget,n_restarts,Q_matched_best,dQ_vs_matched,Q_fixed_orig,Q_fixed_sparse,dQ_fixed,meanJ_intra,meanJ_inter,deltaJ,keep_intra_frac,keep_inter_frac,pres_ratio,n_intra,n_inter,T_pipeline,speedup_vs_single_leiden,speedup_leiden_only
email-Eu-core,986,16064,32.5841784989858,0.5,0.726562,0.502054,ok,0.053349,0.250187,8065,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.4163081027638698,8.0,0.059070828999392685,0.01887154602445662,0.003271202091127634,0.0010898530017584562,0.02323260111734271,0.6754206464909068,9.33167863360675e-05,0.38792988270606155,0.0014743532590156113,11.666666666666666,0.032971262970628835,0.2593722110618064,-0.02811855272303887,-0.028500493817599892,0.056203864087971546,1,0.41458975012549415,-0.026659867419432604,0.4163081027638698,0.6334103373512406,0.21710223458737082,0.20342231092426194,0.11181639195668537,0.09160591896757657,0.6862087614926987,0.2523830473676492,2.7189178062862944,9245,6819,0.056203864087971546,1.051010103272147,1.7915852678137818
email-Eu-core,986,16064,32.5841784989858,0.2,0.421875,0.201444,ok,0.053349,0.250187,3236,0.4160484354291004,0.00042948555040947707,0.41643037652366144,0.4163081027638698,8.0,0.059070828999392685,0.01887154602445662,0.003271202091127634,0.0006203280063346028,0.022763076121918857,0.8042289106431914,0.00045724704813612885,0.358796986868884,0.001357068633474419,17.666666666666668,0.022823714612362284,0.38818047521409094,-0.05725144856021641,-0.057633389654777434,0.04558679073428114,1,0.41458975012549415,-0.055792763256610145,0.4163081027638698,0.7379991741547882,0.3216910713909184,0.20342231092426194,0.11181639195668537,0.09160591896757657,0.31119524067063276,0.05264701569145036,5.910975894521016,9245,6819,0.04558679073428114,1.2957882765581827,2.5881338775326888
wiki-Vote,7066,100736,28.512878573450326,0.5,0.71875,0.501767,ok,0.067305,0.251648,50546,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.42543945621928453,6.4,0.4367501944070682,0.20098959608003497,0.024482117034494877,0.008173307054676116,0.23364502016920596,0.5786808026672795,0.0009198144739382917,0.41511560445615814,0.0012549414546620882,8.333333333333334,0.2687681623113652,0.1542556965377353,-0.009309501673386067,-0.011688172112890194,0.5024131824805711,1,0.42936553688762724,-0.014249932431469103,0.4236010192981562,0.569562280345742,0.14596126104758578,0.06381609368407312,0.05119955998479185,0.012616533699281271,0.6161706256063594,0.30325821341297854,2.0318349128017026,63906,36830,0.5024131824805711,0.8693048065552258,1.625007183332591
wiki-Vote,7066,100736,28.512878573450326,0.2,0.40625,0.19704,ok,0.067305,0.251648,19849,0.4244251061295442,0.0024969817925130345,0.42680377656904833,0.42543945621928453,6.4,0.4367501944070682,0.20098959608003497,0.024482117034494877,0.004400188918225467,0.22987190203275532,0.6923005115308744,0.005046005491915113,0.3797288006143851,0.0043126630976396945,14.0,0.199306310658964,0.26787540540133015,-0.04469630551515913,-0.047074975954663256,0.4291782126917193,1,0.42936553688762724,-0.049636736273242166,0.4236010192981562,0.6482897663342415,0.22468874703608532,0.06381609368407312,0.05119955998479185,0.012616533699281271,0.265718398898382,0.07787130057018735,3.412276370790589,63906,36830,0.4291782126917193,1.0176429778852447,2.1913515581270175
ca-HepTh,8638,24806,5.74345913405881,0.5,0.265625,0.500605,ok,0.275982,0.616141,12418,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.7610492282646596,48.8,0.30005676180589946,0.01623267005197704,0.004885421018116176,0.002076177974231541,0.023194269044324756,0.9464211128260084,0.0004145673529603829,0.6890628792396277,0.001322196043203601,314.6666666666667,0.21502671367488801,0.18505451944571993,-0.07230371414066072,-0.07329688238561449,0.23822098271921277,1,0.7621034738723506,-0.07304059463272283,0.7610492282646596,0.8944866437860391,0.13343741552137955,0.20733663758826587,0.0577635771909837,0.1495730603972822,0.5799939589206605,0.18150546337515175,3.1954628149229705,19864,4942,0.23822098271921277,1.2595731844477005,1.3954394627430968
ca-HepTh,8638,24806,5.74345913405881,0.2,0.0,0.275982,floor,0.275982,0.616141,6846,0.7613665933802884,0.0009432025745519009,0.7623597616252422,0.7610492282646596,48.8,0.30005676180589946,0.01623267005197704,0.004885421018116176,0.0010893059661611915,0.022207397036254406,0.999028883762973,0.0,0.4529033333823292,0.0,1875.0,0.24573792167939246,0.2376622903826846,-0.30846325999795926,-0.30945642824291303,0.26794531871564686,1,0.7621034738723506,-0.30920014049002137,0.7610492282646596,0.9148721478127928,0.1538229195481332,0.20733663758826587,0.0577635771909837,0.1495730603972822,0.3266210229561015,0.07244030756778633,4.508829875556016,19864,4942,0.26794531871564686,1.1198432696797007,1.2210437841879989
ca-CondMat,21363,91286,8.546177971258718,0.5,0.5,0.497174,ok,0.186195,0.497174,45385,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.7324642748961809,55.2,0.868455416848883,0.05247735197190195,0.021214290987700224,0.006719731027260423,0.0804113739868626,0.9293203227871233,0.00010250843758751478,0.6634735868100281,0.0006033449825035122,503.0,0.5627636820233116,0.1985301052433751,-0.06731663073372007,-0.06899068808615283,0.6431750560101742,1,0.7293820280333824,-0.06590844122335426,0.7307415125655327,0.878684920703823,0.14794340813829032,0.26804075820278805,0.0902824502372442,0.17775830796554387,0.5895738932803499,0.19407324049327143,3.0378937960836008,69959,21327,0.6431750560101742,1.3502629007974856,1.5431973394702976
ca-CondMat,21363,91286,8.546177971258718,0.2,0.0,0.186195,ok,0.186195,0.497174,16997,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.7324642748961809,55.2,0.868455416848883,0.05247735197190195,0.021214290987700224,0.0024466259637847543,0.07613826892338693,0.9996781736215036,1.1102230246251565e-16,0.3259059203878093,0.0,5157.0,0.6476797266708066,0.2688879560777554,-0.4048842971559389,-0.40655835450837163,0.7238179955941936,1,0.7293820280333824,-0.40347610764557307,0.7307415125655327,0.9179539828535127,0.18721247028798005,0.26804075820278805,0.0902824502372442,0.17775830796554387,0.22986320559184664,0.042950250855722794,5.351847800935931,69959,21327,0.7238179955941936,1.1998256773596163,1.3408717010688358
email-Enron,33696,180811,10.731896961063628,0.5,0.630932,0.505401,ok,0.158558,0.374684,91382,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.6093568592460408,171.2,1.2350481245666742,0.2781550190411508,0.04018816503230482,0.015726814977824688,0.3340699990512803,0.8061014567210761,0.0019292398812708062,0.5851803795767809,1.715662397262196e-05,367.0,0.8628362112989029,0.19900415202739352,-0.021916925116901687,-0.024176479669259843,1.1969062103501833,1,0.605125368663654,-0.019944989086873033,0.6065817743086941,0.7673691959232055,0.16078742161451143,0.13125500790982128,0.05402905334632317,0.07722595456349811,0.6017962706867468,0.2475764658063205,2.4307490969579195,131606,49205,1.1969062103501833,1.0318670869000937,1.4313818873079611
email-Enron,33696,180811,10.731896961063628,0.2,0.0,0.158558,ok,0.158558,0.374684,28669,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.6093568592460408,171.2,1.2350481245666742,0.2781550190411508,0.04018816503230482,0.003856335999444127,0.32219952007289976,0.9964676937628173,8.805086272772175e-06,0.21785017969338386,7.503678176050043e-05,5860.0,0.8602960233498985,0.3893703890691347,-0.3892471250002988,-0.39150667955265694,1.1824955434227982,1,0.605125368663654,-0.38727518897027013,0.6065817743086941,0.8656582377723726,0.2590764634636785,0.13125500790982128,0.05402905334632317,0.07722595456349811,0.20621400240110632,0.031094400975510618,6.631869273298324,131606,49205,1.1824955434227982,1.0444420965780215,1.435608315097787
