network,arm,rewire_seed,n,m,n_comms,Q,p_intra,sd_s,mu_s,delta,mu_intra,mu_inter,r_pb,auc_s,auc_prod,term_sorting,term_scale,term_granularity,term_sum,log_ratio,hb,deg_R2,hub_inter_frac,nonhub_inter_frac,hub_inter_lift,assort_deg,transitivity,avg_local_cc,tri_intra,tri_inter,tri_frac_intra_ge1,tri_frac_inter_ge1,comm_size_mean,comm_size_max_frac,comm_size_gini,seconds
ca-GrQc,real,,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.0,0.0,0.0,0.0,0.0,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,null,7,4158,13422,32,0.3755152786939579,0.47429593205185516,0.26375884703748337,0.3097898971837282,0.1881161130195167,0.4086833030446811,0.2205671900251644,0.3561347313683673,0.6836155867729855,0.31843758749179846,1.344701959350822,-0.08448161274324188,-0.4917673756488708,0.7684529709587093,0.7684529709587112,1.8210792461556047,0.0418153626971115,0.6155074778568317,0.4310635042081102,1.1708250237803848,-0.013963112859942504,0.010701170152554198,0.010021919830696408,0.16619541313226516,0.19571995464852607,0.13305058121269242,0.15617913832199545,129.9375,0.12914862914862915,0.5713233525733525,0.0
ca-GrQc,null,8,4158,13422,28,0.3781424548211699,0.4776486365668306,0.26355749698258574,0.3097898971837282,0.18987571124986563,0.40897173383793833,0.2190960225880727,0.35985676943780276,0.6868789159695815,0.3130638839903985,1.355098930805422,-0.08524529119533879,-0.49209035648165056,0.7777632831284327,0.7777632831284345,1.6953421093080474,0.03237024607968442,0.6129548762736535,0.42735042735042733,1.1734531948858906,-0.01173681687407307,0.01010885446145341,0.008372427638591362,0.15411012322570583,0.18770503494508628,0.11823428482296054,0.1480530594779632,148.5,0.14333814333814335,0.5435649007077576,0.0
com-Amazon,real,,334863,925872,326,0.9295759329493654,0.9451295643458275,0.20114929505015844,0.36167310384156776,0.00961229304191441,0.3622005345484131,0.3525882415064987,0.01088236694343647,0.47479526403351635,0.48985983726264626,0.0,0.0,0.0,0.0,0.0,1.0418094342918638,0.017262590189954685,0.06266357055047125,0.04977474983119635,1.142027939151348,-0.058819619706587924,0.20522444916452576,0.3967463932787564,2.2668932392759884,0.34838493789736824,0.8021413168561565,0.25059543727732614,1027.1871165644172,0.04138707471413683,0.7581095109145359,0.7
com-Amazon,null,7,334863,925872,240,0.42320764235213043,0.47336780894119274,0.20762858541447118,0.36167310384156776,0.14028482386482682,0.43555160800580034,0.2952667841409735,0.3373468099164723,0.691057112652669,0.30920286553882964,3.433967743011138,0.031703442695523276,-0.7850391781234366,2.6806320075832244,2.6806320075832186,2.162345530947853,0.01786154618831859,0.6626559106775364,0.44327327076234874,1.258289793005722,0.0011627131072449695,6.583139410999749e-05,5.974343467374366e-05,0.0007826082988422874,0.000613215092884654,0.0007734816714505405,0.000613215092884654,1395.2625,0.07830963707546071,0.903994954653097,0.7
com-Amazon,null,8,334863,925872,236,0.42370217419399814,0.4789409335199682,0.20780799974092035,0.36167310384156776,0.13753141509678596,0.4333350946035768,0.2958036795067908,0.33061618195566916,0.6867563857877673,0.3129660212898066,3.413814363707933,0.03256718144176924,-0.7855719852080358,2.660809559941667,2.660809559941662,2.114710269716607,0.018305188291070196,0.6549738205004962,0.43906516374958426,1.2570049398144314,0.0010968242427950164,5.5987447327194124e-05,5.0500084838755224e-05,0.0006269196595690942,0.000555516402243623,0.0006224094461908993,0.0005492979350543287,1418.9110169491526,0.07621922995374228,0.9050004993187954,0.7
com-DBLP,real,,317080,1049866,239,0.8270797363743959,0.8499037019962548,0.25698134117891985,0.3020194958213715,0.1468700896069604,0.3240641525588546,0.17719406295189422,0.20412754827009175,0.6835260159268223,0.3027549532355141,0.0,0.0,0.0,0.0,0.0,1.5830536132375563,0.018963081558088124,0.22408037491172883,0.08321514974555769,1.4929107372530768,0.26652083086595424,0.3063766130023435,0.6324308280637171,6.9816146186476296,2.8148380832714603,0.9374090116946939,0.8902596125167375,1326.694560669456,0.07773432572221521,0.751661658449249,0.8
com-DBLP,null,7,317080,1049866,546,0.364141229016162,0.4442557431138831,0.2503461146209098,0.3020194958213715,0.1943592193725269,0.4100335157605222,0.21567429638799532,0.38576099006902104,0.7126538819467504,0.2900827827258348,0.6364729458876613,-0.02615906097601871,-0.33015424365813084,0.2801596412535118,0.28015964125349757,2.229618030415055,0.018813758855279583,0.6665246284929811,0.4385234412522912,1.1993369616225569,-0.0012333851890343264,0.0002016446619786731,0.00018712915894594038,0.003601988812394272,0.004648157447763931,0.003559107993199102,0.004576172708528649,580.7326007326008,0.0970606786930743,0.9682508568341797,0.9
com-DBLP,null,8,317080,1049866,500,0.36520104546134846,0.43781587364482705,0.25021326141207056,0.3020194958213715,0.19869324172699232,0.41372168233433787,0.21502844060734555,0.39396515620270767,0.7188110082017775,0.2839065229657976,0.657517434270167,-0.026689879969008373,-0.3286138696440535,0.3022136846571051,0.3022136846570999,2.3863840694196936,0.017591928103198207,0.6756461742886848,0.44219986791228905,1.2018236421386068,-9.786229318841187e-05,0.00020632766642353302,0.00017509373560136573,0.0031458855472013365,0.005164193569155803,0.0031045495683653577,0.005067619083118441,634.16,0.08298852024725621,0.9644485177242337,0.9
com-Youtube,real,,1134890,2987624,5921,0.7188132473549275,0.8322054582504358,0.41306581476087467,0.3798637311790239,0.2458885725709366,0.42112249153501863,0.17523391896408202,0.22244532665644134,0.6266009893802026,0.4006959158060216,0.0,0.0,0.0,0.0,0.0,3.9964982827449793,0.03156204976901833,0.18633613026307957,0.09169945348656439,1.110501738138711,-0.036909908395276324,0.006218559818028638,0.08080227776188081,3.229554397126352,2.272982423943811,0.4788037888973932,0.41256156407151706,191.67201486235433,0.14947616068517652,0.9705012299470304,12.1
