network,arm,rewire_seed,n,m,n_comms,Q,p_intra,sd_s,mu_s,delta,mu_intra,mu_inter,r_pb,auc_s,auc_prod,term_sorting,term_scale,term_granularity,term_sum,log_ratio,hb,deg_R2,hub_inter_frac,nonhub_inter_frac,hub_inter_lift,assort_deg,transitivity,avg_local_cc,tri_intra,tri_inter,tri_frac_intra_ge1,tri_frac_inter_ge1,comm_size_mean,comm_size_max_frac,comm_size_gini,seconds
email-Eu-core,real,,986,16064,8,0.41585277609990806,0.584910358565737,0.09471324878169804,0.06137948207171315,0.03400028641615006,0.07549264876885511,0.04149236235270505,0.17688355006797415,0.7058129881048056,0.27133059978042706,0.0,0.0,0.0,0.0,0.0,2.1130545325546457,0.016978882466887724,0.610192423331329,0.2771993200169996,1.4700256581275446,-0.02574336808308948,0.26739242877040204,0.40705044751953817,19.501702852277564,19.967756448710258,0.9822264793529162,0.9818536292741452,123.25,0.2748478701825558,0.2720588235294117,0.0
email-Eu-core,null,7,986,16064,8,0.12868860983791428,0.26263695219123506,0.09409413116289758,0.06137948207171315,0.03972969392389381,0.09067469027194486,0.050944996348051046,0.18581094093294792,0.6001226236294013,0.39827943719996306,0.04923810334788379,-0.006558216506280545,0.11305003046613182,0.15572991730773506,0.1557299173077324,1.4011678713372087,0.018856344798364733,0.7794637595757219,0.7065545493747305,1.057096313535196,-0.10484020509478789,0.14232312612405512,0.16271645250179562,8.625029627873904,11.144786829886028,0.9028205735956388,0.9557619248628113,123.25,0.15720081135902636,0.11105476673427983,0.0
email-Eu-core,null,8,986,16064,9,0.1260882104983949,0.24719870517928286,0.09364796954035694,0.06137948207171315,0.04284652281439139,0.09363439992495239,0.05078787711056099,0.1973697048899262,0.6050789063345491,0.3917796753661599,0.10958703771638419,-0.011311145772341094,0.13297965336648057,0.23125554531052367,0.23125554531052012,1.405923004433892,0.005439389425599739,0.7961623616236162,0.7211755840241145,1.057599617722796,-0.10564574532097382,0.1418540655298779,0.1622969597199023,8.497104004029211,11.089225171586868,0.9005288340468396,0.9557595303067891,109.55555555555556,0.15314401622718052,0.11990083389677708,0.0
wiki-Vote,real,,7066,100736,7,0.42397618528227865,0.6820501111817027,0.16301382798672243,0.07014374205844981,0.05132495596724757,0.08646250610184017,0.0351375501345926,0.14661946156783456,0.6453091788433253,0.34236413771909263,0.0,0.0,0.0,0.0,0.0,1.9023088754692734,0.004108535127252733,0.3733706627501377,0.21553771344566325,1.1743066309531323,-0.08330281119562169,0.12547917487219654,0.1418749184162634,17.356353792190024,19.752848980611322,0.8994862241110804,0.9462050017171938,1009.4285714285714,0.30639682988961225,0.4636690792931948,0.2
wiki-Vote,null,7,7066,100736,24,0.12488248631708178,0.28992614358322744,0.16401913047864483,0.07014374205844981,0.10008433963914505,0.1412110150729436,0.04112667543379854,0.27686437272714365,0.6206900049426903,0.37244970475828315,0.635687223644123,0.006148038798322547,0.02600085949374407,0.6678361219361897,0.6678361219361881,1.7157066460232584,0.020021587553937903,0.7421300427731791,0.6517822169996083,1.0451448621389483,-0.08532167767177562,0.07992615212170683,0.07395949505327638,8.142676162432377,12.928239899342932,0.7864137505991919,0.9149867188592199,294.4166666666667,0.18129068780073593,0.7297858288517785,0.2
wiki-Vote,null,8,7066,100736,27,0.12702057404634987,0.28525055590851334,0.16420087578959278,0.07014374205844981,0.10180001150812303,0.1429052436923877,0.041105232184264665,0.27993842884160713,0.6217885256108098,0.37372975241940926,0.6467291485022616,0.007255499197155177,0.030848464478930446,0.6848331121783472,0.6848331121783461,1.661367222658539,0.01705558598351442,0.7461472074959931,0.6579167596518635,1.043928349527317,-0.08062242430272767,0.0812401598094046,0.07276238409057875,8.459404906907952,13.035985611310954,0.7814511919262224,0.9138206413799809,261.7037037037037,0.17492216246815737,0.7536874547913326,0.2
ca-HepTh,real,,8638,24806,47,0.7618818232012058,0.7991211803595905,0.2816048208693767,0.3482222043054099,0.1736473032809125,0.3831042696222199,0.2094569663413074,0.2470593830248225,0.6870721548963393,0.3113662627073198,0.0,0.0,0.0,0.0,0.0,1.5813393919743293,0.055035628674645065,0.2856234770632482,0.14882540508882672,1.4218695508791763,0.23891531080420653,0.281129264921973,0.48156415202616737,3.802149018816526,1.6530202689143088,0.887907985673208,0.8101545253863135,183.7872340425532,0.06691363741606854,0.38671776859300566,0.0
ca-HepTh,null,7,8638,24806,59,0.4116695959744604,0.4767394985084254,0.2723092172131687,0.34822220430540995,0.2161973821132164,0.46134975489113716,0.24515237277792076,0.39654057622347155,0.7185026229063068,0.2841721265488776,0.4731496470006379,-0.03356649511592816,-0.22041760483362036,0.2191655470510894,0.21916554705108732,1.976132223997887,0.029421273764947964,0.6359324606336558,0.43998878295008415,1.2153267040430253,-0.0034558870490166145,0.0027639821518038177,0.002556563417862833,0.03280906477253509,0.03343605546995378,0.031625232538474546,0.031587057010785825,146.40677966101694,0.11322065292891872,0.6774363180428615,0.0
ca-HepTh,null,8,8638,24806,47,0.41405969843846785,0.48056921712488915,0.2722687323255203,0.34822220430540995,0.21312885320327413,0.4589278913780612,0.2457990381747871,0.3910986302210635,0.7127397294118761,0.2902430946819504,0.459331054543185,-0.033715178652444056,-0.2207451979164258,0.20487067797431516,0.20487067797431383,1.881620030181248,0.026848153439846367,0.6297029702970297,0.437081895641152,1.2122942864717208,-0.011208022650574767,0.002753894625702344,0.0023645836914186966,0.033973659927858404,0.032130384167636784,0.03305091854710175,0.030888630190143578,183.7872340425532,0.10152813151192405,0.618267624991995,0.0
facebook-combined,real,,4039,88234,14,0.8355423244388935,0.9608087585284584,0.06256813908104789,0.045776004714735814,-0.0013638792983321768,0.04572255259181684,0.047086431890149015,-0.004229954407625082,0.5013490557881846,0.38913820412959943,0.0,0.0,0.0,0.0,0.0,2.6805784490447526,0.32374182476421987,0.06774151178827083,0.024143302180685357,1.7284859893366922,0.06357722918564915,0.5191742775433075,0.6055467186200871,55.42507313390582,39.70908039329092,0.9991035198641125,0.9994216310005783,288.5,0.1369150779896014,0.33871538216673147,0.1
