network,seed,stage_frac,swaps,n,m,n_comms,Q,p_intra,sd_s,delta,r_pb,hb,transitivity,avg_local_cc,deg_R2,hub_inter_frac,hub_inter_lift,tri_intra,tri_inter,seconds
ca-GrQc,7,0.0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.08723506953795679,0.09281489735988588,0.47820995409767336,0.6288944756689877,0.5568782161697932,0.20120241734161926,0.1005940594059406,0.9664806480648065,11.728316008316009,1.6492483894058698,0.0
ca-GrQc,7,0.25,33555,4158,13422,33,0.373468549145944,0.47459395023096407,0.2630710926207295,0.1852039716033179,0.35154894633187295,1.7607161920284202,0.01041159359246048,0.00767087700353876,0.04261693720213322,0.6129922976311583,1.1667020162798363,0.1577708006279435,0.19398752127056154,0.0
ca-GrQc,7,0.5,67110,4158,13422,29,0.37648383777606226,0.4712412457159887,0.26372009306909905,0.19218649138260455,0.3637726727280406,1.8315284129741833,0.010490569017940585,0.008288346731961192,0.03447045790947878,0.6251088534107402,1.1822193927686282,0.15873517786561264,0.19543469071438635,0.0
ca-GrQc,7,1.0,134220,4158,13422,28,0.3721759102815626,0.46490835940992403,0.262588049183691,0.20157483285335578,0.38287685361816093,1.9564892759165746,0.010279967883326972,0.008316902801673765,0.027478341550507324,0.6373530692207227,1.191110121843573,0.1405448717948718,0.20412141464773043,0.0
ca-GrQc,8,0.0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.08723506953795679,0.09281489735988588,0.47820995409767336,0.6288944756689877,0.5568782161697932,0.20120241734161926,0.1005940594059406,0.9664806480648065,11.728316008316009,1.6492483894058698,0.0
ca-GrQc,8,0.25,33555,4158,13422,29,0.37957033092474146,0.4647593503203695,0.26376958908145287,0.20308563359871287,0.38401049344251315,2.0506950842598552,0.011056559567214668,0.011807211250251545,0.03637499999286964,0.63754565376187,1.1911383302883936,0.1527733247835845,0.21812360801781738,0.0
ca-GrQc,8,0.5,67110,4158,13422,36,0.3743202945162098,0.4675160184771271,0.26490670741323147,0.1931455657663485,0.3637837613023761,1.8140304804963998,0.01009569189054006,0.009924395612621725,0.04412330143215171,0.6280074917158911,1.1793922700168868,0.16143426294820717,0.1802154750244858,0.0
ca-GrQc,8,1.0,134220,4158,13422,30,0.37736684041734875,0.47168827298465205,0.26461758397871704,0.1953826176639256,0.36858689409881157,1.9067621898940659,0.009977228752319904,0.008553766641772076,0.03237204240601255,0.6222964145739585,1.1778962736442915,0.14737008371505292,0.18911296009025524,0.0
ca-HepTh,7,0.0,0,8638,24806,47,0.7618818232012058,0.7991211803595905,0.2816048208693767,0.1736473032809125,0.2470593830248225,1.5813393919743293,0.281129264921973,0.48156415202616737,0.055035628674645065,0.2856234770632482,1.4218695508791763,3.802149018816526,1.6530202689143088,0.0
ca-HepTh,7,0.25,62015,8638,24806,47,0.4137770796129229,0.48697895670402325,0.27311706985338097,0.21199074574141577,0.3879633898974863,1.9175199451543063,0.00303634535654361,0.0021292783022187683,0.029415310663899574,0.6266452040526466,1.2214805069723362,0.03385761589403973,0.03881816753103882,0.0
ca-HepTh,7,0.5,124030,8638,24806,57,0.4153979255382317,0.4913327420785294,0.2746425943744509,0.20968588689444936,0.38168584379104104,1.833105530045506,0.0029657326738332934,0.002081805201198798,0.03539551587792278,0.6192377150460983,1.2173728609473382,0.03478831637676403,0.03629735298779521,0.0
ca-HepTh,7,1.0,248060,8638,24806,52,0.4141250194876746,0.4859308231879384,0.27335442930788934,0.21178400859188912,0.3872264860255352,1.8529603896945475,0.0032078333002686643,0.002920969987168894,0.03178994219820486,0.6266628658304827,1.2190243922358026,0.04106520657043305,0.03599435382685069,0.0
ca-HepTh,8,0.0,0,8638,24806,47,0.7618818232012058,0.7991211803595905,0.2816048208693767,0.1736473032809125,0.2470593830248225,1.5813393919743293,0.281129264921973,0.48156415202616737,0.055035628674645065,0.2856234770632482,1.4218695508791763,3.802149018816526,1.6530202689143088,0.0
ca-HepTh,8,0.25,62015,8638,24806,50,0.41133050571280133,0.49004273159719425,0.2731717515998447,0.2070775313412254,0.3789492576452728,1.8056043042263985,0.0029052075172244507,0.002348675845804674,0.03387903995991315,0.6188718531137611,1.2135759042165977,0.03446857518920698,0.03517786561264822,0.0
ca-HepTh,8,0.5,124030,8638,24806,47,0.41238089733877364,0.48701926953156494,0.2732250220791865,0.21253854251417229,0.38881304429258784,1.9184905921820483,0.002895119991122977,0.002254164312018529,0.026926159285956652,0.625,1.218369351669941,0.03261319427199735,0.03669941060903733,0.0
ca-HepTh,8,1.0,248060,8638,24806,48,0.4127215168421776,0.48701926953156494,0.2720542531369501,0.21256278429842992,0.3905308157955901,1.7933068478680894,0.002753894625702344,0.0023401503381922303,0.02726110759243905,0.6199129282604581,1.2084526599944143,0.035179207019286486,0.030962671905697445,0.0
email-Eu-core,7,0.0,0,986,16064,8,0.41585277609990806,0.584910358565737,0.09471324878169804,0.03400028641615006,0.17688355006797415,2.1130545325546457,0.26739242877040204,0.40705044751953817,0.016978882466887724,0.610192423331329,1.4700256581275446,19.501702852277564,19.967756448710258,0.0
email-Eu-core,7,0.25,40160,986,16064,10,0.12295262077623273,0.22970617529880477,0.09317385464624778,0.04376234281930037,0.19757002033743595,1.431595522032964,0.1440244215764493,0.15920670884718788,0.006553147672867299,0.8026568265682656,1.0420138404713608,8.4840108401084,11.241797316954905,0.0
email-Eu-core,7,0.5,80320,986,16064,8,0.1279591718565231,0.26400647410358563,0.09429939545939744,0.04068640364940364,0.1901886870923418,1.3114094245111114,0.1430203783586429,0.16437841607264356,0.012229126369570964,0.7664018829067373,1.041316065889692,9.062956849799576,11.062166962699822,0.0
email-Eu-core,7,1.0,160640,986,16064,9,0.12723904401071018,0.2774526892430279,0.09346221454895833,0.03729405947119056,0.1786615944921409,1.3387230958278098,0.14263245256994497,0.16652717723731125,0.013938994609338118,0.7581737849779087,1.0493067702149672,8.87727170742652,11.131127767726372,0.0
email-Eu-core,8,0.0,0,986,16064,8,0.41585277609990806,0.584910358565737,0.09471324878169804,0.03400028641615006,0.17688355006797415,2.1130545325546457,0.26739242877040204,0.40705044751953817,0.016978882466887724,0.610192423331329,1.4700256581275446,19.501702852277564,19.967756448710258,0.0
email-Eu-core,8,0.25,40160,986,16064,10,0.1292135852289299,0.2446464143426295,0.09341114331254072,0.04228053381233471,0.19457469089136406,1.459094067294855,0.1434716907141215,0.1557883453674497,0.011549215522776879,0.7952802359882006,1.0528582257223054,8.490839694656488,11.240234053074007,0.0
email-Eu-core,8,0.5,80320,986,16064,8,0.12675161336414795,0.2620144422310757,0.09369926068883308,0.04095529319348373,0.1922031149010925,1.4337960282754867,0.1425259631377534,0.1634655381571838,0.011255625641798717,0.7759433962264151,1.051434391984912,8.382038488952245,11.249177562210038,0.0
email-Eu-core,8,1.0,160640,986,16064,10,0.12607496704851412,0.2637574701195219,0.09453285881690866,0.03975521726293601,0.1853208034299879,1.4338840368814252,0.1428606442103555,0.16290096371800775,0.03432275029656917,0.7822000293728888,1.062421685283342,8.455983006844466,11.262957639299907,0.0
