base_comm,seeded_comm,size_base,size_seeded,overlap,jaccard,L_base,L_seeded,vol_base,vol_seeded,contrib_base,contrib_seeded,d_contrib,status
11,0,994,3437,835,0.232202447163515,3247.0,11455.0,9931.0,33968.0,0.017203796023611787,0.054530162259073756,0.03732636623546197,matched
0,1,4988,3371,2419,0.40723905723905723,28471.0,17308.0,81671.0,51974.0,0.10645620214481694,0.07506748587536882,-0.031388716269448114,matched
6,6,2085,2021,824,0.251066422912858,7845.0,10544.0,22963.0,32950.0,0.03935559592475008,0.050012683993479475,0.010657088068729392,matched
1,2,3566,2678,1940,0.4507434944237918,15867.0,13507.0,51063.0,46320.0,0.0678156354339858,0.05829538011499755,-0.009520255318988258,matched
4,9,2228,1385,1040,0.4041974349008939,3632.0,2135.0,9753.0,4996.0,0.019359884398105032,0.0116170410164507,-0.007742843381654332,matched
41,15,23,540,23,0.04259259259259259,65.0,1389.0,136.0,4804.0,0.0003593499639661357,0.007505574411142456,0.007146224447176321,matched
31,14,52,621,52,0.08373590982286634,88.0,1293.0,201.0,3800.0,0.00048638710689067493,0.00704069111150269,0.006554304004612015,matched
9,11,1561,1176,1142,0.715987460815047,6350.0,5330.0,18236.0,15368.0,0.0325765264528173,0.027672264782238054,-0.004904261670579245,matched
16,12,404,862,310,0.32426778242677823,630.0,1521.0,1902.0,4778.0,0.003456637518732879,0.00823752359931129,0.004780886080578411,matched
22,13,197,751,197,0.2623169107856192,478.0,1286.0,1026.0,3408.0,0.002635594669577423,0.007023583487855875,0.004387988818278453,matched
14,25,500,214,207,0.40828402366863903,1385.0,776.0,3816.0,1817.0,0.007548577880977694,0.004266527842473835,-0.0032820500385038597,matched
20,-1,212,0,0,0.0,475.0,0.0,1391.0,0.0,0.0026122565491334946,0.0,-0.0026122565491334946,base_only
80,24,8,217,8,0.03686635944700461,19.0,484.0,43.0,1403.0,0.00010506796302804387,0.0026617758936477794,0.0025567079306197354,matched
26,-1,171,0,0,0.0,454.0,0.0,1000.0,0.0,0.002503262195105028,0.0,-0.002503262195105028,base_only
2,3,2733,2571,2541,0.9196525515743756,15633.0,15122.0,36479.0,35128.0,0.07628446960207859,0.07419809165179943,-0.0020863779502791613,matched
24,22,180,315,177,0.5566037735849056,724.0,1099.0,1498.0,2333.0,0.0039870212936871235,0.0060365483251967455,0.002049527031509622,matched
7,7,1739,1698,1375,0.6668283220174588,4882.0,5184.0,14792.0,16223.0,0.025327384092223515,0.026658244353133485,0.0013308602609099704,matched
10,10,1183,1189,1057,0.8038022813688213,5136.0,4880.0,16333.0,14931.0,0.026365388697410022,0.025284729317316817,-0.0010806593800932046,matched
18,19,298,366,160,0.31746031746031744,876.0,692.0,2079.0,2074.0,0.0048117858622545384,0.003794307450648699,-0.0010174784116058393,matched
17,21,397,315,257,0.5648351648351648,904.0,724.0,2231.0,1755.0,0.004961634003563003,0.0039806282525491005,-0.0009810057510139022,matched
-1,31,0,53,0,0.0,0.0,161.0,0.0,542.0,0.0,0.0008881861418318941,0.0008881861418318941,seeded_only
15,18,468,388,256,0.4266666666666667,801.0,958.0,1906.0,2193.0,0.0044022599605889785,0.005261573949751566,0.0008593139891625873,matched
30,-1,70,0,0,0.0,155.0,0.0,338.0,0.0,0.0008563751070326841,0.0,-0.0008563751070326841,base_only
3,4,2597,2558,2388,0.8630285507770148,13649.0,13394.0,39262.0,38225.0,0.06369979901188225,0.06290395266907663,-0.0007958463428056201,matched
25,30,172,95,95,0.5523255813953488,386.0,244.0,1000.0,629.0,0.0021271788815898107,0.0013464499577751632,-0.0007807289238146475,matched
21,20,199,358,1,0.0017985611510791368,571.0,705.0,1766.0,1759.0,0.0031341446217132674,0.00387543866420387,0.0007412940424906026,matched
23,26,194,201,78,0.24605678233438485,613.0,724.0,1621.0,2132.0,0.0033701869238579227,0.003969422366464161,0.0005992354426062386,matched
33,-1,40,0,0,0.0,105.0,0.0,259.0,0.0,0.0005802039136748514,0.0,-0.0005802039136748514,base_only
8,8,1639,1592,1525,0.8939038686987104,5022.0,4907.0,14107.0,13675.0,0.02625305159331692,0.025708806126286884,-0.0005442454670300349,matched
39,-1,25,0,0,0.0,85.0,0.0,203.0,0.0,0.0004697890172353629,0.0,-0.0004697890172353629,base_only
34,-1,35,0,0,0.0,60.0,0.0,122.0,0.0,0.00033172440006337537,0.0,-0.00033172440006337537,base_only
-1,38,0,24,0,0.0,0.0,56.0,0.0,117.0,0.0,0.00030961099035817403,0.00030961099035817403,seeded_only
19,23,226,267,220,0.8058608058608059,341.0,384.0,828.0,911.0,0.0018807045530803489,0.0021174181994467276,0.00023671364636637876,matched
-1,41,0,18,0,0.0,0.0,41.0,0.0,86.0,0.0,0.00022669955839110765,0.00022669955839110765,seeded_only
53,-1,14,0,0,0.0,32.0,0.0,71.0,0.0,0.0001769418343727251,0.0,-0.0001769418343727251,base_only
57,-1,12,0,0,0.0,32.0,0.0,90.0,0.0,0.0001769184422416169,0.0,-0.0001769184422416169,base_only
61,-1,12,0,0,0.0,31.0,0.0,65.0,0.0,0.00017141743735009124,0.0,-0.00017141743735009124,base_only
-1,40,0,19,0,0.0,0.0,29.0,0.0,61.0,0.0,0.000160360017504271,0.000160360017504271,seeded_only
-1,50,0,12,0,0.0,0.0,28.0,0.0,59.0,0.0,0.0001548312158175252,0.0001548312158175252,seeded_only
51,-1,14,0,0,0.0,24.0,0.0,55.0,0.0,0.00013271215498944416,0.0,-0.00013271215498944416,base_only
