base_comm,size_base,n_pieces_ge5pct,top_seeded_comm,top_frac,frac_of_target_seeded,size_top_seeded,classification
0,4988,4,1,0.4849639133921411,0.7175912192227826,3371,split
1,3566,4,2,0.5440269209197981,0.7244212098581031,2678,split
2,2733,1,3,0.9297475301866082,0.9883313885647608,2571,identical
3,2597,1,4,0.9195225259915287,0.9335418295543393,2558,identical
4,2228,3,9,0.466786355475763,0.7509025270758123,1385,split
5,2093,1,5,0.9837553750597229,0.9899038461538462,2080,identical
6,2085,4,6,0.39520383693045563,0.40771895101434935,2021,split
7,1739,3,7,0.7906843013225991,0.809776207302709,1698,split
8,1639,1,8,0.9304453935326419,0.9579145728643216,1592,identical
9,1561,3,11,0.7315823190262652,0.9710884353741497,1176,split
10,1183,1,10,0.893491124260355,0.8889823380992431,1189,reshuffled
11,994,1,0,0.8400402414486922,0.24294442828047716,3437,reshuffled
12,549,1,16,0.941712204007286,0.9736346516007532,531,identical
13,505,1,17,1.0,1.0,505,identical
14,500,3,1,0.432,0.06407594185701572,3371,split
15,468,3,18,0.5470085470085471,0.6597938144329897,388,split
16,404,2,12,0.7673267326732673,0.35962877030162416,862,split
17,397,3,21,0.6473551637279596,0.8158730158730159,315,split
18,298,2,19,0.5369127516778524,0.4371584699453552,366,split
19,226,1,23,0.9734513274336283,0.8239700374531835,267,merged_into
20,212,2,0,0.5801886792452831,0.0357870235670643,3437,split
21,199,1,7,0.8693467336683417,0.10188457008244994,1698,reshuffled
22,197,1,13,1.0,0.2623169107856192,751,merged_into
23,194,3,6,0.4587628865979381,0.04403760514596734,2021,split
24,180,1,22,0.9833333333333333,0.5619047619047619,315,merged_into
25,172,4,30,0.5523255813953488,1.0,95,split
26,171,1,9,0.9883040935672515,0.1220216606498195,1385,merged_into
27,145,1,27,1.0,0.9863945578231292,147,identical
28,130,1,28,1.0,1.0,130,identical
29,106,1,29,1.0,1.0,106,identical
30,70,1,9,1.0,0.05054151624548736,1385,merged_into
31,52,1,14,1.0,0.08373590982286634,621,merged_into
32,51,1,32,1.0,1.0,51,identical
33,40,1,6,1.0,0.01979218208807521,2021,merged_into
34,35,1,14,1.0,0.05636070853462158,621,merged_into
35,28,1,33,1.0,1.0,28,identical
36,27,1,34,1.0,1.0,27,identical
37,27,1,35,1.0,1.0,27,identical
38,25,1,37,1.0,1.0,25,identical
39,25,1,12,1.0,0.029002320185614848,862,merged_into
40,25,1,36,1.0,1.0,25,identical
41,23,1,15,1.0,0.04259259259259259,540,merged_into
42,19,1,39,1.0,1.0,19,identical
43,17,1,42,1.0,1.0,17,identical
44,17,1,43,1.0,1.0,17,identical
45,16,1,44,1.0,1.0,16,identical
46,16,1,46,1.0,1.0,16,identical
47,16,1,0,1.0,0.004655222577829503,3437,merged_into
48,16,1,45,1.0,1.0,16,identical
49,15,1,48,1.0,1.0,15,identical
50,15,1,47,1.0,1.0,15,identical
51,14,1,1,1.0,0.004153070305547315,3371,merged_into
52,14,1,49,1.0,1.0,14,identical
53,14,1,14,1.0,0.02254428341384863,621,merged_into
54,12,1,51,1.0,1.0,12,identical
55,12,1,9,1.0,0.008664259927797834,1385,merged_into
56,12,1,53,1.0,1.0,12,identical
57,12,1,2,1.0,0.004480955937266617,2678,merged_into
58,12,1,12,1.0,0.013921113689095127,862,merged_into
59,12,1,52,1.0,1.0,12,identical
60,12,1,9,1.0,0.008664259927797834,1385,merged_into
61,12,1,14,1.0,0.01932367149758454,621,merged_into
62,12,3,62,0.8333333333333334,1.0,10,split
63,11,1,0,1.0,0.003200465522257783,3437,merged_into
64,11,1,55,1.0,1.0,11,identical
65,11,1,5,1.0,0.005288461538461539,2080,merged_into
66,11,1,58,1.0,1.0,11,identical
67,11,1,57,1.0,1.0,11,identical
68,10,1,60,1.0,1.0,10,identical
69,10,1,6,1.0,0.004948045522018802,2021,merged_into
70,10,1,61,1.0,1.0,10,identical
71,9,1,64,1.0,1.0,9,identical
72,9,1,63,1.0,1.0,9,identical
73,9,1,66,1.0,1.0,9,identical
74,8,1,2,1.0,0.002987303958177745,2678,merged_into
75,8,1,67,1.0,1.0,8,identical
76,8,1,69,1.0,1.0,8,identical
77,8,1,13,1.0,0.010652463382157125,751,merged_into
78,8,1,68,1.0,1.0,8,identical
79,8,1,70,1.0,1.0,8,identical
80,8,1,24,1.0,0.03686635944700461,217,merged_into
81,7,1,75,1.0,1.0,7,identical
82,7,1,0,1.0,0.002036659877800407,3437,merged_into
83,7,1,74,1.0,1.0,7,identical
84,7,1,72,1.0,1.0,7,identical
