rank,d_contrib,cum_net_dQ,cum_frac_of_total_dQ
1,0.03732636623546197,0.03732636623546197,4.381610499130477
2,-0.031388716269448114,0.005937649966013855,0.6969997900982668
3,0.010657088068729392,0.016594738034743248,1.9479977757457416
4,-0.009520255318988258,0.00707448271575499,0.8304485774942596
5,-0.007742843381654332,-0.0006683606658993424,-0.07845650156344909
6,0.007146224447176321,0.006477863781276978,0.7604135847816468
7,0.006554304004612015,0.013032167785888994,1.529800217810419
8,-0.004904261670579245,0.008127906115309749,0.9541062354190137
9,0.004780886080578411,0.012908792195888159,1.5153175923902544
10,0.004387988818278453,0.01729678101416661,2.0304081253114545
11,-0.0032820500385038597,0.01401473097566275,1.645139845600966
12,-0.0026122565491334946,0.011402474426529256,1.338496261548268
13,0.0025567079306197354,0.013959182357148991,1.6386191891685473
14,-0.002503262195105028,0.011455920162043963,1.3447700679613475
15,-0.0020863779502791613,0.009369542211764802,1.0998575180916415
16,0.002049527031509622,0.011419069243274424,1.3404442685635531
17,0.0013308602609099704,0.012749929504184394,1.4966692612481773
18,-0.0010806593800932046,0.01166927012409119,1.3698144676170283
19,-0.0010174784116058393,0.01065179171248535,1.2503762650658452
20,-0.0009810057510139022,0.009670785961471447,1.1352194595189338
21,0.0008881861418318941,0.010558972103303341,1.2394804984768466
22,0.0008593139891625873,0.011418286092465929,1.3403523372519635
23,-0.0008563751070326841,0.010561910985433244,1.2398254834859648
24,-0.0007958463428056201,0.009766064642627624,1.146403887894943
25,-0.0007807289238146475,0.008985335718812977,1.0547568728069563
26,0.0007412940424906026,0.00972662976130358,1.141774766245345
27,0.0005992354426062386,0.010325865203909818,1.2121169016198867
28,-0.0005802039136748514,0.009745661290234967,1.144008810310986
29,-0.0005442454670300349,0.009201415823204932,1.0801217542445047
30,-0.0004697890172353629,0.00873162680596957,1.0249748782451196
