comparison,part_a,part_b,ami
baseline-baseline,base_100,base_101,0.6633383986750664
baseline-baseline,base_100,base_102,0.6997670165172614
baseline-baseline,base_100,base_103,0.7118080764926088
baseline-baseline,base_100,base_104,0.6388720224763652
baseline-baseline,base_101,base_102,0.6710336505087365
baseline-baseline,base_101,base_103,0.6407132666009951
baseline-baseline,base_101,base_104,0.7303193362408963
baseline-baseline,base_102,base_103,0.7203138369590313
baseline-baseline,base_102,base_104,0.6825835972631532
baseline-baseline,base_103,base_104,0.6458628170641539
seeded-seeded,seeded_300,seeded_301,0.6919760820245239
seeded-seeded,seeded_300,seeded_302,0.7005566112773278
seeded-seeded,seeded_300,seeded_303,0.776908207431915
seeded-seeded,seeded_300,seeded_304,0.7543209781695687
seeded-seeded,seeded_301,seeded_302,0.6715935839613751
seeded-seeded,seeded_301,seeded_303,0.7485673620325441
seeded-seeded,seeded_301,seeded_304,0.7079995259385363
seeded-seeded,seeded_302,seeded_303,0.7161163026094027
seeded-seeded,seeded_302,seeded_304,0.7610571253582443
seeded-seeded,seeded_303,seeded_304,0.7647358499716398
baseline-seeded,base_100,seeded_300,0.6487930235303492
baseline-seeded,base_100,seeded_301,0.6925375966335615
baseline-seeded,base_100,seeded_302,0.7052801649846534
baseline-seeded,base_100,seeded_303,0.6747235821865436
baseline-seeded,base_100,seeded_304,0.6953584948335908
baseline-seeded,base_101,seeded_300,0.6839288724087607
baseline-seeded,base_101,seeded_301,0.6739064621246508
baseline-seeded,base_101,seeded_302,0.6901207571864902
baseline-seeded,base_101,seeded_303,0.7339344821959509
baseline-seeded,base_101,seeded_304,0.7187219424610393
baseline-seeded,base_102,seeded_300,0.6846914269195642
baseline-seeded,base_102,seeded_301,0.67654577245386
baseline-seeded,base_102,seeded_302,0.7126063360173704
baseline-seeded,base_102,seeded_303,0.6780776003282797
baseline-seeded,base_102,seeded_304,0.7180956063930379
baseline-seeded,base_103,seeded_300,0.6921247117972213
baseline-seeded,base_103,seeded_301,0.6574978852811547
baseline-seeded,base_103,seeded_302,0.693848294420318
baseline-seeded,base_103,seeded_303,0.6812662167540477
baseline-seeded,base_103,seeded_304,0.7144932022692615
baseline-seeded,base_104,seeded_300,0.691680947125955
baseline-seeded,base_104,seeded_301,0.6440472082095332
baseline-seeded,base_104,seeded_302,0.7047789836427214
baseline-seeded,base_104,seeded_303,0.6790411456147538
baseline-seeded,base_104,seeded_304,0.7299601173373671
extra-baseline,extra_900,base_100,0.6842178284405751
extra-baseline,extra_900,base_101,0.6603729256859832
extra-baseline,extra_900,base_102,0.7105645150268465
extra-baseline,extra_900,base_103,0.7117561392455134
extra-baseline,extra_900,base_104,0.6781138578633867
extra-baseline,extra_901,base_100,0.6587197843701569
extra-baseline,extra_901,base_101,0.6941275569728081
extra-baseline,extra_901,base_102,0.7268342490671879
extra-baseline,extra_901,base_103,0.67872658675377
extra-baseline,extra_901,base_104,0.6703551491931469
extra-baseline,extra_902,base_100,0.6786872149323033
extra-baseline,extra_902,base_101,0.6911508185681986
extra-baseline,extra_902,base_102,0.678175199955613
extra-baseline,extra_902,base_103,0.6541454245093452
extra-baseline,extra_902,base_104,0.6552356659625429
extra-baseline,extra_903,base_100,0.7108978524873232
extra-baseline,extra_903,base_101,0.6969690564990153
extra-baseline,extra_903,base_102,0.6896265588219712
extra-baseline,extra_903,base_103,0.7149320818061182
extra-baseline,extra_903,base_104,0.7055677733505308
extra-baseline,extra_904,base_100,0.6899901255896773
extra-baseline,extra_904,base_101,0.6973930901720344
extra-baseline,extra_904,base_102,0.7533509812836292
extra-baseline,extra_904,base_103,0.7320558439533091
extra-baseline,extra_904,base_104,0.7041389589996468
extra-baseline,extra_905,base_100,0.7511076967379345
extra-baseline,extra_905,base_101,0.7080112175244894
extra-baseline,extra_905,base_102,0.706672047198113
extra-baseline,extra_905,base_103,0.7192894644032106
extra-baseline,extra_905,base_104,0.6902881664122906
extra-baseline,extra_906,base_100,0.6862381764759696
extra-baseline,extra_906,base_101,0.7193032203972712
extra-baseline,extra_906,base_102,0.7028352997736016
extra-baseline,extra_906,base_103,0.67977670412111
extra-baseline,extra_906,base_104,0.6845045969473956
extra-baseline,extra_907,base_100,0.6869656061912438
extra-baseline,extra_907,base_101,0.711275990328376
extra-baseline,extra_907,base_102,0.685979811511837
extra-baseline,extra_907,base_103,0.6826600183692586
extra-baseline,extra_907,base_104,0.6948181966966964
extra-baseline,extra_908,base_100,0.7450643258031491
extra-baseline,extra_908,base_101,0.6398766845372513
extra-baseline,extra_908,base_102,0.7218120358904816
extra-baseline,extra_908,base_103,0.7571514970347577
extra-baseline,extra_908,base_104,0.6651588921165436
extra-baseline,extra_909,base_100,0.7322373674888324
extra-baseline,extra_909,base_101,0.6701140061957366
extra-baseline,extra_909,base_102,0.6996602895976919
extra-baseline,extra_909,base_103,0.6852841501329129
extra-baseline,extra_909,base_104,0.6695027557860709
extra-baseline,extra_910,base_100,0.7019656066319394
extra-baseline,extra_910,base_101,0.6946025285697538
extra-baseline,extra_910,base_102,0.7027271193140386
extra-baseline,extra_910,base_103,0.6898565863607224
extra-baseline,extra_910,base_104,0.6805515676430307
extra-baseline,extra_911,base_100,0.6881791916105875
extra-baseline,extra_911,base_101,0.72043224063457
extra-baseline,extra_911,base_102,0.6795911779954628
