which,comm,size,edges_in,edges_out,conductance,density,transitivity,avg_local_clustering,mean_degree_in_G,max_degree_in_G,hub_bridge_ratio,mean_dprod_intra,mean_dprod_inter,d_contrib,paired_base_comm,jaccard
seeded,0,3437,11455,11058,0.32554168629298164,0.0019399583319643827,0.12861118256436638,0.4131718289574147,9.883037532732034,711.0,3.8638848192606376,5554.296813618507,21461.163139808283,0.03732636623546197,11,0.232202447163515
baseline,11,994,3247,3437,0.3460880072500252,0.006579253972981899,0.1550727835457305,0.5058743093717014,9.990945674044266,711.0,4.409523626672629,3577.5284878349244,15775.196392202502,0.03732636623546197,11,0.232202447163515
seeded,6,2021,10544,11862,0.36,0.005165563562788738,0.192584204721716,0.5589623309775111,16.303809995051953,446.0,3.3949647588060525,5606.47059939302,19033.77010622155,0.010657088068729392,6,0.251066422912858
baseline,6,2085,7845,7273,0.3167269085049863,0.0036109308330686696,0.12778375394079874,0.5940440091941537,11.013429256594724,1068.0,5.160205739978362,4362.18776290631,22509.78633301251,0.010657088068729392,6,0.251066422912858
seeded,15,540,1389,2026,0.42173189009159034,0.009544423830138116,0.08484323688467006,0.5597459221000792,8.896296296296295,705.0,13.66970852304914,2455.2858171346293,33563.04146100691,0.007146224447176321,41,0.04259259259259259
baseline,41,23,65,6,0.04411764705882353,0.25691699604743085,0.4230769230769231,0.8854745559551052,5.913043478260869,20.0,24.15531190121354,72.26153846153846,1745.5,0.007146224447176321,41,0.04259259259259259
seeded,14,621,1293,1214,0.3194736842105263,0.006716534206015272,0.10739415972792307,0.46565041388182826,6.119162640901771,271.0,16.810356311341984,1001.015467904099,16827.42668863262,0.006554304004612015,31,0.08373590982286634
baseline,31,52,88,25,0.12437810945273632,0.06636500754147813,0.062146892655367235,0.21876161278335193,3.8653846153846154,32.0,93.95876850763807,48.35227272727273,4543.12,0.006554304004612015,31,0.08373590982286634
seeded,12,862,1521,1736,0.36333193804939307,0.004098725110552398,0.02679905528510146,0.4203552261262665,5.5429234338747095,1068.0,22.232244309216664,2026.9842209072979,45064.40841013825,0.004780886080578411,16,0.32426778242677823
baseline,16,404,630,642,0.33753943217665616,0.007738987298233546,0.02497710432103905,0.2792120439178511,4.707920792079208,591.0,52.174883751047105,585.5825396825397,30552.70093457944,0.004780886080578411,16,0.32426778242677823
seeded,13,751,1286,836,0.24530516431924881,0.00456635596981802,0.022894771270332737,0.38672667097052704,4.537949400798935,829.0,46.39120549088561,1076.2884914463452,49930.32057416268,0.004387988818278453,22,0.2623169107856192
baseline,22,197,478,70,0.0682261208576998,0.024759142235574433,0.2994846344722275,0.5939239890660165,5.208121827411167,54.0,45.19603454518295,118.0397489539749,5334.928571428572,0.004387988818278453,22,0.2623169107856192
seeded,24,217,484,435,0.31004989308624376,0.02065198839392388,0.10594491409871831,0.4847822935714212,6.465437788018433,285.0,29.177007598076727,668.047520661157,19491.627586206898,0.0025567079306197354,80,0.03686635944700461
baseline,80,8,19,5,0.11627906976744186,0.6785714285714286,0.7215189873417722,0.675,5.375,7.0,24.391974317817013,32.78947368421053,799.8,0.0025567079306197354,80,0.03686635944700461
seeded,22,315,1099,135,0.05786540934419203,0.022222222222222223,0.32939063661134504,0.7133154646564468,7.406349206349207,62.0,12.766570624235941,202.92174704276616,2590.614814814815,0.002049527031509622,24,0.5566037735849056
baseline,24,180,724,50,0.03337783711615487,0.04494103041589075,0.39425355450236965,0.761252284701648,8.322222222222223,62.0,12.48707420201741,199.91712707182322,2496.38,0.002049527031509622,24,0.5566037735849056
seeded,7,1698,5184,5855,0.36090735375701166,0.0035981184838761397,0.1399123603080354,0.47851170949446803,9.554181389870436,449.0,4.995501130388587,4166.938850308642,20815.94773697694,0.0013308602609099704,7,0.6668283220174588
baseline,7,1739,4882,5028,0.3399134667387777,0.0032305645017737666,0.12763784887678692,0.45960923851959323,8.506037952846464,449.0,5.6273217734389185,3578.8088897992625,20139.109188544153,0.0013308602609099704,7,0.6668283220174588
seeded,31,53,161,220,0.4059040590405904,0.11683599419448476,0.36462093862815886,0.8141055793386538,10.226415094339623,77.0,11.222176613517748,314.18633540372673,3525.8545454545456,0.0008881861418318941,-1,0.0
baseline_ALL_median,-1,205,,,0.1583917423371778,0.020516430446081577,0.19947845672460718,0.593983999130085,6.952611469200612,,17.251717527312667,,,,,
seeded_ALL_median,-1,366,,,0.17492877492877493,0.012760062867950665,0.1399123603080354,0.5892786405690414,7.185185185185185,,15.088756827520431,,,,,
