network,algo,N,Q_best_of_N,Q_mean_N,Q_std_N,Q_min_N,k_mean,k_min,k_max,T_total
email-Eu-core,infomap,20,0.4091881954719717,0.3656154702382267,0.040833367798375854,0.2809570145866981,14.75,13,17,0.5274186580209062
email-Eu-core,louvain,20,0.4163768737611804,0.41382054778969907,0.0027739188370380515,0.40311132950456635,7.65,6,9,0.19279428297886625
email-Eu-core,labelprop,20,0.07924474289098594,0.003962237144549297,0.017270991303433545,0.0,1.05,1,2,0.04581425298238173
wiki-Vote,infomap,20,0.42118113281152286,0.3657017811867255,0.04829362837706125,0.2578691653169964,79.65,64,103,5.163339162012562
wiki-Vote,louvain,20,0.4297211272355193,0.4219521357409805,0.004436583629774039,0.41417895822641176,9.05,6,18,1.209486244013533
wiki-Vote,labelprop,20,0.41346626842638934,0.05354255578501464,0.12823519646506434,7.941151087019036e-05,3.35,2,7,0.4830217909766361
ca-HepTh,infomap,20,0.6815898532167766,0.6767641272229908,0.0031794997769331213,0.6718792193299211,567.55,557,577,4.469238402962219
ca-HepTh,louvain,20,0.7579698733070834,0.7557988879458041,0.0013595375384692346,0.7536256501625714,50.45,46,54,0.72814338398166
ca-HepTh,labelprop,20,0.6528951733093712,0.6259674847436095,0.021138599275376747,0.5710154099854202,532.7,491,577,2.0542528220103122
ca-CondMat,infomap,20,0.6471205607053226,0.6437980001293377,0.0012350214615280079,0.641572295114989,1117.85,1093,1133,18.258554907981306
ca-CondMat,louvain,20,0.7274774222285872,0.7237696731834642,0.0014751612347462363,0.721395303515417,55.0,50,60,2.7867504140012898
ca-CondMat,labelprop,20,0.6315580270685455,0.6040392011995694,0.06090061300915235,0.4191949394448426,1480.15,954,1572,5.629776567046065
email-Enron,infomap,20,0.5455400289510537,0.5346523759520613,0.006328116065454889,0.519935039067901,1220.25,1185,1302,25.774017762974836
email-Enron,louvain,20,0.6133727601940917,0.6054902562569876,0.005747951122918615,0.5927420036803124,181.05,155,210,5.475910617038608
email-Enron,labelprop,20,0.5226179628015899,0.30248722795980554,0.0641979067171783,0.19830215208908467,896.65,865,975,4.5481182700023055
com-DBLP,infomap,10,0.7311522828610838,0.7305599350762066,0.00028515100617407935,0.7300588199900491,14323.7,14282,14359,224.6611121650203
com-DBLP,louvain,10,0.8222107125228013,0.8209001087776671,0.0006716673754799328,0.8200207394478798,214.1,198,230,76.09370289399521
com-DBLP,labelprop,10,0.6981665054388836,0.6841523740022808,0.01084388039289473,0.6711043159448167,22504.3,20753,24745,527.514699945983
com-Amazon,infomap,10,0.8328855942311914,0.8326666850206659,0.00015487544758506264,0.8323413937584448,15374.7,15354,15393,236.36490737099666
com-Amazon,louvain,10,0.926315878004186,0.926158096000858,0.00016505425358518254,0.925875219981211,244.8,239,258,34.6178613230004
com-Amazon,labelprop,10,0.7852475432387396,0.7840450260914944,0.0007591429341024176,0.78273133515187,22508.1,22430,22595,170.23394899099367
