network,algo,arm,seed,k,giant_share,top3_share,Q_orig
email-Eu-core,infomap,baseline,100,15,0.329615,0.574037,0.402892854239789
email-Eu-core,infomap,baseline,101,16,0.539554,0.737323,0.3166801133054933
email-Eu-core,infomap,baseline,102,15,0.524341,0.742394,0.3230067272927712
email-Eu-core,infomap,dspar_0.5,100,22,0.117647,0.325558,0.387334428006351
email-Eu-core,infomap,dspar_0.5,101,20,0.13286,0.355984,0.3868624109141124
email-Eu-core,infomap,dspar_0.5,102,21,0.123732,0.343813,0.3834257521395989
email-Eu-core,louvain,baseline,100,7,0.241379,0.610548,0.4122440939212523
email-Eu-core,louvain,baseline,101,8,0.191684,0.541582,0.412987310128262
email-Eu-core,louvain,baseline,102,7,0.30426,0.597363,0.415309908972799
email-Eu-core,louvain,dspar_0.5,100,10,0.267748,0.541582,0.40564989055543277
email-Eu-core,louvain,dspar_0.5,101,9,0.226166,0.498986,0.4045556134525644
email-Eu-core,louvain,dspar_0.5,102,10,0.198783,0.474645,0.40109685061422634
email-Eu-core,labelprop,baseline,100,1,1.0,1.0,0.0
email-Eu-core,labelprop,baseline,101,1,1.0,1.0,0.0
email-Eu-core,labelprop,baseline,102,1,1.0,1.0,0.0
email-Eu-core,labelprop,dspar_0.5,100,3,0.894523,1.0,0.11161484423672355
email-Eu-core,labelprop,dspar_0.5,101,7,0.458418,0.773834,0.36595589597536154
email-Eu-core,labelprop,dspar_0.5,102,2,0.915822,1.0,0.09896423201305836
wiki-Vote,infomap,baseline,100,99,0.596377,0.88013,0.27053621901729596
wiki-Vote,infomap,baseline,101,84,0.369658,0.912963,0.3906262143095848
wiki-Vote,infomap,baseline,102,58,0.450467,0.867252,0.3992045561326046
wiki-Vote,infomap,dspar_0.5,100,105,0.269459,0.574583,0.3910430321225237
wiki-Vote,infomap,dspar_0.5,101,93,0.269601,0.647608,0.39559743234126565
wiki-Vote,infomap,dspar_0.5,102,97,0.181857,0.522502,0.3861259557921646
wiki-Vote,louvain,baseline,100,6,0.305123,0.793094,0.42749861722534727
