network,n,m,algo,sparsifier,target_ret,realized_ret,m_sparse,e_used,n_spar_seeds,n_algo_seeds,Q_base_mean,Q_base_std,Q_base_best,k_base,T_algo_orig,Q_sparse_native,Q_orig_mean,Q_orig_std,Q_orig_best,k_sparse,T_algo_sparse,T_sparsify,dQ_naive,dQ_honest_vs_mean,dQ_honest_vs_best,dQ_bestbest,dQ_vs_matched,Q_matched_best,budget,n_restarts,pooled_sd,T_pipeline,speedup_vs_single,speedup_algo_only
email-Eu-core,986,16064,infomap,dspar,0.8,0.8016994521912351,12878.5,,2,3,0.3475265649460178,0.03923498442085562,0.402892854239789,15.333333333333334,0.03258574032224715,0.46443113019333654,0.40283871433206003,0.0033893799817392603,0.4096121370004297,15.333333333333334,0.027014431165298447,0.00642797551699914,0.11690456524731874,0.05531214938604223,-5.413990772895616e-05,0.00671928276064071,-0.0001570009207236267,0.40299571525278366,0.03344240668229759,2,0.02784665059899842,0.03344240668229759,0.9743838304405315,1.2062345537782546
email-Eu-core,986,16064,infomap,dspar,0.5,0.5013072709163346,8053.0,,2,3,0.3475265649460178,0.03923498442085562,0.402892854239789,15.333333333333334,0.03258574032224715,0.5036641101470015,0.38475811230509577,0.0033068365300739154,0.39119501087098313,20.666666666666668,0.025936605990864336,0.00432105953223072,0.15613754520098372,0.037231547359077966,-0.01813474193469322,-0.01169784336880586,-0.014169755732837186,0.39892786803793295,0.030257665523095056,1,0.027841687900892562,0.030257665523095056,1.0769416529300688,1.2563610031985233
email-Eu-core,986,16064,infomap,lspar,0.5,0.5020542828685259,8065.0,0.726562,1,3,0.3475265649460178,0.03923498442085562,0.402892854239789,15.333333333333334,0.03258574032224715,0.6590758390413088,0.35851755362865445,0.004374333740292233,0.3620551332394527,26.0,0.01983642700361088,0.03254795499378815,0.31154927409529104,0.010990988682636649,-0.04437530061113454,-0.04083772100033628,-0.04447816162412921,0.40299571525278366,0.05238438199739903,2,0.027915218055535967,0.05238438199739903,0.6220506776975069,1.6427222662788756
email-Eu-core,986,16064,louvain,dspar,0.8,0.8016994521912351,12878.5,,2,3,0.41351377100743775,0.001305801484542352,0.415309908972799,7.333333333333333,0.009916482997747758,0.47421977023457584,0.41199590049703255,0.0018287149610915127,0.4144606444118943,8.333333333333334,0.008544659668890139,0.00642797551699914,0.0607059992271381,-0.0015178705104051948,-0.003314008475766461,-0.0008492645609047278,-0.003985952252576752,0.4159818527496093,0.01497263518588928,2,0.0015889172297437245,0.01497263518588928,0.6623071272779951,1.1605474509244913
email-Eu-core,986,16064,louvain,dspar,0.5,0.5013072709163346,8053.0,,2,3,0.41351377100743775,0.001305801484542352,0.415309908972799,7.333333333333333,0.009916482997747758,0.5168094388494403,0.40313232720264364,0.003325990266641607,0.40718633806407833,9.5,0.006034161342540756,0.00432105953223072,0.10329566784200256,-0.01038144380479411,-0.012177581770155377,-0.008123570908720679,-0.012849525546965668,0.4159818527496093,0.010355220874771476,2,0.002526591455976581,0.010355220874771476,0.9576312391276348,1.6433904290620616
email-Eu-core,986,16064,louvain,lspar,0.5,0.5020542828685259,8065.0,0.726562,1,3,0.41351377100743775,0.001305801484542352,0.415309908972799,7.333333333333333,0.009916482997747758,0.6736094864686296,0.38410797484861353,0.005203246640415461,0.3883955742021952,12.0,0.003996356991895785,0.03254795499378815,0.26009571546119187,-0.029405796158824216,-0.031201934124185482,-0.026914334770603787,-0.03187387790099577,0.4159818527496093,0.03654431198568394,5,0.0037933423993905292,0.03654431198568394,0.27135503335327515,2.481380671911294
email-Eu-core,986,16064,labelprop,dspar,0.8,0.8016994521912351,12878.5,,2,3,0.0,0.0,0.0,1.0,0.00241256901063025,0.11592167212276777,0.09729812657673587,0.0015253633993950483,0.10068786846823363,2.0,0.004788647163271283,0.00642797551699914,0.11592167212276777,0.09729812657673587,0.09729812657673587,0.10068786846823363,0.09729812657673587,0.0,0.011216622680270422,6,0.0010785948034860028,0.011216622680270422,0.21508871960843076,0.5038101426921888
email-Eu-core,986,16064,labelprop,dspar,0.5,0.5013072709163346,8053.0,,2,3,0.0,0.0,0.0,1.0,0.00241256901063025,0.2139853277009581,0.1567115792773874,0.07173986990969437,0.2962154548824126,3.8333333333333335,0.0037032661590880402,0.00432105953223072,0.2139853277009581,0.1567115792773874,0.1567115792773874,0.2962154548824126,0.1567115792773874,0.0,0.00802432569131876,4,0.050727748494585646,0.00802432569131876,0.3006569154141294,0.6514705956820465
email-Eu-core,986,16064,labelprop,lspar,0.5,0.5020542828685259,8065.0,0.726562,1,3,0.0,0.0,0.0,1.0,0.00241256901063025,0.5365347884458612,0.3071212915085178,0.031406804566592374,0.3339872523259799,12.0,0.0021035566460341215,0.03254795499378815,0.5365347884458612,0.3071212915085178,0.3071212915085178,0.3339872523259799,0.22787654861753187,0.07924474289098594,0.034651511639822274,16,0.022207964484438097,0.034651511639822274,0.069623773869007,1.1468999492733964
wiki-Vote,7066,100736,infomap,dspar,0.8,0.7990936705844981,80497.5,,2,3,0.3534556631531618,0.05873739665641116,0.3992045561326046,80.33333333333333,0.27011228166520596,0.4404456115186303,0.407968389710643,0.008332590949607182,0.4179043373927836,73.33333333333333,0.22266097216440053,0.022520240512676537,0.08698994836546853,0.054512726557481184,0.008763833578038394,0.018699781260179016,-0.0051433134235086,0.4131117031341516,0.24518121267707707,1,0.04194945671821065,0.24518121267707707,1.1016842551511687,1.2131101334892673
wiki-Vote,7066,100736,infomap,dspar,0.5,0.4993001508894536,50297.5,,2,3,0.3534556631531618,0.05873739665641116,0.3992045561326046,80.33333333333333,0.27011228166520596,0.4764138610640071,0.3914411332506062,0.004174350127049118,0.3959269060409478,92.83333333333333,0.2784865391731728,0.015718224516604096,0.12295819791084533,0.03798547009744441,-0.007763422881998383,-0.0032776500916567586,-0.021670569883545376,0.4131117031341516,0.2942047636897769,2,0.04163836551160345,0.2942047636897769,0.9181098167058398,0.969929399342496
wiki-Vote,7066,100736,infomap,lspar,0.5,0.5017669949174078,50546.0,0.71875,1,3,0.3534556631531618,0.05873739665641116,0.3992045561326046,80.33333333333333,0.27011228166520596,0.5507694684656976,0.38162222712663496,0.0023150350410066013,0.38445168194789686,120.66666666666667,0.17501305299811065,0.2696259470540099,0.19731380531253584,0.02816656397347317,-0.01758232900596962,-0.01475287418470772,-0.031489476007516615,0.4131117031341516,0.44463900005212054,2,0.04156585830470525,0.44463900005212054,0.6074867063697593,1.543383633608871
wiki-Vote,7066,100736,louvain,dspar,0.8,0.7990936705844981,80497.5,,2,3,0.4237918213069187,0.0043546689337567775,0.42749861722534727,9.333333333333334,0.06989155800935502,0.4575388020682018,0.4221439344501554,0.0026837272878632865,0.4264673202813064,6.833333333333333,0.05930150401157638,0.022520240512676537,0.033746980761283074,-0.0016478868567633143,-0.005354682775191855,-0.0010312969440408604,-0.007577192785363895,0.4297211272355193,0.08182174452425292,2,0.003617010760161519,0.08182174452425292,0.8541929583112023,1.178579855170475
wiki-Vote,7066,100736,louvain,dspar,0.5,0.4993001508894536,50297.5,,2,3,0.4237918213069187,0.0043546689337567775,0.42749861722534727,9.333333333333334,0.06989155800935502,0.4830723471900608,0.41009079498515727,0.0031452878807796906,0.41507025742094733,12.0,0.04475736400733391,0.015718224516604096,0.05928052588314209,-0.013701026321761456,-0.017407822240189996,-0.012428359804399935,-0.019630332250362037,0.4297211272355193,0.06047558852393801,2,0.0037984192353929277,0.06047558852393801,1.155698682976684,1.561565555958627
wiki-Vote,7066,100736,louvain,lspar,0.5,0.5017669949174078,50546.0,0.71875,1,3,0.4237918213069187,0.0043546689337567775,0.42749861722534727,9.333333333333334,0.06989155800935502,0.5757486145747609,0.40967287230406074,0.004970537655356211,0.4149616825248763,8.0,0.027493594990422327,0.2696259470540099,0.15195679326784217,-0.014118949002857983,-0.017825744921286524,-0.012536934700470959,-0.020048254931458565,0.4297211272355193,0.2971195420444322,6,0.004672760752806654,0.2971195420444322,0.235230431254849,2.54210328018953
wiki-Vote,7066,100736,labelprop,dspar,0.8,0.7990936705844981,80497.5,,2,3,7.941151087019036e-05,0.0,7.941151087019036e-05,2.0,0.02905662767201041,0.05964916822750096,0.05659931461825279,0.12633795621737856,0.3390995705336487,3.3333333333333335,0.02510040916968137,0.022520240512676537,0.05956975671663077,0.0565199031073826,0.0565199031073826,0.3390201590227785,0.056500051005699964,9.926361255282516e-05,0.04762064968235791,2,0.08933442556255752,0.04762064968235791,0.6101686530071652,1.1576156976400103
wiki-Vote,7066,100736,labelprop,dspar,0.5,0.4993001508894536,50297.5,,2,3,7.941151087019036e-05,0.0,7.941151087019036e-05,2.0,0.02905662767201041,0.23891116666446424,0.21075948712572878,0.15190638255008065,0.3384320124007224,2.6666666666666665,0.04773441433402089,0.015718224516604096,0.23883175515359406,0.2106800756148586,0.2106800756148586,0.3383526008898522,0.2106205206401554,0.00013896648557337152,0.06345263885062499,3,0.10741403320667986,0.06345263885062499,0.45792622967837704,0.6087144480015418
wiki-Vote,7066,100736,labelprop,lspar,0.5,0.5017669949174078,50546.0,0.71875,1,3,7.941151087019036e-05,0.0,7.941151087019036e-05,2.0,0.02905662767201041,0.3000208558349155,0.21984555125659613,0.13926925604589055,0.38837784583672547,8.0,0.03557221566249306,0.2696259470540099,0.2999414443240453,0.21976613974572595,0.21976613974572595,0.38829843432585526,-0.12094241143496051,0.34078796269155665,0.30519816271650296,14,0.09847823536085479,0.30519816271650296,0.09520577520317829,0.8168349126098263
ca-HepTh,8638,24806,infomap,dspar,0.8,0.8004918164960091,19857.0,,2,3,0.6780983516286415,0.0007313387707696279,0.6788867282936649,569.0,0.277373695319208,0.7120836662183629,0.6319135368418538,0.0013007622404158168,0.6336585407559866,637.3333333333334,0.22952801900100894,0.006089888483984396,0.03398531458972143,-0.04618481478678771,-0.046973191451811114,-0.04522818753767832,-0.04579185626691096,0.6777053931087648,0.23561790748499334,2,0.001055186903757435,0.23561790748499334,1.1772182270860467,1.208452443089263
ca-HepTh,8638,24806,infomap,dspar,0.5,0.4992138998629364,12383.5,,2,3,0.6780983516286415,0.0007313387707696279,0.6788867282936649,569.0,0.277373695319208,0.8106531561815181,0.5270067618617057,0.0015498110610870379,0.5289889208076928,951.8333333333334,0.21152235715999268,0.004259531997377053,0.1325548045528766,-0.15109158976693582,-0.15187996643195922,-0.14989780748597215,-0.15069863124705907,0.6777053931087648,0.21578188915736973,2,0.0012117695165951652,0.21578188915736973,1.2854354756201036,1.3113209357316602
ca-HepTh,8638,24806,infomap,lspar,0.5,0.5006046924131259,12418.0,0.265625,1,3,0.6780983516286415,0.0007313387707696279,0.6788867282936649,569.0,0.277373695319208,0.8837131814476917,0.5710132512789503,0.0005864897375146451,0.5718151310998253,963.3333333333334,0.18086495300910124,0.019489765050821006,0.20561482981905022,-0.10708510034969121,-0.10787347701471461,-0.10707159719383963,-0.10669214182981446,0.6777053931087648,0.20035471805992225,2,0.0006628825724971308,0.20035471805992225,1.384413094960164,1.5335955955228673
ca-HepTh,8638,24806,louvain,dspar,0.8,0.8004918164960091,19857.0,,2,3,0.7539141511246679,0.0023301075826255234,0.7556982066346416,50.0,0.03756289401402076,0.7915285214555898,0.732436843150178,0.002867750615828363,0.7361642941989657,56.833333333333336,0.029174428995853912,0.006089888483984396,0.037614370330921965,-0.02147730797448988,-0.023261363484463615,-0.019533912435675926,-0.024026874112193397,0.7564637172623714,0.03526431747983831,2,0.002612794953798797,0.03526431747983831,1.0651813702476056,1.287527993070883
ca-HepTh,8638,24806,louvain,dspar,0.5,0.4992138998629364,12383.5,,2,3,0.7539141511246679,0.0023301075826255234,0.7556982066346416,50.0,0.03756289401402076,0.88406885401229,0.6324104656531467,0.002231210012305427,0.6351868383035164,223.33333333333334,0.022980189338947337,0.004259531997377053,0.1301547028876221,-0.12150368547152113,-0.12328774098149486,-0.12051136833112519,-0.12385583153788027,0.756266297191027,0.02723972133632439,1,0.0022811948037838575,0.02723972133632439,1.378974973724505,1.6345772204042868
ca-HepTh,8638,24806,louvain,lspar,0.5,0.5006046924131259,12418.0,0.265625,1,3,0.7539141511246679,0.0023301075826255234,0.7556982066346416,50.0,0.03756289401402076,0.9454213217922526,0.6849170561162722,0.0008481577548387253,0.685744381317186,320.0,0.018638009981562693,0.019489765050821006,0.19150717066758471,-0.06899709500839568,-0.07078115051836942,-0.06995382531745564,-0.0715466611460992,0.7564637172623714,0.038127775032383696,2,0.0017533928429907012,0.038127775032383696,0.9851845270833887,2.015391882029206
