graph,arm,trials,seed,Q_orig,k,AMI,ARI,t
email-Eu-core,baseline,1,100,0.402892854239789,15,,,0.028170804027467966
email-Eu-core,baseline,1,101,0.3166801133054933,16,,,0.02479399397270754
email-Eu-core,baseline,1,102,0.3230067272927712,15,,,0.027940450992900878
email-Eu-core,dspar_0.8_s200,1,100,0.4022491818861258,15,,,0.024639664974529296
email-Eu-core,dspar_0.8_s200,1,101,0.4025159787890271,16,,,0.022840571007691324
email-Eu-core,dspar_0.8_s200,1,102,0.3987148645365004,17,,,0.024016317969653755
email-Eu-core,dspar_0.8_s201,1,100,0.40014371749183547,15,,,0.02571834804257378
email-Eu-core,dspar_0.8_s201,1,101,0.4042980491815111,15,,,0.02398110699141398
email-Eu-core,dspar_0.8_s201,1,102,0.40149857182326476,17,,,0.022226556029636413
email-Eu-core,baseline,10,100,0.39981206934277347,16,,,0.15124647394986823
email-Eu-core,baseline,10,101,0.4027618477472084,16,,,0.14797051600180566
email-Eu-core,baseline,10,102,0.4078139768335771,12,,,0.15013344900216907
email-Eu-core,dspar_0.8_s200,10,100,0.4003766472022765,16,,,0.14964834199054167
email-Eu-core,dspar_0.8_s200,10,101,0.39870382219255457,17,,,0.15634073701221496
email-Eu-core,dspar_0.8_s200,10,102,0.40110732911853586,16,,,0.1545061349752359
email-Eu-core,dspar_0.8_s201,10,100,0.3978311437547867,18,,,0.15448314999230206
email-Eu-core,dspar_0.8_s201,10,101,0.3980589427182952,17,,,0.14805427100509405
email-Eu-core,dspar_0.8_s201,10,102,0.39966134008847576,16,,,0.150871163001284
wiki-Vote,baseline,1,100,0.27053621901729596,99,,,0.262815322028473
wiki-Vote,baseline,1,101,0.3906262143095848,84,,,0.25427841302007437
wiki-Vote,baseline,1,102,0.3992045561326046,58,,,0.2589798109838739
wiki-Vote,dspar_0.8_s200,1,100,0.4162872028625986,70,,,0.23225950699998066
wiki-Vote,dspar_0.8_s200,1,101,0.414078676998284,74,,,0.2291623890050687
wiki-Vote,dspar_0.8_s200,1,102,0.42283386974575216,65,,,0.22339985700091347
wiki-Vote,dspar_0.8_s201,1,100,0.4146126435853657,60,,,0.24763659300515428
wiki-Vote,dspar_0.8_s201,1,101,0.41390309251324514,74,,,0.2394277909770608
wiki-Vote,dspar_0.8_s201,1,102,0.41848971172314725,67,,,0.22991987300338224
wiki-Vote,baseline,10,100,0.423998287490506,70,,,1.438660361978691
wiki-Vote,baseline,10,101,0.4050437043662808,82,,,1.4317530429689214
wiki-Vote,baseline,10,102,0.4164628273565394,86,,,1.5209491570130922
wiki-Vote,dspar_0.8_s200,10,100,0.4226653304735441,67,,,1.471081461000722
wiki-Vote,dspar_0.8_s200,10,101,0.414078676998284,74,,,1.4691807170165703
wiki-Vote,dspar_0.8_s200,10,102,0.4194507106618418,71,,,1.5207946600276046
wiki-Vote,dspar_0.8_s201,10,100,0.41698740431754905,76,,,1.4929574209963903
wiki-Vote,dspar_0.8_s201,10,101,0.41789186397714195,75,,,1.4205337019520812
wiki-Vote,dspar_0.8_s201,10,102,0.41790818228765464,70,,,1.480484443018213
ca-HepTh,baseline,1,100,0.6771243950044984,569,,,0.32277725503081456
ca-HepTh,baseline,1,101,0.678283931587761,560,,,0.23656284296885133
ca-HepTh,baseline,1,102,0.6788867282936649,578,,,0.23823488701600581
ca-HepTh,dspar_0.8_s200,1,100,0.6318148838209513,628,,,0.2568259990075603
ca-HepTh,dspar_0.8_s200,1,101,0.633988803343728,634,,,0.18099235801491886
ca-HepTh,dspar_0.8_s200,1,102,0.6252040416393434,663,,,0.1794653719989583
ca-HepTh,dspar_0.8_s201,1,100,0.635879371110007,633,,,0.22297076298855245
ca-HepTh,dspar_0.8_s201,1,101,0.6300296070302419,641,,,0.18590516096446663
ca-HepTh,dspar_0.8_s201,1,102,0.6307757534921818,634,,,0.2106226950418204
ca-HepTh,baseline,10,100,0.6755752154253066,569,,,1.8234193100361153
ca-HepTh,baseline,10,101,0.6804827350102114,560,,,2.0628972619888373
ca-HepTh,baseline,10,102,0.6806308276908294,574,,,1.9307227600365877
ca-HepTh,dspar_0.8_s200,10,100,0.634801644084709,633,,,1.8262498790281825
ca-HepTh,dspar_0.8_s200,10,101,0.6343697852409581,640,,,1.6062130969949067
ca-HepTh,dspar_0.8_s200,10,102,0.6323254563613242,635,,,1.7767286919988692
ca-HepTh,dspar_0.8_s201,10,100,0.635879371110007,633,,,1.883884829992894
ca-HepTh,dspar_0.8_s201,10,101,0.6323587039619967,636,,,1.6396909849718213
ca-HepTh,dspar_0.8_s201,10,102,0.6353603105466449,628,,,1.8078677979647182
ca-CondMat,baseline,1,100,0.6459860399798139,1115,,,1.1811085639637895
ca-CondMat,baseline,1,101,0.6419487551091274,1123,,,0.8421659460291266
ca-CondMat,baseline,1,102,0.6432220948585864,1118,,,0.8954019980155863
ca-CondMat,dspar_0.8_s200,1,100,0.6133704338760861,1212,,,0.8364098409656435
ca-CondMat,dspar_0.8_s200,1,101,0.6146338976290674,1207,,,0.815033384016715
ca-CondMat,dspar_0.8_s200,1,102,0.6098897940339768,1218,,,0.8258328049560077
ca-CondMat,dspar_0.8_s201,1,100,0.6124615052922627,1213,,,0.83234761597123
ca-CondMat,dspar_0.8_s201,1,101,0.6087090945827426,1223,,,0.8242269919719547
ca-CondMat,dspar_0.8_s201,1,102,0.6086859317481187,1221,,,0.8196374910185114
ca-CondMat,baseline,10,100,0.6459860399798139,1115,,,7.186289142991882
ca-CondMat,baseline,10,101,0.6452743122978636,1103,,,7.269113489950541
ca-CondMat,baseline,10,102,0.6439650805289915,1116,,,7.244139729999006
ca-CondMat,dspar_0.8_s200,10,100,0.6149425062585399,1208,,,6.925336172978859
ca-CondMat,dspar_0.8_s200,10,101,0.613560205820076,1208,,,7.000395864015445
ca-CondMat,dspar_0.8_s200,10,102,0.6135625815169611,1214,,,7.2521899020066485
ca-CondMat,dspar_0.8_s201,10,100,0.6108700211250038,1214,,,7.1880925230216235
ca-CondMat,dspar_0.8_s201,10,101,0.6118738560213081,1209,,,8.480141352978535
ca-CondMat,dspar_0.8_s201,10,102,0.6095935079595586,1224,,,7.3847329979762435
email-Enron,baseline,1,100,0.5304353214842447,1217,,,1.1569066870142706
email-Enron,baseline,1,101,0.5362590162897451,1205,,,1.3230279400013387
email-Enron,baseline,1,102,0.5266551833027531,1255,,,1.4509767439449206
email-Enron,dspar_0.8_s200,1,100,0.4852193257932466,1094,,,1.4331399980001152
email-Enron,dspar_0.8_s200,1,101,0.4902067979158987,1082,,,1.2473343900055625
email-Enron,dspar_0.8_s200,1,102,0.48304085525571494,1090,,,1.5156517840223387
email-Enron,dspar_0.8_s201,1,100,0.4838942079984693,1073,,,1.6296585790114477
email-Enron,dspar_0.8_s201,1,101,0.4790438226957909,1069,,,1.1550270150182769
email-Enron,dspar_0.8_s201,1,102,0.4876952601675081,1056,,,1.526517973979935
email-Enron,baseline,10,100,0.5391596602763867,1273,,,10.50494933500886
email-Enron,baseline,10,101,0.5364077491333943,1273,,,10.877700978948269
email-Enron,baseline,10,102,0.5301281228198315,1238,,,10.827757439983543
email-Enron,dspar_0.8_s200,10,100,0.4887418622564572,1083,,,11.376454830984585
email-Enron,dspar_0.8_s200,10,101,0.48734980324826166,1082,,,11.393592503038235
email-Enron,dspar_0.8_s200,10,102,0.4862511835137844,1080,,,11.440933459962253
email-Enron,dspar_0.8_s201,10,100,0.4866649865966535,1069,,,12.054010102991015
email-Enron,dspar_0.8_s201,10,101,0.4920473503309283,1085,,,11.856944644998293
email-Enron,dspar_0.8_s201,10,102,0.4916486031088098,1071,,,11.267286300018895
email-Eu-core-labelled,baseline,1,900,0.39892786803793295,17,0.5880730445731235,0.2756352838280687,0.030575399985536933
email-Eu-core-labelled,baseline,1,901,0.40299571525278366,13,0.5774196955851253,0.2656464232976565,0.02627453103195876
email-Eu-core-labelled,baseline,1,902,0.32026870651730727,14,0.4891347255371701,0.12920200249912372,0.025745961989741772
email-Eu-core-labelled,baseline,1,903,0.4066152014514155,13,0.5711412097345266,0.27023522976419273,0.025172901980113238
email-Eu-core-labelled,baseline,1,904,0.33937260676231834,15,0.5331230884459094,0.1746937220724523,0.02738650602987036
email-Eu-core-labelled,baseline,1,905,0.32148992697970574,14,0.4995464044843573,0.13753563588448248,0.02679458900820464
email-Eu-core-labelled,baseline,1,906,0.39395489544870804,15,0.5546842852792079,0.24161711592243038,0.02404170698719099
email-Eu-core-labelled,baseline,1,907,0.3239409688809504,14,0.47652657749846,0.1290814092113481,0.02689215401187539
email-Eu-core-labelled,baseline,1,908,0.4091881954719717,13,0.5835389603107994,0.29896570154874863,0.02815863100113347
email-Eu-core-labelled,baseline,1,909,0.3452941416914514,17,0.5248194722954062,0.16441915003825022,0.02634727902477607
email-Eu-core-labelled,dspar_0.8_s200,1,100,0.4022491818861258,15,0.6079932503546553,0.31800677567492347,0.02575371298007667
email-Eu-core-labelled,dspar_0.8_s200,1,101,0.4025159787890271,16,0.6154912701148479,0.322092815803295,0.024024086946155876
email-Eu-core-labelled,dspar_0.8_s200,1,102,0.3987148645365004,17,0.6104111937047062,0.30650425279336535,0.023391624039504677
email-Eu-core-labelled,dspar_0.8_s201,1,100,0.40014371749183547,15,0.6142544427496012,0.31152971796313655,0.0233251650352031
email-Eu-core-labelled,dspar_0.8_s201,1,101,0.4042980491815111,15,0.6241946977044043,0.3734878717650285,0.02530526602640748
email-Eu-core-labelled,dspar_0.8_s201,1,102,0.40149857182326476,17,0.6187130311491821,0.3536593189952959,0.02490221499465406
