network,chain,chain_seed,spe,spe_nom,accepted,proposals,acc_rate_cum,acc_rate_interval,M_inter,M_total,final,stalled,n,m,n_comms,Q,p_intra,sd_s,mu_s,delta,mu_intra,mu_inter,r_pb,auc_s,auc_prod,hb,deg_R2,hub_inter_frac,nonhub_inter_frac,hub_inter_lift,assort_deg,transitivity,avg_local_cc,tri_intra,tri_inter,tri_frac_intra_ge1,tri_frac_inter_ge1,comm_size_mean,comm_size_max_frac,comm_size_gini,seconds
ca-GrQc,up,1,0.0,0.0,0,0,,,356268,6769056,0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.01,0.01,134,151,0.8874172185430463,0.8874172185430463,425875,6722568,0,0,4158,13422,42,0.8331087400436625,0.8776635374757861,0.2864910821861625,0.3097898971837282,0.0707822659591586,0.3184491492106198,0.2476668832514612,0.08095717421617876,0.5120571728129801,0.4748495561129849,0.4852234314370498,0.20120241734161926,0.12477893495775201,0.12084483379335173,1.0199652040212839,0.6269554567010083,0.596935753491372,0.5233515997975082,11.359847198641766,1.3605359317904995,0.914346349745331,0.6479902557856273,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.02,0.02,268,298,0.8993288590604027,0.9115646258503401,487300,6676679,0,0,4158,13422,42,0.8155256674762359,0.8600804649083594,0.28615930949405666,0.3097898971837282,0.060848553115930015,0.3183037984467081,0.25745524533077807,0.07376512712181967,0.5046705820467802,0.4797188439360963,0.4839606646225566,0.20120241734161926,0.14792438121223933,0.13496562537691473,1.0572103539034488,0.6148823656474082,0.5639371882116015,0.49049021476974847,10.948891198891198,1.1384451544195953,0.9073977823977823,0.556975505857295,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.05,0.05,671,761,0.8817345597897503,0.8704103671706264,721371,6517265,0,0,4158,13422,42,0.7633724861321739,0.8079272835642974,0.28510778165780093,0.3097898971837282,0.050699559785207404,0.3195278993537673,0.2688283395685599,0.07005096041520804,0.5018290816742639,0.4761417045287724,0.5235339391035891,0.20120241734161926,0.2184697576798321,0.17516196064050849,1.1374325397900336,0.5729416012546649,0.4641385755465757,0.4088146192654094,9.572666912578384,0.7680372381691234,0.8848210992253781,0.39410395655546937,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.1,0.1,1342,1562,0.8591549295774648,0.8377028714107366,1139700,6280241,0,0,4158,13422,42,0.6812684777876649,0.7258232752197884,0.2841938031876106,0.3097898971837282,0.044905421395103784,0.322101918546713,0.2771964971516092,0.07048795479402953,0.5050533101853918,0.4696632074924353,0.5869242146167952,0.20120241734161926,0.32507854370726297,0.23979528148795407,1.1856533189236096,0.510582161434915,0.32774801574243484,0.30268023450741527,7.475364401560254,0.5095108695652174,0.842640114966126,0.2877717391304348,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.15,0.15,2013,2422,0.8311312964492156,0.7802325581395348,1483083,6068861,0,0,4158,13422,42,0.6054228512044433,0.6499776486365668,0.28278913454072496,0.3097898971837282,0.03983985059612549,0.3237347353673519,0.28389488477122643,0.06719734009752322,0.5023681387438127,0.4706020946215126,0.6005581634769724,0.20120241734161926,0.41656210790464243,0.3026902970801989,1.1901014500417435,0.4549694876588471,0.23483342766509152,0.21638334838360768,5.93145346171481,0.3782460621541081,0.7912654745529574,0.2332907620263942,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.2,0.2,2684,3289,0.8160535117056856,0.7739331026528259,1817131,5897822,0,0,4158,13422,42,0.5371766881884993,0.5817314856206228,0.2811859567583868,0.3097898971837282,0.037786197891824136,0.32559467403998665,0.2878084761481625,0.06628701151815664,0.5034971736167485,0.46860548925914136,0.619326871431809,0.20120241734161926,0.4929059379926432,0.36302346687410864,1.178443801164456,0.40997026299244116,0.16902057309833757,0.15906414504552513,4.69031762295082,0.3386177413608835,0.7470543032786885,0.21125757035981474,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.3,0.3,4027,5234,0.7693924340848299,0.6904884318766067,2409523,5583779,0,0,4158,13422,42,0.4146912165747311,0.45924601400685444,0.28012021185807884,0.3097898971837282,0.03994287790128054,0.33138916762088316,0.2914462897196026,0.07105873455246871,0.508286857134887,0.464801678257329,0.6446660405211234,0.20120241734161926,0.6195195699647237,0.47797563261480785,1.1456588134563959,0.3273476359195975,0.08750477143195609,0.08101643149508417,2.8864373783257626,0.29650041333700744,0.6380597014925373,0.1944061724993111,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.4,0.4,5369,7459,0.7198015819814989,0.6031460674157303,2999198,5454011,0,0,4158,13422,42,0.31418458567024593,0.35873938310236925,0.2821593422787518,0.3097898971837282,0.05327755371216958,0.3439546941439907,0.29067714043182113,0.09056422062130096,0.5236079787745516,0.45321507126525645,0.6834885000245945,0.20120241734161926,0.7174592726674346,0.578216473791695,1.118826345735135,0.29320653718474654,0.04916220236136522,0.044513235810582245,1.7551401869158878,0.319972115719763,0.5277258566978194,0.20041826420355524,99.0,0.06132756132756133,0.3693052978767266,0.0
ca-GrQc,up,1,0.5,0.5,6711,9907,0.6773998183102856,0.548202614379085,3505730,5332777,0,0,4158,13422,42,0.23103751369885564,0.275592311130979,0.2838374457130002,0.3097898971837282,0.06913216473063982,0.35986976886276345,0.29073760413212363,0.10882672009954335,0.5424679268619929,0.43678328465735256,0.7299830753359154,0.20120241734161926,0.7948426856957509,0.6645534729878722,1.0972311557552576,0.26131067715746004,0.032340436734102904,0.02564363892993215,1.1048932143822654,0.33775583667592307,0.4174101108407678,0.2072405636120539,99.0,0.06132756132756133,0.3693052978767266,0.0
