arm,phase,n_iterations,seed,Q,k,seconds,n_iters_run
A,main,2,100,0.6065817743,195,1.244069,2
A,main,2,101,0.6093568592,150,1.255064,2
A,main,2,102,0.6087988684,186,1.178847,2
A,main,2,103,0.6066655490,183,1.194021,2
A,main,2,104,0.6040834726,142,1.229017,2
A,main,2,105,0.6136181693,208,1.212326,2
A,main,2,106,0.6038818530,165,1.264380,2
A,main,2,107,0.6143883561,206,1.191177,2
A,main,2,108,0.6048993260,164,1.246956,2
A,main,2,109,0.6152568610,209,1.243593,2
A,main,2,110,0.6144631916,189,1.230547,2
A,main,2,111,0.6084512513,172,1.220075,2
A,main,2,112,0.6088568961,174,1.230178,2
A,main,2,113,0.6095662346,191,1.200730,2
A,main,2,114,0.6103557479,209,1.190374,2
A,main,2,115,0.6123101134,160,1.249701,2
A,main,2,116,0.6150406339,171,1.265478,2
A,main,2,117,0.6025448344,189,1.243772,2
A,main,2,118,0.6072463876,189,1.255450,2
A,main,2,119,0.6140780194,201,1.201862,2
A,main,2,120,0.6095554132,165,1.198965,2
A,main,2,121,0.6090916486,206,1.255455,2
A,main,2,122,0.6025375202,195,1.273871,2
A,main,2,123,0.6085175311,169,1.220818,2
A,main,2,124,0.6103236969,190,1.265496,2
B_cal,calibration,2,500,0.6172587000,166,1.267933,2
B_cal,calibration,2,501,0.6089820946,168,1.270321,2
B_cal,calibration,2,502,0.6140752199,170,1.250642,2
B_cal,calibration,3,500,0.6178299184,168,1.764975,3
B_cal,calibration,3,501,0.6094364931,163,1.763712,3
B_cal,calibration,3,502,0.6144534953,180,1.977639,3
B_cal,calibration,4,500,0.6180814342,169,2.525392,4
B_cal,calibration,4,501,0.6096464018,171,2.518498,4
B_cal,calibration,4,502,0.6147367950,182,2.456855,4
B_n3,main,3,100,0.6072258926,202,1.888897,3
B_n3,main,3,101,0.6098411599,153,1.937208,3
B_n3,main,3,102,0.6091114451,185,1.861561,3
B_n3,main,3,103,0.6072489956,181,1.853764,3
B_n3,main,3,104,0.6052849073,153,1.875321,3
B_n3,main,3,105,0.6143154551,214,1.845140,3
B_n3,main,3,106,0.6041486821,169,1.891650,3
B_n3,main,3,107,0.6151557926,211,1.833839,3
B_n3,main,3,108,0.6053981796,167,1.919005,3
B_n3,main,3,109,0.6159527675,213,1.889111,3
B_n3,main,3,110,0.6147170472,192,1.918789,3
B_n3,main,3,111,0.6087371252,174,1.739598,3
B_n3,main,3,112,0.6091555982,174,1.650436,3
B_n3,main,3,113,0.6098931940,197,1.627074,3
B_n3,main,3,114,0.6107441295,210,1.644934,3
B_n3,main,3,115,0.6126794840,166,1.663673,3
B_n3,main,3,116,0.6154399813,172,1.697750,3
B_n3,main,3,117,0.6030162256,189,1.658254,3
B_n3,main,3,118,0.6076102045,197,1.647801,3
B_n3,main,3,119,0.6144866595,204,1.640620,3
B_n3,main,3,120,0.6104294228,163,1.628402,3
B_n3,main,3,121,0.6103855960,208,1.681726,3
B_n3,main,3,122,0.6036625229,216,1.701672,3
B_n3,main,3,123,0.6096509646,170,1.654778,3
B_n3,main,3,124,0.6107613300,192,1.658159,3
B_n4,main,4,100,0.6073392211,206,2.044182,4
B_n4,main,4,101,0.6102063769,157,2.059029,4
B_n4,main,4,102,0.6093609915,187,1.967722,4
B_n4,main,4,103,0.6075740260,184,2.005373,4
B_n4,main,4,104,0.6055198090,157,2.082128,4
B_n4,main,4,105,0.6148034678,213,2.040379,4
B_n4,main,4,106,0.6045736125,174,2.080065,4
B_n4,main,4,107,0.6154647063,215,2.043091,4
B_n4,main,4,108,0.6061107141,173,2.086719,4
B_n4,main,4,109,0.6162354045,213,2.080574,4
