dataset,graph,condition,seed,n_clusters,n_clusters_ge3,AMI,ARI,NMI,avgF1_ge3,gt2det,det2gt_ge3,realized_ret,e_used,resolution,notes
email-Eu-core,real,baseline,100,8,,0.5774916561472868,0.35830612609664525,0.6021580624218643,,,,1.0,,1.0,
email-Eu-core,real,baseline,101,8,,0.5621236978736222,0.3322208274752097,0.5877173591075324,,,,1.0,,1.0,
email-Eu-core,real,baseline,102,8,,0.5597120583264071,0.33017793454725614,0.5853449135790628,,,,1.0,,1.0,
email-Eu-core,real,chance_baseline,11,8,,0.0032802387573409334,0.0017246952475915916,0.06146960928793066,,,,,,,size-matched random partition
email-Eu-core,real,chance_baseline,12,8,,0.0029128640871348755,-0.0013062006414056853,0.06112368227195945,,,,,,,size-matched random partition
email-Eu-core,real,chance_baseline,13,8,,0.0031418322587524385,-0.0004270094674980783,0.0613392830816604,,,,,,,size-matched random partition
email-Eu-core,real,B_weight,300,7,,0.5398168837898325,0.264436965313555,0.5637568673726586,,,,1.0,,1.0,
email-Eu-core,real,B_weight,301,8,,0.569817714138634,0.33066170991154864,0.5950086653113836,,,,1.0,,1.0,
email-Eu-core,real,B_weight,302,7,,0.542977966526534,0.27462796276976503,0.5667415823376492,,,,1.0,,1.0,
email-Eu-core,real,chance_B_weight,11,7,,0.0058312306434727115,0.0011508976402212826,0.05755060751449198,,,,,,,size-matched random partition
email-Eu-core,real,chance_B_weight,12,7,,-0.0023829570893854793,0.000617781039011488,0.04976374428039064,,,,,,,size-matched random partition
email-Eu-core,real,chance_B_weight,13,7,,-0.0002982844560337867,0.0014266476063642798,0.05173996654505211,,,,,,,size-matched random partition
email-Eu-core,real,C_seed,300,8,,0.5721682370530591,0.34465897621930824,0.5971871088157696,,,,1.0,0.7266,1.0,seeded from L-Spar ret=0.5021
email-Eu-core,real,C_seed,301,8,,0.571610234633288,0.34295594225047277,0.5966634926663472,,,,1.0,0.7266,1.0,seeded from L-Spar ret=0.5021
email-Eu-core,real,C_seed,302,8,,0.5612962553448121,0.32118772630998005,0.5868604396509385,,,,1.0,0.7266,1.0,seeded from L-Spar ret=0.5021
email-Eu-core,real,chance_C_seed,11,8,,0.0051783267316596075,0.0014487036013382769,0.0633538013594108,,,,,,,size-matched random partition
email-Eu-core,real,chance_C_seed,12,8,,0.00014533469012746985,-0.0016524576800666753,0.058615130107907164,,,,,,,size-matched random partition
email-Eu-core,real,chance_C_seed,13,8,,0.0011408354322846668,-0.0012450058328747837,0.05955241566464625,,,,,,,size-matched random partition
email-Eu-core,real,L_lspar05,300,11,,0.6049220519536157,0.41139842785522235,0.6348511747795197,,,,0.5021,0.7266,1.0,
email-Eu-core,real,L_lspar05,301,12,,0.6124358560337995,0.4212009843840883,0.6439597802336423,,,,0.5021,0.7266,1.0,
email-Eu-core,real,L_lspar05,302,12,,0.6195661908944378,0.4333344580744598,0.650533648715748,,,,0.5021,0.7266,1.0,
email-Eu-core,real,chance_L_lspar05,11,11,,0.005180834685173417,0.0017309596940657248,0.08054334260418061,,,,,,,size-matched random partition
email-Eu-core,real,chance_L_lspar05,12,11,,-0.0013684437990878861,-0.00036975736822750124,0.07449020459332659,,,,,,,size-matched random partition
email-Eu-core,real,chance_L_lspar05,13,11,,-0.00273391706938915,-0.001834731109037251,0.0732281727259799,,,,,,,size-matched random partition
email-Eu-core,real,resmatch_L_lspar05,100,13,,0.6364795240396149,0.5039395584830674,0.6684466421290994,,,,1.0,,1.5,granularity control for L_lspar05 (k=11.7)
email-Eu-core,real,resmatch_L_lspar05,101,11,,0.597590973661462,0.41825627727780673,0.6282524040616363,,,,1.0,,1.25,granularity control for L_lspar05 (k=11.7)
email-Eu-core,real,resmatch_L_lspar05,102,12,,0.6226923328459053,0.487015056425097,0.6537976459337884,,,,1.0,,1.375,granularity control for L_lspar05 (k=11.7)
com-DBLP,real,baseline,100,225,225,,,,0.10890882219145614,0.017723796788128323,0.20009384759478396,1.0,,1.0,
