network,graph,arm,n,m,m_arm,n_runs,target_ret,e_used,realized_ret,status,ret_core,frac_core,n_fill,Q_base_mean,Q_base_std,Q_base_best,nc_base,T_leiden_orig,Q_native_mean,Q_native_std,Q_orig_mean,Q_orig_std,Q_orig_best,Q_pre_refine_mean,nc_arm_mean,nc_arm_std,dQ_honest_vs_mean,dQ_honest_vs_best,T_jaccard,T_prep,T_leiden_arm,T_arm_total,budget,n_restarts,Q_matched_best,dQ_vs_matched,pooled_sd,sig_2sd,meanJ,deltaJ,notes
email-Eu-core,real,A_baseline,986,16064,16064,5,1.0,,1.0,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.05982747019988892,0.4160484354291004,0.00042948555040947707,0.4160484354291004,0.00042948555040947707,0.41643037652366144,,8.0,0.0,0.0,-0.00038194109456102243,,,0.05982747019988892,0.05982747019988892,,,,,,,,,
email-Eu-core,real,B_weight,986,16064,16064,3,1.0,,1.0,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.05982747019988892,0.4160905110416155,0.00027386499165281826,0.4160905110416155,0.00027386499165281826,0.4163164499156016,,7.333333333333333,0.4714045207910317,4.207561251506897e-05,-0.00033986548204595346,0.021271163999699638,8.046999937505461e-06,0.058683129999735684,0.07996234099937283,0.07996234099937283,2,0.4173622891247511,-0.0012717780831356107,0.0003601804212221492,0,0.16453655635255474,0.09160591896757657,"w=1+J, weighted Leiden, scored unweighted"
email-Eu-core,real,Bshuf_weight,986,16064,16064,6,1.0,,1.0,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.05982747019988892,0.4151241716065477,0.0016114388337112062,0.4151241716065477,0.0016114388337112062,0.4172684979857711,,7.166666666666667,0.37267799624996495,-0.0009242638225527289,-0.0013062049171137513,0.021271163999699638,0.0003013195005223679,0.06095794699998199,0.082530430500204,0.082530430500204,2,0.4173622891247511,-0.0022381175182034085,0.0011792355474634962,0,0.16453655635255474,0.09160591896757657,"J permuted across edges (seeds 500,501) x 3 Leiden seeds"
email-Eu-core,real,C_seed,986,16064,8065,3,0.5,0.726562,0.502054,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.05982747019988892,0.4168221611086365,0.0006958771919556387,0.4168221611086365,0.0006958771919556387,0.4173363118120149,0.38792988270606155,8.0,0.0,0.0007737256795360969,0.0003917845849750745,0.021271163999699638,0.00925370799996017,0.0780639043332485,0.10858877633290831,0.10858877633290831,2,0.4173622891247511,-0.0005401280161145827,0.0005782313137035197,0,0.16453655635255474,0.09160591896757657,Leiden on L-Spar@0.5 then optimise on G from that membership
email-Eu-core,real,L_lspar05,986,16064,8065,3,0.5,0.726562,0.502054,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.05982747019988892,0.6754206464909068,9.33167863360675e-05,0.38792988270606155,0.0014743532590156113,0.3899810602584682,,11.666666666666666,0.4714045207910317,-0.02811855272303887,-0.028500493817599892,0.021271163999699638,0.010541577999902074,0.03256724066704919,0.0643799826666509,0.0643799826666509,2,0.4173622891247511,-0.02943240641868955,0.0010858580409935006,0,0.16453655635255474,0.09160591896757657,pure L-Spar deletion (Exp L reproduction)
email-Eu-core,real,D_protected,986,16064,8032,6,0.5,0.724588,0.5,ok,0.499875,0.999751,2,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.05982747019988892,0.6760470167491556,0.00027207082468655425,0.38823503232980267,0.0011774290838085558,0.3899442847385358,,12.0,0.0,-0.02781340309929775,-0.028195344193858773,0.021271163999699638,0.014291704999322974,0.032169447833439335,0.06773231683246195,0.06773231683246195,2,0.4173622891247511,-0.02912725679494843,0.0008862271394537595,0,0.16453655635255474,0.09160591896757657,L-Spar core (largest e with ret<=0.5) + uniform random fill
email-Eu-core,real,U_uniform05,986,16064,8032,6,0.5,,0.5,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.05982747019988892,0.4280931759350381,0.001371369662075733,0.39852647977200323,0.0032332918731332507,0.4049592664420765,,69.5,9.844626283748239,-0.017521955657097188,-0.01790389675165821,0.0,0.0047085429996513994,0.042097782166517085,0.046806325166168485,0.046806325166168485,1,0.41458975012549415,-0.01606327035349092,0.0023063644741107225,0,,,"uniform random 50% of edges (no J computed, no T_jaccard)"
wiki-Vote,real,A_baseline,7066,100736,100736,5,1.0,,1.0,ok,,,,0.4244251061295442,0.0024969817925130345,0.42680377656904833,6.4,0.4010124227999768,0.4244251061295442,0.0024969817925130345,0.4244251061295442,0.0024969817925130345,0.42680377656904833,,6.4,0.48989794855663565,0.0,-0.002378670439504127,,,0.4010124227999768,0.4010124227999768,,,,,,,,,
wiki-Vote,real,B_weight,7066,100736,100736,3,1.0,,1.0,ok,,,,0.4244251061295442,0.0024969817925130345,0.42680377656904833,6.4,0.4010124227999768,0.42187899589726935,0.006030694549174811,0.42187899589726935,0.006030694549174811,0.4289750041347523,,8.666666666666666,3.0912061651652345,-0.0025461102322748563,-0.004924780671778983,0.17766630000005534,3.790800019487506e-05,0.44578056333345256,0.6234847713337028,0.6234847713337028,2,0.42936553688762724,-0.007486540990357893,0.004615419526846308,0,0.05920337393994462,0.012616533699281271,"w=1+J, weighted Leiden, scored unweighted"
wiki-Vote,real,Bshuf_weight,7066,100736,100736,6,1.0,,1.0,ok,,,,0.4244251061295442,0.0024969817925130345,0.42680377656904833,6.4,0.4010124227999768,0.4248239694337735,0.002998717523997997,0.4248239694337735,0.002998717523997997,0.42996962917570897,,6.333333333333333,0.4714045207910317,0.00039886330422927996,-0.001979807135274847,0.17766630000005534,0.0011298515000817133,0.4231039861667038,0.6019001376668409,0.6019001376668409,2,0.42936553688762724,-0.0045415674538537565,0.0027592775196484207,0,0.05920337393994462,0.012616533699281271,"J permuted across edges (seeds 500,501) x 3 Leiden seeds"
