network,arm,condition,sparsifier,target_ret,realized_ret,spar_seed,leiden_seed,gamma,m_sparse,n,k0,kp,match_method,agree_all_hung,agree_all_plur,n_frag_nodes,frac_frag_nodes,core_enrich_bot2,core_enrich_top2,deg_enrich_bot2,deg_enrich_top2,emb_enrich_bot2,emb_enrich_top2,frag_deg_median,all_deg_median,frag_deg_mean,all_deg_mean,frag_core_median,all_core_median,frag_core_mean,all_core_mean,frag_frac_deg_le2,all_frac_deg_le2,frag_frac_core_le1,all_frac_core_le1,lift_deg_le2,lift_core_le1,core_ah_gap,deg_ah_gap,emb_ah_gap,seconds,fsc_d0,fsc_d1,fsc_d2,fsc_d3,fsc_d4,fsc_d5,fsc_d6,fsc_d7,fsc_d8,fsc_d9,frc_d0,frc_d1,frc_d2,frc_d3,frc_d4,frc_d5,frc_d6,frc_d7,frc_d8,frc_d9,fsd_d0,fsd_d1,fsd_d2,fsd_d3,fsd_d4,fsd_d5,fsd_d6,fsd_d7,fsd_d8,fsd_d9,frd_d0,frd_d1,frd_d2,frd_d3,frd_d4,frd_d5,frd_d6,frd_d7,frd_d8,frd_d9,fse_d0,fse_d1,fse_d2,fse_d3,fse_d4,fse_d5,fse_d6,fse_d7,fse_d8,fse_d9,ahc_d0,ahc_d1,ahc_d2,ahc_d3,ahc_d4,ahc_d5,ahc_d6,ahc_d7,ahc_d8,ahc_d9,ahd_d0,ahd_d1,ahd_d2,ahd_d3,ahd_d4,ahd_d5,ahd_d6,ahd_d7,ahd_d8,ahd_d9,chk_kp_match,chk_nfrag_match,chk_agree_diff,chk_fs_maxdiff
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,986,8,8,hungarian,0.9198782961460447,0.9198782961460447,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.07390228818800237,0.07070707070707094,0.05713598570741418,0.0005587269988609478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8787878787878788,0.8383838383838383,0.9285714285714286,0.9191919191919192,0.8979591836734694,0.898989898989899,0.9696969696969697,0.9387755102040817,0.98989898989899,0.9387755102040817,0.8888888888888888,0.8383838383838383,0.9285714285714286,0.898989898989899,0.9081632653061225,0.8888888888888888,0.9797979797979798,0.9795918367346939,0.9393939393939394,0.9489795918367347,1,1,0.0,0.0
email-Eu-core,real,jitter,,1.0,1.0,,102,1.0,16064,986,8,8,hungarian,0.9411764705882353,0.9411764705882353,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.04036968322682599,0.03360131931560506,0.08097986669415247,0.00042717999895103276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9494949494949495,0.9191919191919192,0.9183673469387755,0.9191919191919192,0.8877551020408163,0.9090909090909091,1.0,0.9693877551020408,1.0,0.9387755102040817,0.9595959595959596,0.9090909090909091,0.9183673469387755,0.9191919191919192,0.9183673469387755,0.9191919191919192,0.9797979797979798,0.9387755102040817,0.98989898989899,0.9591836734693877,1,1,0.0,0.0
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,986,8,10,hungarian,0.8184584178498986,0.8914807302231237,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.0536315536315537,0.03318903318903332,0.21892393320964754,0.0004843829992751125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.797979797979798,0.8282828282828283,0.7551020408163265,0.8282828282828283,0.7755102040816326,0.797979797979798,0.8585858585858586,0.8673469387755102,0.8585858585858586,0.8163265306122449,0.8080808080808081,0.8181818181818182,0.7857142857142857,0.8080808080808081,0.7959183673469388,0.797979797979798,0.8585858585858586,0.8163265306122449,0.8686868686868687,0.826530612244898,1,1,0.0,0.0
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,301,1.0,8031,986,8,8,hungarian,0.6703853955375254,0.7515212981744422,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.12038754895897741,0.11389404246547108,0.2014704871847729,0.000416836999647785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5656565656565656,0.6262626262626263,0.5714285714285714,0.7474747474747475,0.6428571428571429,0.6767676767676768,0.7474747474747475,0.6122448979591837,0.797979797979798,0.7142857142857143,0.5757575757575758,0.6262626262626263,0.5918367346938775,0.7171717171717171,0.6428571428571429,0.6767676767676768,0.7373737373737373,0.6938775510204082,0.7171717171717171,0.7244897959183674,1,1,0.0,0.0
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,302,1.0,8031,986,8,10,hungarian,0.795131845841785,0.8853955375253549,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.07379921665635958,0.056792413935271124,0.24596303167731737,0.0003688889992190525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7777777777777778,0.7676767676767676,0.7142857142857143,0.797979797979798,0.7653061224489796,0.7878787878787878,0.8585858585858586,0.8673469387755102,0.8484848484848485,0.7653061224489796,0.797979797979798,0.7474747474747475,0.7346938775510204,0.7878787878787878,0.7755102040816326,0.797979797979798,0.8585858585858586,0.8061224489795918,0.8484848484848485,0.7959183673469388,1,1,0.0,0.0
email-Eu-core,real,dspar,dspar,0.5,0.502677,201,300,1.0,8075,986,8,9,hungarian,0.8377281947261663,0.8732251521298174,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.06661856661856669,0.06675599532742382,0.1821273964131105,0.00036435599758988246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8282828282828283,0.696969696969697,0.8673469387755102,0.797979797979798,0.8367346938775511,0.8585858585858586,0.898989898989899,0.8367346938775511,0.9393939393939394,0.8163265306122449,0.8484848484848485,0.696969696969697,0.8673469387755102,0.8080808080808081,0.7857142857142857,0.8585858585858586,0.898989898989899,0.8673469387755102,0.9191919191919192,0.826530612244898,1,1,0.0,0.0
email-Eu-core,real,dspar,dspar,0.5,0.502677,201,301,1.0,8075,986,8,7,hungarian,0.6977687626774848,0.7352941176470589,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.11671133099704534,0.14076135504706933,0.16127258984401838,0.0004907070033368655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6464646464646465,0.494949494949495,0.6836734693877551,0.7070707070707071,0.6938775510204082,0.8282828282828283,0.7474747474747475,0.6122448979591837,0.8282828282828283,0.7346938775510204,0.6565656565656566,0.5050505050505051,0.673469387755102,0.7070707070707071,0.6530612244897959,0.7878787878787878,0.7373737373737373,0.7448979591836735,0.7777777777777778,0.7346938775510204,1,1,0.0,0.0
email-Eu-core,real,dspar,dspar,0.5,0.502677,201,302,1.0,8075,986,8,9,hungarian,0.7758620689655172,0.8265720081135902,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.07699443413729135,0.07716622002336293,0.27619734762591897,0.0003895800000464078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7676767676767676,0.696969696969697,0.7346938775510204,0.7474747474747475,0.7653061224489796,0.797979797979798,0.8181818181818182,0.8163265306122449,0.8282828282828283,0.7857142857142857,0.7878787878787878,0.6868686868686869,0.7551020408163265,0.7373737373737373,0.7653061224489796,0.7474747474747475,0.8181818181818182,0.8673469387755102,0.7878787878787878,0.8061224489795918,1,1,0.0,0.0
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,986,8,11,hungarian,0.7596348884381339,0.9117647058823529,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.059815845530131195,0.05287569573283868,0.15498522641379786,0.000425034999352647,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8080808080808081,0.6161616161616161,0.7653061224489796,0.6767676767676768,0.7448979591836735,0.8080808080808081,0.8080808080808081,0.8163265306122449,0.8383838383838383,0.7142857142857143,0.8181818181818182,0.6161616161616161,0.7551020408163265,0.6868686868686869,0.7346938775510204,0.8181818181818182,0.8181818181818182,0.7142857142857143,0.8888888888888888,0.7448979591836735,1,1,0.0,0.0
email-Eu-core,real,lspar,lspar,0.5,0.502054,,301,1.0,8065,986,8,12,hungarian,0.7636916835699797,0.9117647058823529,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.06318284889713466,0.05627705627705648,0.14818250532536237,0.00039922500218381174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8080808080808081,0.6161616161616161,0.7653061224489796,0.6868686868686869,0.7551020408163265,0.8080808080808081,0.8181818181818182,0.8163265306122449,0.8484848484848485,0.7142857142857143,0.8181818181818182,0.6161616161616161,0.7551020408163265,0.696969696969697,0.7448979591836735,0.8181818181818182,0.8282828282828283,0.7244897959183674,0.8888888888888888,0.7448979591836735,1,1,0.0,0.0
