direction,parent_comm,size_parent,n_pieces,cross_edges,intra_edges,cross_removed,intra_removed,cross_removal_rate,intra_removal_rate,removal_bias,dprod_ratio
base_split_by_seeded,9,25152,2,1814,28720,3,11,0.0016538037486218302,0.000383008356545961,4.31793124185627,3.5965796477982037
base_split_by_seeded,14,16030,2,922,19481,16,7,0.01735357917570499,0.00035932446999640676,48.29501084598699,12.419612725272252
base_split_by_seeded,16,12935,2,640,15933,2,14,0.003125,0.0008786794702818051,3.5564732142857145,4.88827664709259
base_split_by_seeded,27,7015,2,657,7825,3,8,0.0045662100456621,0.0010223642172523962,4.466324200913242,2.153395704701965
base_split_by_seeded,30,5772,2,277,8205,1,10,0.0036101083032490976,0.001218769043266301,2.9620938628158844,1.5794791061362892
base_split_by_seeded,31,5714,3,224,10223,0,24,0.0,0.002347647461606182,0.0,1.479546846954572
base_split_by_seeded,37,4515,3,164,4947,1,0,0.006097560975609756,0.0,nan,3.9398662960569397
base_split_by_seeded,39,3827,2,148,4331,0,2,0.0,0.0004617871161394597,0.0,2.4940889826343438
base_split_by_seeded,43,3041,3,135,3434,0,1,0.0,0.00029120559114735004,0.0,2.392630819675116
base_split_by_seeded,45,2807,2,146,3465,2,2,0.0136986301369863,0.0005772005772005772,23.732876712328764,3.6279053322465264
base_split_by_seeded,46,2792,3,113,3298,0,4,0.0,0.001212856276531231,0.0,1.5901060746388145
base_split_by_seeded,47,2781,2,101,3535,0,0,0.0,0.0,nan,2.6919513548459353
base_split_by_seeded,52,2381,4,82,2565,0,0,0.0,0.0,nan,7.507743320814559
base_split_by_seeded,53,2373,2,86,2497,0,0,0.0,0.0,nan,4.700414716249231
base_split_by_seeded,55,2295,4,58,2429,0,0,0.0,0.0,nan,2.9926927397759417
base_split_by_seeded,58,2225,2,64,2387,0,0,0.0,0.0,nan,8.805901167384949
base_split_by_seeded,59,2095,2,91,2213,0,0,0.0,0.0,nan,3.3818218336015367
base_split_by_seeded,61,1959,2,46,2080,0,0,0.0,0.0,nan,2.1610704988109894
base_split_by_seeded,62,1874,2,31,1911,0,0,0.0,0.0,nan,1.4581054225290944
base_split_by_seeded,63,1857,2,51,2011,0,0,0.0,0.0,nan,7.694514987311109
base_split_by_seeded,69,1533,3,35,1843,0,1,0.0,0.0005425935973955507,0.0,0.4541810526384598
base_split_by_seeded,70,1334,2,81,1418,0,0,0.0,0.0,nan,2.249220410637195
base_split_by_seeded,71,1217,2,37,1294,0,0,0.0,0.0,nan,2.631421625915298
base_split_by_seeded,72,999,2,35,1059,0,0,0.0,0.0,nan,2.3549364669372617
base_split_by_seeded,73,937,2,30,993,0,0,0.0,0.0,nan,3.786342316855271
base_split_by_seeded,74,875,2,29,900,0,0,0.0,0.0,nan,3.198414413060427
base_split_by_seeded,102,53,2,2,56,0,0,0.0,0.0,nan,1.2713513513513515
base_split_by_seeded,113,47,3,3,65,0,0,0.0,0.0,nan,0.38613861386138615
base_split_by_seeded,126,42,3,4,46,0,0,0.0,0.0,nan,0.9196744515215853
base_split_by_seeded,152,35,2,1,33,0,0,0.0,0.0,nan,13.141592920353983
base_split_by_seeded,165,32,2,1,30,0,0,0.0,0.0,nan,1.44
base_split_by_seeded,169,31,2,1,33,0,0,0.0,0.0,nan,1.3592677345537758
base_split_by_seeded,186,29,2,1,31,0,0,0.0,0.0,nan,2.5750798722044728
base_split_by_seeded,197,27,3,3,27,0,0,0.0,0.0,nan,4.395886889460154
base_split_by_seeded,204,27,2,1,27,0,0,0.0,0.0,nan,1.683116883116883
seeded_merges_base,10,21876,2,1443,25513,4,1,0.002772002772002772,3.919570415082507e-05,70.72210672210672,5.80036293193788
seeded_merges_base,12,19048,2,824,27878,3,38,0.0036407766990291263,0.0013630820001434823,2.670988758303526,1.3611422110021678
seeded_merges_base,16,12581,2,1243,15266,1,23,0.0008045052292839903,0.0015066160094327264,0.5339816013151911,1.5263590809377117
seeded_merges_base,18,12190,2,1226,15313,6,18,0.004893964110929853,0.0011754718213282831,4.163404023926047,2.486919385351718
seeded_merges_base,21,9475,2,599,10799,3,3,0.005008347245409015,0.0002778035003241041,18.02838063439065,10.277099022112468
seeded_merges_base,22,9440,2,561,10967,0,6,0.0,0.0005470958329534056,0.0,2.7538894362254287
seeded_merges_base,27,7770,2,665,9303,5,6,0.007518796992481203,0.0006449532408900354,11.657894736842106,17.465522286791384
seeded_merges_base,29,6159,2,198,9119,0,5,0.0,0.000548305735277991,0.0,1.880790957184121
seeded_merges_base,30,5496,2,184,5987,0,0,0.0,0.0,nan,4.596667659446779
seeded_merges_base,31,5149,2,200,5770,0,2,0.0,0.0003466204506065858,0.0,4.571901832679468
seeded_merges_base,34,4492,2,316,8933,1,20,0.0031645569620253164,0.002238889510802642,1.4134493670886075,1.9594145336800741
seeded_merges_base,41,3199,2,170,3798,0,0,0.0,0.0,nan,2.0042611023107777
seeded_merges_base,43,2967,2,155,3379,0,0,0.0,0.0,nan,3.3450634142487616
seeded_merges_base,45,2833,2,120,3098,0,0,0.0,0.0,nan,7.0607401082759065
seeded_merges_base,47,2800,3,125,3128,0,0,0.0,0.0,nan,2.8087568900886253
seeded_merges_base,48,2771,2,89,2810,0,0,0.0,0.0,nan,2.7139763130859307
