arm,seed,spar_seed,alpha,gamma,retention,Q,Q_raw,k,k_sparse,largest,frac_largest,n_comm_gt_1pct,top5_share,n_comm_ge20,T,T_sparsify,T_leiden_sparse,T_refine,rss_gb
plain,100,,,,,0.72699934,,5533,,173068,0.15249759888623568,20,0.48586999621108656,305,90.55,,,,1.31
plain,101,,,,,0.72846469,,5661,,169620,0.14945941897452616,18,0.49358968710623935,322,87.37,,,,1.32
plain,102,,,,,0.72387013,,6978,,172205,0.1517371727656425,21,0.49813021526315326,323,88.00,,,,1.33
plain,103,,,,,0.71844717,,7211,,173578,0.15294698164579826,18,0.5065310294389764,306,89.62,,,,1.33
seeded,300,200,0.95,,0.949971,0.72996911,0.72848313,5171,5227,162359,0.14306144207808685,20,0.4836865246852118,316,156.29,0.93,88.52,66.84,1.43
plain,104,,,,,0.72475055,,6754,,173568,0.1529381702191402,22,0.48651763607045617,322,87.58,,,,1.43
plain,105,,,,,0.71954830,,7160,,178726,0.15748310408938312,17,0.5297244666884016,327,86.14,,,,1.43
plain,106,,,,,0.72314527,,7028,,173552,0.15292407193648724,20,0.5076483183392223,316,88.69,,,,1.43
plain,107,,,,,0.72875938,,5562,,168901,0.14882587739780948,17,0.49105023394337777,327,88.35,,,,1.43
seeded,301,201,0.95,,0.950044,0.72952114,0.72799221,5369,5305,165424,0.1457621443487915,18,0.4840944937394814,315,156.26,0.92,87.63,67.70,1.45
plain,108,,,,,0.72266883,,6694,,171706,0.1512974825754038,22,0.49647631047942975,309,87.57,,,,1.45
plain,109,,,,,0.72668970,,5761,,176141,0.1552053502982668,18,0.49632122937024736,314,87.86,,,,1.45
plain,110,,,,,0.72708483,,5580,,171684,0.151278097436756,20,0.491266113896501,311,88.74,,,,1.45
plain,111,,,,,0.72350330,,6887,,173145,0.15256544687150297,20,0.4976966930715752,311,87.89,,,,1.45
seeded,302,202,0.95,,0.949979,0.72963301,0.72779609,5375,5415,166189,0.14643621848813543,21,0.4791979839455806,317,158.63,0.93,88.90,68.80,1.48
plain,112,,,,,0.72035410,,6284,,145500,0.1282062578752126,18,0.5053203394161548,363,89.54,,,,1.48
plain,113,,,,,0.72731450,,5728,,171869,0.15144110882993064,15,0.4874604587228718,384,88.03,,,,1.48
plain,114,,,,,0.70795064,,7877,,180066,0.1586638352615672,17,0.4788367154525989,308,90.54,,,,1.48
plain,115,,,,,0.72641973,,5488,,172637,0.15211782639727198,21,0.4836398241239239,314,86.27,,,,1.48
seeded,303,203,0.95,,0.949997,0.72950919,0.72795990,5399,5463,164994,0.14538325300249363,18,0.4827789477394285,326,155.77,0.93,87.72,67.11,1.51
plain,116,,,,,0.72414522,,7123,,175328,0.15448898131096406,17,0.5050930046083761,334,89.26,,,,1.51
plain,117,,,,,0.72459432,,6691,,172352,0.1518667007375164,20,0.4904545815012909,308,87.36,,,,1.51
plain,118,,,,,0.72311134,,6944,,172339,0.1518552458828609,18,0.49810201869784737,315,87.55,,,,1.51
plain,119,,,,,0.72654072,,5608,,174974,0.15417705680726768,20,0.49088369797953985,325,86.55,,,,1.51
seeded,304,204,0.95,,0.950097,0.72878757,0.72704682,4981,4708,161238,0.14207368114971494,19,0.48373146296116803,312,155.69,0.92,87.39,67.37,1.54
gamma_probe,490,,,0.9000,,0.72515580,,6458,,200031,0.17625584858444432,17,0.5273533117747095,355,85.96,,,,1.54
gamma_probe,491,,,0.8000,,0.72122973,,6631,,221348,0.19503916679149522,13,0.5660416428023861,384,84.69,,,,1.54
gamma_probe,492,,,0.7000,,0.70911877,,7634,,256635,0.22613204803989814,13,0.648371207782252,452,83.94,,,,1.54
gamma_matched,500,,,0.9990,,0.72405276,,5781,,176114,0.15518155944628995,16,0.5176228533161804,306,87.72,,,,1.54
gamma_matched,501,,,0.9990,,0.72810646,,5843,,180632,0.1591625620104151,17,0.4995418058137793,335,87.29,,,,1.54
gamma_matched,502,,,0.9990,,0.72307970,,6920,,173773,0.15311880446563103,20,0.4942479006775987,300,85.96,,,,1.54
gamma_matched,503,,,0.9990,,0.72168203,,7008,,173850,0.15318665245089833,21,0.5034487923939766,300,86.67,,,,1.54
gamma_matched,504,,,0.9990,,0.72249608,,6883,,173785,0.15312937817762073,19,0.5002343839491052,314,87.37,,,,1.54
